Year,SERIES,COMPOSITE_BREAKDOWN,Value
2015,Площадь  пашни,,1280.6
2016,Площадь  пашни,,1280.6
2017,Площадь  пашни,,1287.9
2018,Площадь  пашни,,1287.8
2019,Площадь  пашни,,1287.6
2020,Площадь  пашни,,1287.4
2021,Площадь  пашни,,1287.3
2022,Площадь  пашни,,1286.4
2015,Площадь пашни по причинам неиспользования,,90.0
2016,Площадь пашни по причинам неиспользования,,81.9
2017,Площадь пашни по причинам неиспользования,,74.8
2018,Площадь пашни по причинам неиспользования,,67.3
2019,Площадь пашни по причинам неиспользования,,63.3
2020,Площадь пашни по причинам неиспользования,,56.6
2021,Площадь пашни по причинам неиспользования,,53.7
2022,Площадь пашни по причинам неиспользования,,48.8
2015,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,5.0
2016,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,3.8
2017,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,3.3
2018,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,3.1
2019,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,2.8
2020,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,2.5
2021,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,2.2
2022,Площадь пашни по причинам неиспользования,Причина неиспользования: Засоление и заболоченность,1.7
2015,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,13.8
2016,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,14.0
2017,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,12.0
2018,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,11.8
2019,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,11.1
2020,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,9.3
2021,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,8.5
2022,Площадь пашни по причинам неиспользования,Причина неиспользования: Отсутствие полива из-за неисправности оросительной сети,7.4
2015,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",0.4
2016,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",0.4
2017,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",1.0
2018,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",1.5
2019,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",0.5
2020,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",0.9
2021,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",1.0
2022,Площадь пашни по причинам неиспользования,"Причина неиспользования: Подвержена стихийным бедствиям (оползни, сели)",0.7
2015,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,44.4
2016,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,40.2
2017,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,36.5
2018,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,31.5
2019,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,31.7
2020,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,27.2
2021,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,26.2
2022,Площадь пашни по причинам неиспользования,Причина: Экономическая нецелесообразность,22.0
2015,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,16.5
2016,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,15.1
2017,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,13.7
2018,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,11.6
2019,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,10.2
2020,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,9.4
2021,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,8.4
2022,Площадь пашни по причинам неиспользования,Причина: Отдаленность и каменистость,7.2
2015,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",9.9
2016,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",8.4
2017,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",8.26
2018,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",7.7
2019,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",7.0
2020,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",7.3
2021,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",7.4
2022,Площадь пашни по причинам неиспользования,"Причина: Другие (под промышленность, расширения населенных пунктов и другие)",9.8
