Year,Территория,Пол,Возраст,Тип местности,Value
2016,,,,,50.2
2017,,,,,50.5
2018,,,,,45.8
2019,,,,,42.3
2020,,,,,42.2
2016,,Мужчины,,,503.0
2017,,Мужчины,,,503.0
2018,,Мужчины,,,45.8
2019,,Мужчины,,,42.7
2020,,Мужчины,,,42.5
2016,,Женщины,,,501.0
2017,,Женщины,,,506.0
2018,,Женщины,,,45.9
2019,,Женщины,,,41.9
2020,,Женщины,,,42.0
2016,,,до 18 лет,,597.0
2017,,,до 18 лет,,600.0
2018,,,до 18 лет,,560.0
2019,,,до 18 лет,,520.0
2020,,,до 18 лет,,509.0
2016,,,от 18 до 64 лет,,437.0
2017,,,от 18 до 64 лет,,441.0
2018,,,от 18 до 64 лет,,39.3
2019,,,от 18 до 64 лет,,35.9
2020,,,от 18 до 64 лет,,36.9
2016,,,65 лет и старше ,,49.2
2017,,,65 лет и старше ,,46.4
2018,,,65 лет и старше ,,38.6
2019,,,65 лет и старше ,,37.0
2020,,,65 лет и старше ,,34.8
2016,,,,Городская,369.0
2017,,,,Городская,387.0
2018,,,,Городская,33.8
2019,,,,Городская,31.1
2020,,,,Городская,30.7
2016,,,,Сельская,574.0
2017,,,,Сельская,568.0
2018,,,,Сельская,52.4
2019,,,,Сельская,48.5
2020,,,,Сельская,48.8
2016,Баткенская область,,,,649.0
2017,Баткенская область,,,,660.0
2018,Баткенская область,,,,64.8
2019,Баткенская область,,,,63.5
2020,Баткенская область,,,,61.1
2016,Джалал-Абадская область,,,,596.0
2017,Джалал-Абадская область,,,,615.0
2018,Джалал-Абадская область,,,,53.8
2019,Джалал-Абадская область,,,,50.4
2020,Джалал-Абадская область,,,,56.7
2016,Иссык-Кульская область,,,,45.2
2017,Иссык-Кульская область,,,,470.0
2018,Иссык-Кульская область,,,,42.7
2019,Иссык-Кульская область,,,,46.3
2020,Иссык-Кульская область,,,,41.6
2016,Нарынская область,,,,583.0
2017,Нарынская область,,,,500.0
2018,Нарынская область,,,,48.5
2019,Нарынская область,,,,47.8
2020,Нарынская область,,,,49.0
2016,Ошская область,,,,575.0
2017,Ошская область,,,,521.0
2018,Ошская область,,,,58.5
2019,Ошская область,,,,45.8
2020,Ошская область,,,,43.5
2016,Таласская область,,,,498.0
2017,Таласская область,,,,398.0
2018,Таласская область,,,,430.0
2019,Таласская область,,,,402.0
2020,Таласская область,,,,339.0
2016,Чуйская область,,,,454.0
2017,Чуйская область,,,,48.7
2018,Чуйская область,,,,280.0
2019,Чуйская область,,,,317.0
2020,Чуйская область,,,,346.0
2016,г. Бишкек,,,,268.0
2017,г. Бишкек,,,,29.9
2018,г. Бишкек,,,,25.4
2019,г. Бишкек,,,,22.2
2020,г. Бишкек,,,,23.6
2016,г. Ош,,,,473.0
2017,г. Ош,,,,58.6
2018,г. Ош,,,,51.3
2019,г. Ош,,,,45.9
2020,г. Ош,,,,35.9
