Year,Территория,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2018,,,,,,,96.3
2018,,Городская,,,,,96.1
2018,,Сельская,,,,,96.5
2018,Баткенская область,,,,,KG05,99.6
2018,Джалал-Абадская область,,,,,KG03,93.4
2018,Иссык-Кульская область,,,,,KG02,99.1
2018,Нарынская область,,,,,KG04,99.4
2018,Ошская область,,,,,KG06,99.1
2018,Таласская область,,,,,KG07,99.8
2018,Чуйская область,,,,,KG08,91.6
2018,г. Бишкек,,,,,KG11,95.7
2018,г. Ош,,,,,KG21,96.8
2018,,,,Начальное образование,household head education,,92.1
2018,,,,Первый этап среднего образования,household head education,,94.7
2018,,,,Второй этап среднего образования,household head education,,97.4
2018,,,,Послесреднее нетретичное образование,household head education,,96.6
2018,,,,Короткий цикл третичного образования,household head education,,95.1
2018,,,Квинтиль 1 (беднейшие),,,,97.2
2018,,,Квинтиль 2,,,,95.9
2018,,,Квинтиль 3,,,,96.5
2018,,,Квинтиль 4,,,,96.4
2018,,,Квинтиль 5 (богатейшие),,,,95.7
