Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,COMPOSITE_BREAKDOWN,GeoCode,Value
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,5.1
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,5.3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,4.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,4.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,4.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,4.7
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,4.2
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,4.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,4.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,3.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,4.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,6.0
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,5.7
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,5.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,4.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,4.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,4.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,4.0
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,4.9
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,4.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,4.6
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,3.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,4.3
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,4.4
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,5.4
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,5.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,5.0
