Year,Series,Составная разбивка,Value
2013,Доля текущих государственных расходов в секторах,Сектор: всего,86.5
2014,Доля текущих государственных расходов в секторах,Сектор: всего,80.2
2015,Доля текущих государственных расходов в секторах,Сектор: всего,81.8
2016,Доля текущих государственных расходов в секторах,Сектор: всего,80.0
2017,Доля текущих государственных расходов в секторах,Сектор: всего,78.4
2018,Доля текущих государственных расходов в секторах,Сектор: всего,88.7
2013,Доля  капитальных государственных расходов в секторах,Сектор: всего,13.5
2014,Доля  капитальных государственных расходов в секторах,Сектор: всего,19.8
2015,Доля  капитальных государственных расходов в секторах,Сектор: всего,18.2
2016,Доля  капитальных государственных расходов в секторах,Сектор: всего,20.0
2017,Доля  капитальных государственных расходов в секторах,Сектор: всего,21.6
2018,Доля  капитальных государственных расходов в секторах,Сектор: всего,11.3
2013,Доля текущих государственных расходов в секторах,Сектор:  экономические вопросы,29.3
2014,Доля текущих государственных расходов в секторах,Сектор:  экономические вопросы,24.5
2015,Доля текущих государственных расходов в секторах,Сектор:  экономические вопросы,29.2
2016,Доля текущих государственных расходов в секторах,Сектор:  экономические вопросы,32.1
2017,Доля текущих государственных расходов в секторах,Сектор:  экономические вопросы,24.0
2018,Доля текущих государственных расходов в секторах,Сектор:  экономические вопросы,41.5
2013,Доля  капитальных государственных расходов в секторах,Сектор:  экономические вопросы,70.7
2014,Доля  капитальных государственных расходов в секторах,Сектор:  экономические вопросы,75.5
2015,Доля  капитальных государственных расходов в секторах,Сектор:  экономические вопросы,70.8
2016,Доля  капитальных государственных расходов в секторах,Сектор:  экономические вопросы,67.9
2017,Доля  капитальных государственных расходов в секторах,Сектор:  экономические вопросы,76.0
2018,Доля  капитальных государственных расходов в секторах,Сектор:  экономические вопросы,58.5
2013,Доля текущих государственных расходов в секторах,Сектор: здравоохранение,96.5
2014,Доля текущих государственных расходов в секторах,Сектор: здравоохранение,97.6
2015,Доля текущих государственных расходов в секторах,Сектор: здравоохранение,97.6
2016,Доля текущих государственных расходов в секторах,Сектор: здравоохранение,98.6
2017,Доля текущих государственных расходов в секторах,Сектор: здравоохранение,94.2
2018,Доля текущих государственных расходов в секторах,Сектор: здравоохранение,95.5
2013,Доля  капитальных государственных расходов в секторах,Сектор: здравоохранение,3.5
2014,Доля  капитальных государственных расходов в секторах,Сектор: здравоохранение,2.4
2015,Доля  капитальных государственных расходов в секторах,Сектор: здравоохранение,2.4
2016,Доля  капитальных государственных расходов в секторах,Сектор: здравоохранение,1.4
2017,Доля  капитальных государственных расходов в секторах,Сектор: здравоохранение,5.8
2018,Доля  капитальных государственных расходов в секторах,Сектор: здравоохранение,4.5
2013,Доля текущих государственных расходов в секторах,Сектор: образование,92.2
2014,Доля текущих государственных расходов в секторах,Сектор: образование,89.6
2015,Доля текущих государственных расходов в секторах,Сектор: образование,90.6
2016,Доля текущих государственных расходов в секторах,Сектор: образование,84.8
2017,Доля текущих государственных расходов в секторах,Сектор: образование,90.4
2018,Доля текущих государственных расходов в секторах,Сектор: образование,91.6
2013,Доля  капитальных государственных расходов в секторах,Сектор: образование,7.8
2014,Доля  капитальных государственных расходов в секторах,Сектор: образование,10.4
2015,Доля  капитальных государственных расходов в секторах,Сектор: образование,9.4
2016,Доля  капитальных государственных расходов в секторах,Сектор: образование,15.2
2017,Доля  капитальных государственных расходов в секторах,Сектор: образование,9.6
2018,Доля  капитальных государственных расходов в секторах,Сектор: образование,8.4
2013,Доля текущих государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,94.3
2014,Доля текущих государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,89.4
2015,Доля текущих государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,91.7
2016,Доля текущих государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,99.4
2017,Доля текущих государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,90.1
2018,Доля текущих государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,95.1
2013,Доля  капитальных государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,5.7
2014,Доля  капитальных государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,10.6
2015,Доля  капитальных государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,8.3
2016,Доля  капитальных государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,0.6
2017,Доля  капитальных государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,9.9
2018,Доля  капитальных государственных расходов в секторах,Сектор: жилищно-коммунальные услуги,4.9
