Year,SERIES,Value
2008,Активы к ВВП,29.2
2009,Активы к ВВП,36.6
2010,Активы к ВВП,27.6
2011,Активы к ВВП,23.6
2012,Активы к ВВП,28.2
2013,Активы к ВВП,31.3
2014,Активы к ВВП,34.3
2015,Активы к ВВП,41.4
2016,Активы к ВВП,37.4
2017,Активы к ВВП,37.3
2018,Активы к ВВП,39.8
2019,Активы к ВВП,40.2
2020,Активы к ВВП,48.3
2007,Депозиты к ВВП,16.5
2008,Депозиты к ВВП,15.7
2009,Депозиты к ВВП,19.7
2010,Депозиты к ВВП,15.5
2011,Депозиты к ВВП,13.5
2012,Депозиты к ВВП,16.3
2013,Депозиты к ВВП,19.0
2014,Депозиты к ВВП,20.6
2015,Депозиты к ВВП,23.9
2016,Депозиты к ВВП,22.5
2017,Депозиты к ВВП,22.9
2018,Депозиты к ВВП,23.9
2019,Депозиты к ВВП,24.4
2020,Депозиты к ВВП,30.2
2007,Кредиты к ВВП,14.7
2008,Кредиты к ВВП,13.6
2009,Кредиты к ВВП,12.5
2010,Кредиты к ВВП,12.0
2011,Кредиты к ВВП,10.9
2012,Кредиты к ВВП,12.9
2013,Кредиты к ВВП,15.2
2014,Кредиты к ВВП,19.7
2015,Кредиты к ВВП,21.8
2016,Кредиты к ВВП,19.6
2017,Кредиты к ВВП,20.4
2018,Кредиты к ВВП,23.0
2019,Кредиты к ВВП,23.7
2020,Кредиты к ВВП,27.2
