Year,Пол,Value
2007,,16.7
2008,,17.0
2009,,17.8
2010,,18.3
2011,,17.4
2012,,17.7
2013,,22.1
2014,,20.7
2015,,21.4
2016,,20.4
2017,,21.0
2018,,20.5
2007,Мужчины,10.7
2008,Мужчины,12.8
2009,Мужчины,12.3
2010,Мужчины,11.5
2011,Мужчины,9.7
2012,Мужчины,10.1
2013,Мужчины,14.3
2014,Мужчины,12.5
2015,Мужчины,13.6
2016,Мужчины,12.1
2017,Мужчины,12.3
2018,Мужчины,12.0
2007,Женщины,22.8
2008,Женщины,21.3
2009,Женщины,23.5
2010,Женщины,25.2
2011,Женщины,25.2
2012,Женщины,25.5
2013,Женщины,30.0
2014,Женщины,29.2
2015,Женщины,29.5
2016,Женщины,29.0
2017,Женщины,30.1
2018,Женщины,29.4
