Year,Reference area,Sex,Age,Degree of urbanisation,Value
2007,,,,,350
2008,,,,,317
2009,,,,,317
2010,,,,,337
2011,,,,,368
2012,,,,,380
2013,,,,,370
2014,,,,,306
2015,,,,,321
2016,,,,,254
2017,,,,,256
2018,,,,,224
2019,,,,,201
2020,,,,,253
2007,,Female,,,347
2008,,Female,,,314
2009,,Female,,,307
2010,,Female,,,327
2011,,Female,,,361
2012,,Female,,,372
2013,,Female,,,365
2014,,Female,,,297
2015,,Female,,,315
2016,,Female,,,250
2017,,Female,,,250
2018,,Female,,,225
2019,,Female,,,201
2020,,Female,,,253
2007,,Male,,,354
2008,,Male,,,321
2009,,Male,,,329
2010,,Male,,,348
2011,,Male,,,376
2012,,Male,,,390
2013,,Male,,,375
2014,,Male,,,315
2015,,Male,,,327
2016,,Male,,,257
2017,,Male,,,263
2018,,Male,,,222
2019,,Male,,,202
2020,,Male,,,253
2010,,,,Urban,236
2014,,,,Urban,269
2015,,,,Urban,293
2016,,,,Urban,186
2017,,,,Urban,204
2018,,,,Urban,201
2019,,,,Urban,147
2020,,,,Urban,183
2010,,,,Rural,395
2014,,,,Rural,326
2015,,,,Rural,336
2016,,,,Rural,290
2017,,,,Rural,284
2018,,,,Rural,237
2019,,,,Rural,232
2020,,,,Rural,293
2013,,,under 17 years old,,452
2014,,,under 17 years old,,379
2015,,,under 17 years old,,405
2016,,,under 17 years old,,315
2017,,,under 17 years old,,320
2018,,,under 17 years old,,283
2019,,,under 17 years old,,257
2020,,,under 17 years old,,318
2013,,,14 to 28 years old,,356
2014,,,14 to 28 years old,,285
2015,,,14 to 28 years old,,290
2016,,,14 to 28 years old,,230
2017,,,14 to 28 years old,,229
2018,,,14 to 28 years old,,209
2019,,,14 to 28 years old,,162
2020,,,14 to 28 years old,,220
2013,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,333
2014,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,270
2015,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,279
2016,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,218
2017,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,220
2018,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,193
2019,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,171
2020,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,217
2013,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,252
2014,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,213
2015,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,218
2016,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,199
2017,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,189
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,148
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,133
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,178
2007,Batken,,,,404
2008,Batken,,,,207
2009,Batken,,,,315
2010,Batken,,,,336
2011,Batken,,,,356
2012,Batken,,,,342
2013,Batken,,,,539
2014,Batken,,,,407
2015,Batken,,,,412
2016,Batken,,,,370
2017,Batken,,,,405
2018,Batken,,,,338
2019,Batken,,,,326
2020,Batken,,,,347
2007,Batken,Female,,,413
2008,Batken,Female,,,224
2009,Batken,Female,,,313
2010,Batken,Female,,,319
2011,Batken,Female,,,342
2012,Batken,Female,,,346
2013,Batken,Female,,,536
2014,Batken,Female,,,390
2015,Batken,Female,,,409
2016,Batken,Female,,,361
2017,Batken,Female,,,396
2018,Batken,Female,,,337
2019,Batken,Female,,,324
2020,Batken,Female,,,343
2007,Batken,Male,,,394
2008,Batken,Male,,,188
2009,Batken,Male,,,317
2010,Batken,Male,,,356
2011,Batken,Male,,,373
2012,Batken,Male,,,338
2013,Batken,Male,,,541
2014,Batken,Male,,,424
2015,Batken,Male,,,414
2016,Batken,Male,,,380
2017,Batken,Male,,,415
2018,Batken,Male,,,339
2019,Batken,Male,,,328
2020,Batken,Male,,,351
2007,Jalal-Abad,,,,530
2008,Jalal-Abad,,,,401
2009,Jalal-Abad,,,,369
2010,Jalal-Abad,,,,447
2011,Jalal-Abad,,,,453
2012,Jalal-Abad,,,,557
2013,Jalal-Abad,,,,464
2014,Jalal-Abad,,,,464
2015,Jalal-Abad,,,,451
2016,Jalal-Abad,,,,322
2017,Jalal-Abad,,,,326
2018,Jalal-Abad,,,,322
2019,Jalal-Abad,,,,269
2020,Jalal-Abad,,,,372
2007,Jalal-Abad,Female,,,516
2008,Jalal-Abad,Female,,,379
2009,Jalal-Abad,Female,,,335
2010,Jalal-Abad,Female,,,437
2011,Jalal-Abad,Female,,,437
2012,Jalal-Abad,Female,,,553
2013,Jalal-Abad,Female,,,474
2014,Jalal-Abad,Female,,,470
2015,Jalal-Abad,Female,,,452
2016,Jalal-Abad,Female,,,331
2017,Jalal-Abad,Female,,,340
2018,Jalal-Abad,Female,,,334
2019,Jalal-Abad,Female,,,278
2020,Jalal-Abad,Female,,,390
2007,Jalal-Abad,Male,,,546
2008,Jalal-Abad,Male,,,424
2009,Jalal-Abad,Male,,,405
2010,Jalal-Abad,Male,,,458
2011,Jalal-Abad,Male,,,469
2012,Jalal-Abad,Male,,,561
2013,Jalal-Abad,Male,,,455
2014,Jalal-Abad,Male,,,458
2015,Jalal-Abad,Male,,,449
2016,Jalal-Abad,Male,,,314
2017,Jalal-Abad,Male,,,311
2018,Jalal-Abad,Male,,,309
2019,Jalal-Abad,Male,,,260
2020,Jalal-Abad,Male,,,354
2007,Issyk-Kul,,,,386
2008,Issyk-Kul,,,,522
2009,Issyk-Kul,,,,461
2010,Issyk-Kul,,,,380
2011,Issyk-Kul,,,,295
2012,Issyk-Kul,,,,281
2013,Issyk-Kul,,,,395
2014,Issyk-Kul,,,,260
2015,Issyk-Kul,,,,289
2016,Issyk-Kul,,,,247
2017,Issyk-Kul,,,,242
2018,Issyk-Kul,,,,215
2019,Issyk-Kul,,,,244
2020,Issyk-Kul,,,,279
2007,Issyk-Kul,Female,,,387
2008,Issyk-Kul,Female,,,522
2009,Issyk-Kul,Female,,,479
2010,Issyk-Kul,Female,,,369
2011,Issyk-Kul,Female,,,311
2012,Issyk-Kul,Female,,,282
2013,Issyk-Kul,Female,,,404
2014,Issyk-Kul,Female,,,264
