Year,Показатель,Местность,Пол,Территория,Образование матери,Функциональные трудности у матери,Квинтиль индекса благосостояния,Value
2018,Процент завершения начального образования,,,,,,,99.2
2023,Процент завершения начального образования,,,,,,,99.4
2018,Процент завершения начального образования,Городская,,,,,,99.5
2023,Процент завершения начального образования,Городская,,,,,,99.0
2018,Процент завершения начального образования,Сельская,,,,,,99.1
2023,Процент завершения начального образования,Сельская,,,,,,99.6
2018,Процент завершения начального образования,,Мужской,,,,,99.0
2023,Процент завершения начального образования,,Мужской,,,,,99.6
2018,Процент завершения начального образования,,Женский,,,,,99.5
2023,Процент завершения начального образования,,Женский,,,,,99.3
2018,Процент завершения начального образования,,,Баткенская область,,,,100.0
2023,Процент завершения начального образования,,,Баткенская область,,,,100.0
2018,Процент завершения начального образования,,,Джалал-Абадская область,,,,97.1
2023,Процент завершения начального образования,,,Джалал-Абадская область,,,,97.5
2018,Процент завершения начального образования,,,Иссык-Кульская область,,,,99.7
2023,Процент завершения начального образования,,,Иссык-Кульская область,,,,100.0
2018,Процент завершения начального образования,,,Нарынская область,,,,100.0
2023,Процент завершения начального образования,,,Нарынская область,,,,99.6
2018,Процент завершения начального образования,,,Ошская область,,,,100.0
2023,Процент завершения начального образования,,,Ошская область,,,,99.8
2018,Процент завершения начального образования,,,Таласская область,,,,98.4
2023,Процент завершения начального образования,,,Таласская область,,,,99.6
2018,Процент завершения начального образования,,,Чуйская область,,,,100.0
2023,Процент завершения начального образования,,,Чуйская область,,,,100.0
2018,Процент завершения начального образования,,,г. Бишкек,,,,99.1
2023,Процент завершения начального образования,,,г. Бишкек,,,,100.0
2018,Процент завершения начального образования,,,г. Ош,,,,100.0
2023,Процент завершения начального образования,,,г. Ош,,,,100.0
2018,Процент завершения начального образования,,,,Основное общее,,,100.0
2023,Процент завершения начального образования,,,,Основное общее,,,99.4
2018,Процент завершения начального образования,,,,Среднее общее,,,99.3
2023,Процент завершения начального образования,,,,Среднее общее,,,99.9
2018,Процент завершения начального образования,,,,Профессиональное начальное/среднее,,,99.0
2023,Процент завершения начального образования,,,,Профессиональное начальное/среднее,,,100.0
2018,Процент завершения начального образования,,,,Высшее,,,98.9
2023,Процент завершения начального образования,,,,Высшее,,,100.0
2018,Процент завершения начального образования,,,,,Нет,,99.1
2023,Процент завершения начального образования,,,,,Нет,,99.6
2018,Процент завершения начального образования,,,,,Нет информации,,99.4
2018,Процент завершения начального образования,,,,,,Беднейший,100.0
2023,Процент завершения начального образования,,,,,,Беднейший,98.6
2018,Процент завершения начального образования,,,,,,Второй,99.6
2023,Процент завершения начального образования,,,,,,Второй,99.9
2018,Процент завершения начального образования,,,,,,Средний,98.5
2023,Процент завершения начального образования,,,,,,Средний,99.9
2018,Процент завершения начального образования,,,,,,Четвертый,98.8
2023,Процент завершения начального образования,,,,,,Четвертый,99.0
2018,Процент завершения начального образования,,,,,,Богатейший,99.1
2023,Процент завершения начального образования,,,,,,Богатейший,100.0
2018,Процент завершения неполного среднего образования,,,,,,,98.9
2023,Процент завершения неполного среднего образования,,,,,,,99.0
2018,Процент завершения неполного среднего образования,Городская,,,,,,99.3
2023,Процент завершения неполного среднего образования,Городская,,,,,,99.6
2018,Процент завершения неполного среднего образования,Сельская,,,,,,98.6
2023,Процент завершения неполного среднего образования,Сельская,,,,,,98.6
2018,Процент завершения неполного среднего образования,,Мужской,,,,,99.0
2023,Процент завершения неполного среднего образования,,Мужской,,,,,98.2
2018,Процент завершения неполного среднего образования,,Женский,,,,,98.9
2023,Процент завершения неполного среднего образования,,Женский,,,,,99.9
2018,Процент завершения неполного среднего образования,,,Баткенская область,,,,98.2
2023,Процент завершения неполного среднего образования,,,Баткенская область,,,,99.1
2018,Процент завершения неполного среднего образования,,,Джалал-Абадская область,,,,98.5
2023,Процент завершения неполного среднего образования,,,Джалал-Абадская область,,,,95.8
2018,Процент завершения неполного среднего образования,,,Иссык-Кульская область,,,,100.0
2023,Процент завершения неполного среднего образования,,,Иссык-Кульская область,,,,100.0
2018,Процент завершения неполного среднего образования,,,Нарынская область,,,,96.8
2018,Процент завершения неполного среднего образования,,,Ошская область,,,,99.2
2023,Процент завершения неполного среднего образования,,,Ошская область,,,,100.0
2018,Процент завершения неполного среднего образования,,,Таласская область,,,,97.7
2023,Процент завершения неполного среднего образования,,,Таласская область,,,,98.8
2018,Процент завершения неполного среднего образования,,,Чуйская область,,,,96.9
2023,Процент завершения неполного среднего образования,,,Чуйская область,,,,99.6
2018,Процент завершения неполного среднего образования,,,г. Бишкек,,,,100.0
2023,Процент завершения неполного среднего образования,,,г. Бишкек,,,,100.0
2018,Процент завершения неполного среднего образования,,,г. Ош,,,,100.0
2023,Процент завершения неполного среднего образования,,,г. Ош,,,,98.3
2018,Процент завершения неполного среднего образования,,,,,,Беднейший,96.1
2023,Процент завершения неполного среднего образования,,,,,,Беднейший,97.7
2018,Процент завершения неполного среднего образования,,,,,,Второй,99.7
2023,Процент завершения неполного среднего образования,,,,,,Второй,100.0
2018,Процент завершения неполного среднего образования,,,,,,Средний,99.1
2023,Процент завершения неполного среднего образования,,,,,,Средний,97.3
2018,Процент завершения неполного среднего образования,,,,,,Четвертый,99.6
2023,Процент завершения неполного среднего образования,,,,,,Четвертый,99.6
2018,Процент завершения неполного среднего образования,,,,,,Богатейший,99.4
2023,Процент завершения неполного среднего образования,,,,,,Богатейший,99.7
2018,Процент завершения полного среднего образования,,,,,,,86.8
2023,Процент завершения полного среднего образования,,,,,,,89.1
2018,Процент завершения полного среднего образования,Городская,,,,,,91.2
2023,Процент завершения полного среднего образования,Городская,,,,,,91.7
2018,Процент завершения полного среднего образования,Сельская,,,,,,83.8
2023,Процент завершения полного среднего образования,Сельская,,,,,,87.8
2018,Процент завершения полного среднего образования,,Мужской,,,,,89.1
2023,Процент завершения полного среднего образования,,Мужской,,,,,90.1
2018,Процент завершения полного среднего образования,,Женский,,,,,84.9
2023,Процент завершения полного среднего образования,,Женский,,,,,88.3
2018,Процент завершения полного среднего образования,,,Баткенская область,,,,96.8
2023,Процент завершения полного среднего образования,,,Баткенская область,,,,96.0
2018,Процент завершения полного среднего образования,,,Джалал-Абадская область,,,,86.7
2023,Процент завершения полного среднего образования,,,Джалал-Абадская область,,,,78.3
2018,Процент завершения полного среднего образования,,,Иссык-Кульская область,,,,95.6
2023,Процент завершения полного среднего образования,,,Иссык-Кульская область,,,,100.0
2018,Процент завершения полного среднего образования,,,Нарынская область,,,,88.9
2018,Процент завершения полного среднего образования,,,Ошская область,,,,75.4
2023,Процент завершения полного среднего образования,,,Ошская область,,,,85.7
2023,Процент завершения полного среднего образования,,,Таласская область,,,,97.4
2018,Процент завершения полного среднего образования,,,Чуйская область,,,,83.1
2023,Процент завершения полного среднего образования,,,Чуйская область,,,,89.1
2018,Процент завершения полного среднего образования,,,г. Бишкек,,,,96.5
2023,Процент завершения полного среднего образования,,,г. Бишкек,,,,99.0
2018,Процент завершения полного среднего образования,,,г. Ош,,,,75.8
2023,Процент завершения полного среднего образования,,,г. Ош,,,,90.1
2018,Процент завершения полного среднего образования,,,,,,Беднейший,77.6
2023,Процент завершения полного среднего образования,,,,,,Беднейший,89.6
2018,Процент завершения полного среднего образования,,,,,,Второй,85.4
2023,Процент завершения полного среднего образования,,,,,,Второй,82.3
2018,Процент завершения полного среднего образования,,,,,,Средний,81.4
2023,Процент завершения полного среднего образования,,,,,,Средний,83.2
2018,Процент завершения полного среднего образования,,,,,,Четвертый,89.2
2023,Процент завершения полного среднего образования,,,,,,Четвертый,89.1
2018,Процент завершения полного среднего образования,,,,,,Богатейший,96.2
2023,Процент завершения полного среднего образования,,,,,,Богатейший,98.3
