Year,Территория,Value
2007,,29.5
2008,,30.1
2009,,31.2
2010,,34.1
2011,,41.4
2012,,42.1
2013,,41.9
2014,,43.3
2015,,42.3
2016,,38.1
2017,,33.9
2018,,35.9
2019,,37.7
2007,Баткенская область,25.4
2008,Баткенская область,27.2
2009,Баткенская область,30.6
2010,Баткенская область,36.1
2011,Баткенская область,40.2
2012,Баткенская область,44.6
2013,Баткенская область,43.2
2014,Баткенская область,43.3
2015,Баткенская область,38.4
2016,Баткенская область,36.5
2017,Баткенская область,31.2
2018,Баткенская область,30.2
2019,Баткенская область,35.7
2007,Джалал-Абадская область,30.1
2008,Джалал-Абадская область,33.0
2009,Джалал-Абадская область,36.8
2010,Джалал-Абадская область,38.8
2011,Джалал-Абадская область,47.6
2012,Джалал-Абадская область,45.3
2013,Джалал-Абадская область,44.8
2014,Джалал-Абадская область,47.7
2015,Джалал-Абадская область,53.5
2016,Джалал-Абадская область,39.3
2017,Джалал-Абадская область,34.7
2018,Джалал-Абадская область,36.2
2019,Джалал-Абадская область,38.0
2007,Иссык-Кульская область,27.5
2008,Иссык-Кульская область,27.7
2009,Иссык-Кульская область,30.0
2010,Иссык-Кульская область,30.2
2011,Иссык-Кульская область,31.8
2012,Иссык-Кульская область,31.8
2013,Иссык-Кульская область,31.0
2014,Иссык-Кульская область,31.8
2015,Иссык-Кульская область,45.4
2016,Иссык-Кульская область,32.8
2017,Иссык-Кульская область,25.5
2018,Иссык-Кульская область,28.8
2019,Иссык-Кульская область,25.3
2007,Нарынская область,27.1
2008,Нарынская область,23.1
2009,Нарынская область,30.4
2010,Нарынская область,29.7
2011,Нарынская область,34.3
2012,Нарынская область,33.0
2013,Нарынская область,27.7
2014,Нарынская область,29.2
2015,Нарынская область,30.3
2016,Нарынская область,29.1
2017,Нарынская область,20.2
2018,Нарынская область,22.7
2019,Нарынская область,20.8
2007,Ошская область,27.1
2008,Ошская область,27.1
2009,Ошская область,30.4
2010,Ошская область,33.0
2011,Ошская область,43.2
2012,Ошская область,44.0
2013,Ошская область,43.4
2014,Ошская область,45.8
2015,Ошская область,72.3
2016,Ошская область,41.6
2017,Ошская область,38.5
2018,Ошская область,35.2
2019,Ошская область,37.9
2007,Таласская область,39.9
2008,Таласская область,38.9
2009,Таласская область,46.4
2010,Таласская область,48.5
2011,Таласская область,59.3
2012,Таласская область,58.8
2013,Таласская область,61.0
2014,Таласская область,58.2
2015,Таласская область,36.4
2016,Таласская область,41.9
2017,Таласская область,34.9
2018,Таласская область,37.1
2019,Таласская область,34.1
2007,Чуйская область,38.4
2008,Чуйская область,40.1
2009,Чуйская область,39.3
2010,Чуйская область,44.0
2011,Чуйская область,49.1
2012,Чуйская область,50.3
2013,Чуйская область,52.0
2014,Чуйская область,50.8
2015,Чуйская область,59.7
2016,Чуйская область,47.8
2017,Чуйская область,46.4
2018,Чуйская область,52.1
2019,Чуйская область,51.0
2007,г. Бишкек,25.9
2008,г. Бишкек,24.8
2009,г. Бишкек,17.9
2010,г. Бишкек,20.4
2011,г. Бишкек,25.3
2012,г. Бишкек,26.0
2013,г. Бишкек,26.6
2014,г. Бишкек,26.5
2015,г. Бишкек,22.1
2016,г. Бишкек,21.4
2017,г. Бишкек,17.4
2018,г. Бишкек,24.3
2019,г. Бишкек,28.9
2007,г. Ош,24.2
2008,г. Ош,26.0
2009,г. Ош,23.9
2010,г. Ош,27.0
2011,г. Ош,36.1
2012,г. Ош,43.9
2013,г. Ош,46.7
2014,г. Ош,54.9
2015,г. Ош,52.8
2016,г. Ош,52.6
2017,г. Ош,51.6
2018,г. Ош,65.0
2019,г. Ош,77.0
