Year,REF_AREA,Value
2007,,145.4
2008,,1235.9
2009,,74.6
2010,,516.9
2011,,939.9
2012,,924.9
2013,,220.6
2014,,455.7
2015,,2290.6
2016,,1006.2
2017,,1027.4
2018,,1214.6
2019,,323.8
2007,KG05,17.8
2008,KG05,130.4
2009,KG05,25.4
2010,KG05,26.2
2011,KG05,551.4
2012,KG05,267.9
2013,KG05,4.5
2014,KG05,41.6
2015,KG05,588.8
2016,KG05,376.3
2017,KG05,135.0
2018,KG05,189.8
2019,KG05,22.9
2007,KG03,66.7
2008,KG03,31.0
2009,KG03,3.7
2010,KG03,305.9
2011,KG03,148.6
2012,KG03,375.2
2013,KG03,38.0
2014,KG03,31.2
2015,KG03,85.1
2016,KG03,232.3
2017,KG03,120.1
2018,KG03,72.9
2019,KG03,168.8
2007,KG02,0.5
2008,KG02,0.7
2009,KG02,9.5
2010,KG02,0.6
2011,KG02,5.3
2012,KG02,40.4
2013,KG02,75.2
2014,KG02,356.3
2015,KG02,7.7
2016,KG02,102.7
2017,KG02,84.2
2018,KG02,74.2
2019,KG02,11.1
2007,KG04,0.6
2008,KG04,2.8
2009,KG04,0.6
2010,KG04,120.1
2011,KG04,121.0
2012,KG04,141.3
2013,KG04,72.2
2014,KG04,4.3
2015,KG04,27.8
2016,KG04,22.3
2017,KG04,12.8
2018,KG04,1.4
2007,KG06,6.3
2008,KG06,1024.9
2009,KG06,10.9
2010,KG06,40.5
2011,KG06,105.0
2012,KG06,48.1
2013,KG06,2.9
2014,KG06,1.1
2015,KG06,1364.2
2016,KG06,16.2
2017,KG06,261.8
2018,KG06,12.4
2019,KG06,2.6
2007,KG07,12.3
2008,KG07,4.4
2009,KG07,24.5
2010,KG07,22.0
2011,KG07,3.0
2012,KG07,49.0
2013,KG07,6.6
2014,KG07,1.1
2015,KG07,8.9
2016,KG07,76.1
2017,KG07,14.7
2018,KG07,0.7
2007,KG08,8.4
2010,KG08,1.7
2011,KG08,5.6
2012,KG08,1.7
2013,KG08,14.1
2014,KG08,20.0
2015,KG08,24.4
2016,KG08,93.2
2017,KG08,207.5
2018,KG08,6.1
2019,KG08,2.0
2007,KG11,32.2
2008,KG11,41.5
2013,KG11,0.7
2015,KG11,44.7
2016,KG11,86.8
2017,KG11,129.8
2018,KG11,856.9
2019,KG11,116.0
2007,KG21,0.7
2008,KG21,0.2
2012,KG21,1.1
2013,KG21,6.3
2015,KG21,139.1
2016,KG21,0.3
2017,KG21,61.5
2019,KG21,0.4
