Year,Reference area,Sex,GeoCode,Value
2010,,,,13.4
2013,,,,8.5
2014,,,,7.7
2015,,,,6.7
2016,,,,7.6
2017,,,,4.3
2018,,,,4.5
2019,,,,2.5
2020,,,,2.385958
2021,,,,2.017315
2010,,Female,,1.7
2013,,Female,,0.4
2014,,Female,,1.1
2015,,Female,,0.4
2016,,Female,,0.5
2017,,Female,,0.3
2018,,Female,,0.4
2019,,Female,,0.1
2020,,Female,,0.091859
2021,,Female,,0.118672
2010,,Male,,25.3
2013,,Male,,16.8
2014,,Male,,14.5
2015,,Male,,13.1
2016,,Male,,14.8
2017,,Male,,8.5
2018,,Male,,8.8
2019,,Male,,4.9
2020,,Male,,4.646537
2021,,Male,,3.944091
2010,Batken,,KG05,1.6
2013,Batken,,KG05,1.5
2014,Batken,,KG05,1.3
2015,Batken,,KG05,1.2
2016,Batken,,KG05,2.2
2017,Batken,,KG05,0.8
2018,Batken,,KG05,0.4
2019,Batken,,KG05,0.2
2020,Batken,,KG05,0.368456
2021,Batken,,KG05,0.0
2016,Batken,Female,KG05,0.4
2018,Batken,Female,KG05,0.0
2019,Batken,Female,KG05,0.0
2010,Batken,Male,KG05,3.1
2013,Batken,Male,KG05,3.0
2014,Batken,Male,KG05,2.5
2015,Batken,Male,KG05,2.4
2016,Batken,Male,KG05,3.9
2017,Batken,Male,KG05,1.5
2018,Batken,Male,KG05,0.8
2019,Batken,Male,KG05,0.4
2020,Batken,Male,KG05,0.750965
2021,Batken,Male,KG05,0.0
2010,Jalal-Abad,,KG03,5.2
2013,Jalal-Abad,,KG03,3.2
2014,Jalal-Abad,,KG03,2.3
2015,Jalal-Abad,,KG03,1.2
2016,Jalal-Abad,,KG03,2.0
2017,Jalal-Abad,,KG03,1.9
2018,Jalal-Abad,,KG03,1.5
2019,Jalal-Abad,,KG03,0.7
2020,Jalal-Abad,,KG03,0.480122
2021,Jalal-Abad,,KG03,0.62921
2010,Jalal-Abad,Female,KG03,0.4
2014,Jalal-Abad,Female,KG03,0.2
2017,Jalal-Abad,Female,KG03,0.2
2018,Jalal-Abad,Female,KG03,0.0
2019,Jalal-Abad,Female,KG03,0.0
2010,Jalal-Abad,Male,KG03,10.1
2013,Jalal-Abad,Male,KG03,6.4
2014,Jalal-Abad,Male,KG03,4.5
