Year,Показатель,Value
2013,,6.01
2014,,6.01
2015,,6.01
2016,,7.3
2017,,7.38
2018,,7.38
2019,,6.18
2020,,6.18
2021,,6.18
2013,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",6.01
2014,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",6.01
2015,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",6.01
2016,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",7.3
2017,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",7.38
2018,"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",7.38
