Year,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,,Kilograms,245
2015,,Kilograms,18337
2016,,Kilograms,21173
2017,,Kilograms,21218
2018,,Kilograms,19780
2019,,Kilograms,18098
2020,,Kilograms,18254
2021,,Kilograms,17540
2022,,Kilograms,20115
2023,,Kilograms,21892
2024,,Kilograms,20427
2015,Proportion of hazardous waste treated,Percent,467
2016,Proportion of hazardous waste treated,Percent,329
2017,Proportion of hazardous waste treated,Percent,402
2018,Proportion of hazardous waste treated,Percent,389
2019,Proportion of hazardous waste treated,Percent,538
2020,Proportion of hazardous waste treated,Percent,562
2021,Proportion of hazardous waste treated,Percent,570
2022,Proportion of hazardous waste treated,Percent,513
2023,Proportion of hazardous waste treated,Percent,462
2024,Proportion of hazardous waste treated,Percent,523
2015,Proportion of hazardous waste landfilled,Percent,1
2016,Proportion of hazardous waste landfilled,Percent,1
2017,Proportion of hazardous waste landfilled,Percent,0
2018,Proportion of hazardous waste landfilled,Percent,1
2019,Proportion of hazardous waste landfilled,Percent,1
2020,Proportion of hazardous waste landfilled,Percent,0
2021,Proportion of hazardous waste landfilled,Percent,1
2022,Proportion of hazardous waste landfilled,Percent,1
2023,Proportion of hazardous waste landfilled,Percent,0
2024,Proportion of hazardous waste landfilled,Percent,0
