Year,SEX,URBANISATION,COMPOSITE_BREAKDOWN,Value
2015,,,_L_UNP_DOM_WORK,13.2
2020,,,_L_UNP_DOM_WORK,11.5
2015,,U,_L_UNP_DOM_WORK,12.5
2020,,U,_L_UNP_DOM_WORK,10.7
2015,,R,_L_UNP_DOM_WORK,13.9
2020,,R,_L_UNP_DOM_WORK,11.9
2015,M,,_L_UNP_DOM_WORK,6.5
2020,M,,_L_UNP_DOM_WORK,3.9
2015,F,,_L_UNP_DOM_WORK,18.8
2020,F,,_L_UNP_DOM_WORK,18.1
2015,,,_L_UNP_SUB_WORK,1.7
2020,,,_L_UNP_SUB_WORK,2.6
2015,,U,_L_UNP_SUB_WORK,0.4
2020,,U,_L_UNP_SUB_WORK,1.0
2015,,R,_L_UNP_SUB_WORK,3.1
2020,,R,_L_UNP_SUB_WORK,3.5
2015,M,,_L_UNP_SUB_WORK,2.4
2020,M,,_L_UNP_SUB_WORK,3.6
2015,F,,_L_UNP_SUB_WORK,1.0
2020,F,,_L_UNP_SUB_WORK,1.7
2015,,,_L_UNP_CARE_CHILD,0.9
2020,,,_L_UNP_CARE_CHILD,2.0
2015,,U,_L_UNP_CARE_CHILD,0.9
2020,,U,_L_UNP_CARE_CHILD,1.7
2015,,R,_L_UNP_CARE_CHILD,0.9
2020,,R,_L_UNP_CARE_CHILD,2.2
2015,M,,_L_UNP_CARE_CHILD,0.6
2020,M,,_L_UNP_CARE_CHILD,1.2
2015,F,,_L_UNP_CARE_CHILD,1.2
2020,F,,_L_UNP_CARE_CHILD,2.8
