Year,SERIES,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,,,0.3
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,,,0.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Urban,,,,,0.6
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Urban,,,,,0.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Rural,,,,,0.1
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Rural,,,,,0.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Batken,under 15 years old,,,,,KG05,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Batken,under 15 years old,,,,,KG05,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Jalal-Abad,under 15 years old,,,,,KG03,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Jalal-Abad,under 15 years old,,,,,KG03,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Issyk-Kul,under 15 years old,,,,,KG02,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Naryn,under 15 years old,,,,,KG04,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh,under 15 years old,,,,,KG06,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh,under 15 years old,,,,,KG06,0.9
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Talas,under 15 years old,,,,,KG07,2.8
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Talas,under 15 years old,,,,,KG07,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Chui,under 15 years old,,,,,KG08,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Chui,under 15 years old,,,,,KG08,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Bishkek (city),under 15 years old,,,,,KG11,1.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Bishkek (city),under 15 years old,,,,,KG11,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh (city),under 15 years old,,,,,KG21,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh (city),under 15 years old,,,,,KG21,1.6
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Lower secondary education,,,0.6
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Lower secondary education,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Upper secondary education,,,0.8
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Upper secondary education,,,0.7
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Post-secondary non-tertiary education,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Post-secondary non-tertiary education,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Short-cycle tertiary education,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Short-cycle tertiary education,,,0.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,Persons without disability,,0.3
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,Persons without disability,,0.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 1 (poorest),,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 1 (poorest),,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 2,,,,0.4
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 2,,,,1.1
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 3,,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 3,,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 4,,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 4,,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 5 (richest),,,,1.1
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 5 (richest),,,,0.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,,,12.9
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,,,9.2
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Urban,,,,,8.4
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Urban,,,,,5.6
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Rural,,,,,15.7
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Rural,,,,,11.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Batken,under 18 years old,,,,,KG05,14.4
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Batken,under 18 years old,,,,,KG05,9.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Jalal-Abad,under 18 years old,,,,,KG03,13.6
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Jalal-Abad,under 18 years old,,,,,KG03,19.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Issyk-Kul,under 18 years old,,,,,KG02,11.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Naryn,under 18 years old,,,,,KG04,18.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh,under 18 years old,,,,,KG06,18.3
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh,under 18 years old,,,,,KG06,7.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Talas,under 18 years old,,,,,KG07,16.5
