Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value
2007,,,Non-communicable disease: Cardiovascular disease,,338.148644
2008,,,Non-communicable disease: Cardiovascular disease,,334.016356
2009,,,Non-communicable disease: Cardiovascular disease,,313.473027
2010,,,Non-communicable disease: Cardiovascular disease,,323.9
2011,,,Non-communicable disease: Cardiovascular disease,,326.3
2012,,,Non-communicable disease: Cardiovascular disease,,331.2
2013,,,Non-communicable disease: Cardiovascular disease,,308.2
2014,,,Non-communicable disease: Cardiovascular disease,,307.0
2015,,,Non-communicable disease: Cardiovascular disease,,297.0
2016,,,Non-communicable disease: Cardiovascular disease,,279.7
2017,,,Non-communicable disease: Cardiovascular disease,,276.0
2018,,,Non-communicable disease: Cardiovascular disease,,265.7
2019,,,Non-communicable disease: Cardiovascular disease,,266.2
2020,,,Non-communicable disease: Cardiovascular disease,,317.7
2021,,,Non-communicable disease: Cardiovascular disease,,297.1
2007,,Male,Non-communicable disease: Cardiovascular disease,,341.99762
2008,,Male,Non-communicable disease: Cardiovascular disease,,333.529217
2009,,Male,Non-communicable disease: Cardiovascular disease,,317.835613
2010,,Male,Non-communicable disease: Cardiovascular disease,,328.276067
2011,,Male,Non-communicable disease: Cardiovascular disease,,332.170272
2012,,Male,Non-communicable disease: Cardiovascular disease,,335.775909
2013,,Male,Non-communicable disease: Cardiovascular disease,,318.951798
2014,,Male,Non-communicable disease: Cardiovascular disease,,317.836976
2015,,Male,Non-communicable disease: Cardiovascular disease,,303.536912
2016,,Male,Non-communicable disease: Cardiovascular disease,,284.556895
2017,,Male,Non-communicable disease: Cardiovascular disease,,284.323937
2018,,Male,Non-communicable disease: Cardiovascular disease,,273.814459
2019,,Male,Non-communicable disease: Cardiovascular disease,,275.689849
2020,,Male,Non-communicable disease: Cardiovascular disease,,336.5
2021,,Male,Non-communicable disease: Cardiovascular disease,,311.0
2007,,Female,Non-communicable disease: Cardiovascular disease,,334.396636
2008,,Female,Non-communicable disease: Cardiovascular disease,,334.491404
2009,,Female,Non-communicable disease: Cardiovascular disease,,309.213309
2010,,Female,Non-communicable disease: Cardiovascular disease,,319.570812
2011,,Female,Non-communicable disease: Cardiovascular disease,,320.487106
2012,,Female,Non-communicable disease: Cardiovascular disease,,326.660087
2013,,Female,Non-communicable disease: Cardiovascular disease,,297.628103
2014,,Female,Non-communicable disease: Cardiovascular disease,,296.293785
2015,,Female,Non-communicable disease: Cardiovascular disease,,290.6625
2016,,Female,Non-communicable disease: Cardiovascular disease,,274.958443
2017,,Female,Non-communicable disease: Cardiovascular disease,,267.728625
2018,,Female,Non-communicable disease: Cardiovascular disease,,257.796323
2019,,Female,Non-communicable disease: Cardiovascular disease,,256.878478
2020,,Female,Non-communicable disease: Cardiovascular disease,,299.2
2021,,Female,Non-communicable disease: Cardiovascular disease,,283.3
2007,Batken,,Non-communicable disease: Cardiovascular disease,KG05,278.463649
2008,Batken,,Non-communicable disease: Cardiovascular disease,KG05,281.861092
2009,Batken,,Non-communicable disease: Cardiovascular disease,KG05,286.249449
2010,Batken,,Non-communicable disease: Cardiovascular disease,KG05,285.093736
2011,Batken,,Non-communicable disease: Cardiovascular disease,KG05,305.686671
2012,Batken,,Non-communicable disease: Cardiovascular disease,KG05,338.2
2013,Batken,,Non-communicable disease: Cardiovascular disease,KG05,289.468016
2014,Batken,,Non-communicable disease: Cardiovascular disease,KG05,283.038721
2015,Batken,,Non-communicable disease: Cardiovascular disease,KG05,284.833539
2016,Batken,,Non-communicable disease: Cardiovascular disease,KG05,292.310781
2017,Batken,,Non-communicable disease: Cardiovascular disease,KG05,267.453294
2018,Batken,,Non-communicable disease: Cardiovascular disease,KG05,257.219869
2019,Batken,,Non-communicable disease: Cardiovascular disease,KG05,251.694277
2020,Batken,,Non-communicable disease: Cardiovascular disease,KG05,318.0
2021,Batken,,Non-communicable disease: Cardiovascular disease,KG05,281.7
2007,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,290.598291
2008,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,295.837024
2009,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,296.006944
2010,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,292.847503
2011,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,319.751993
2012,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,359.375
2013,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,321.322594
2014,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,298.84106
2015,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,308.282828
2016,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,309.786898
2017,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,302.936631
2018,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,282.041588
2019,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,266.444937
2020,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,351.9
2021,Batken,Male,Non-communicable disease: Cardiovascular disease,KG05,299.5
2007,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,265.922827
2008,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,267.457782
2009,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,276.186213
2010,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,277.080428
2011,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,291.191237
2012,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,316.472695
2013,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,256.567426
2014,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,266.695205
2015,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,260.560435
2016,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,274.213322
2017,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,230.676812
2018,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,231.463319
2019,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,236.37759
2020,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,282.8
2021,Batken,Female,Non-communicable disease: Cardiovascular disease,KG05,263.3
2007,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,272.842023
2008,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,285.249665
2009,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,265.321445
2010,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,266.239441
2011,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,289.841209
2012,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,286.2
2013,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,264.613971
2014,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,264.584084
2015,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,268.3
2016,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,248.963372
2017,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,244.045096
2018,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,237.837838
2019,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,243.111039
2020,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,292.4
2021,Jalal-Abad,,Non-communicable disease: Cardiovascular disease,KG03,287.1
2007,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,285.354025
2008,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,281.620176
2009,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,271.688214
2010,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,270.223084
2011,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,295.758502
2012,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,285.553682
2013,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,275.261324
2014,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,278.047029
2015,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,279.719052
2016,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,256.189821
2017,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,252.234025
