Year,COMPOSITE_BREAKDOWN,Value
2010,_L_TCH_PR_SCH_EDU,87.9
2013,_L_TCH_PR_SCH_EDU,88.8
2014,_L_TCH_PR_SCH_EDU,89.8
2015,_L_TCH_PR_SCH_EDU,94.7
2016,_L_TCH_PR_SCH_EDU,91.6
2017,_L_TCH_PR_SCH_EDU,93.4
2018,_L_TCH_PR_SCH_EDU,93.5
2019,_L_TCH_PR_SCH_EDU,93.6
2010,_L_TCH_PR_SCH_1_4,93.6
2013,_L_TCH_PR_SCH_1_4,94.3
2014,_L_TCH_PR_SCH_1_4,94.4
2015,_L_TCH_PR_SCH_1_4,95.0
2016,_L_TCH_PR_SCH_1_4,95.4
2017,_L_TCH_PR_SCH_1_4,96.0
2018,_L_TCH_PR_SCH_1_4,96.4
2019,_L_TCH_PR_SCH_1_4,96.3
2010,_L_TCH_PR_SEC_SCH_5_11,92.9
2013,_L_TCH_PR_SEC_SCH_5_11,94.8
2014,_L_TCH_PR_SEC_SCH_5_11,95.3
2015,_L_TCH_PR_SEC_SCH_5_11,95.9
2016,_L_TCH_PR_SEC_SCH_5_11,96.9
2017,_L_TCH_PR_SEC_SCH_5_11,97.9
2018,_L_TCH_PR_SEC_SCH_5_11,98.0
2019,_L_TCH_PR_SEC_SCH_5_11,98.0
