Year,Series,Reference area,Value
2007,SH_ACS_DTP3,,94.1
2008,SH_ACS_DTP3,,95.3
2009,SH_ACS_DTP3,,95.4
2010,SH_ACS_DTP3,,96.5
2011,SH_ACS_DTP3,,95.1
2012,SH_ACS_DTP3,,96.2
2013,SH_ACS_DTP3,,96.9
2014,SH_ACS_DTP3,,95.8
2015,SH_ACS_DTP3,,96.6
2016,SH_ACS_DTP3,,96.1
2017,SH_ACS_DTP3,,93.4
2018,SH_ACS_DTP3,,94.5
2019,SH_ACS_DTP3,,94.351083
2007,SH_ACS_DTP3,Batken,93.4
2008,SH_ACS_DTP3,Batken,96.8
2009,SH_ACS_DTP3,Batken,95.4
2010,SH_ACS_DTP3,Batken,96.8
2011,SH_ACS_DTP3,Batken,96.7
2012,SH_ACS_DTP3,Batken,98.3
2013,SH_ACS_DTP3,Batken,97.7
2014,SH_ACS_DTP3,Batken,98.9
2015,SH_ACS_DTP3,Batken,98.6
2016,SH_ACS_DTP3,Batken,98.1
2017,SH_ACS_DTP3,Batken,96.7
2018,SH_ACS_DTP3,Batken,96.6
2019,SH_ACS_DTP3,Batken,98.322619
2007,SH_ACS_DTP3,Jalal-Abad,93.6
2008,SH_ACS_DTP3,Jalal-Abad,95.6
2009,SH_ACS_DTP3,Jalal-Abad,95.9
2010,SH_ACS_DTP3,Jalal-Abad,95.9
2011,SH_ACS_DTP3,Jalal-Abad,94.2
2012,SH_ACS_DTP3,Jalal-Abad,95.9
2013,SH_ACS_DTP3,Jalal-Abad,97.8
2014,SH_ACS_DTP3,Jalal-Abad,94.8
2015,SH_ACS_DTP3,Jalal-Abad,96.1
2016,SH_ACS_DTP3,Jalal-Abad,95.8
2017,SH_ACS_DTP3,Jalal-Abad,93.8
2018,SH_ACS_DTP3,Jalal-Abad,96.1
2019,SH_ACS_DTP3,Jalal-Abad,90.174029
2007,SH_ACS_DTP3,Issyk-Kul,93.9
2008,SH_ACS_DTP3,Issyk-Kul,95.2
2009,SH_ACS_DTP3,Issyk-Kul,95.3
2010,SH_ACS_DTP3,Issyk-Kul,97.2
2011,SH_ACS_DTP3,Issyk-Kul,93.6
2012,SH_ACS_DTP3,Issyk-Kul,96.9
2013,SH_ACS_DTP3,Issyk-Kul,97.3
2014,SH_ACS_DTP3,Issyk-Kul,91.3
2015,SH_ACS_DTP3,Issyk-Kul,98.0
2016,SH_ACS_DTP3,Issyk-Kul,95.9
2017,SH_ACS_DTP3,Issyk-Kul,96.1
2018,SH_ACS_DTP3,Issyk-Kul,95.0
2019,SH_ACS_DTP3,Issyk-Kul,94.575714
2007,SH_ACS_DTP3,Naryn,94.4
2008,SH_ACS_DTP3,Naryn,95.2
2009,SH_ACS_DTP3,Naryn,95.3
2010,SH_ACS_DTP3,Naryn,96.8
2011,SH_ACS_DTP3,Naryn,95.5
2012,SH_ACS_DTP3,Naryn,97.4
2013,SH_ACS_DTP3,Naryn,98.0
2014,SH_ACS_DTP3,Naryn,97.6
2015,SH_ACS_DTP3,Naryn,97.2
2016,SH_ACS_DTP3,Naryn,96.8
2017,SH_ACS_DTP3,Naryn,97.0
2018,SH_ACS_DTP3,Naryn,94.8
2019,SH_ACS_DTP3,Naryn,97.59292
2007,SH_ACS_DTP3,Osh,94.4
2008,SH_ACS_DTP3,Osh,94.5
2009,SH_ACS_DTP3,Osh,95.1
2010,SH_ACS_DTP3,Osh,95.5
2011,SH_ACS_DTP3,Osh,93.6
2012,SH_ACS_DTP3,Osh,93.0
2013,SH_ACS_DTP3,Osh,96.2
2014,SH_ACS_DTP3,Osh,98.3
2015,SH_ACS_DTP3,Osh,97.1
2016,SH_ACS_DTP3,Osh,98.5
2017,SH_ACS_DTP3,Osh,96.6
2018,SH_ACS_DTP3,Osh,95.8
2019,SH_ACS_DTP3,Osh,99.33564
2007,SH_ACS_DTP3,Talas,94.0
2008,SH_ACS_DTP3,Talas,94.8
2009,SH_ACS_DTP3,Talas,94.6
2010,SH_ACS_DTP3,Talas,96.8
2011,SH_ACS_DTP3,Talas,95.3
2012,SH_ACS_DTP3,Talas,96.0
2013,SH_ACS_DTP3,Talas,96.2
2014,SH_ACS_DTP3,Talas,93.4
2015,SH_ACS_DTP3,Talas,96.8
2016,SH_ACS_DTP3,Talas,95.2
2017,SH_ACS_DTP3,Talas,93.1
2018,SH_ACS_DTP3,Talas,95.3
2019,SH_ACS_DTP3,Talas,92.698706
2007,SH_ACS_DTP3,Chui,94.0
2008,SH_ACS_DTP3,Chui,95.5
2009,SH_ACS_DTP3,Chui,95.5
2010,SH_ACS_DTP3,Chui,96.3
2011,SH_ACS_DTP3,Chui,96.8
2012,SH_ACS_DTP3,Chui,97.6
2013,SH_ACS_DTP3,Chui,96.3
2014,SH_ACS_DTP3,Chui,96.0
2015,SH_ACS_DTP3,Chui,97.0
2016,SH_ACS_DTP3,Chui,97.5
2017,SH_ACS_DTP3,Chui,91.8
2018,SH_ACS_DTP3,Chui,92.5
2019,SH_ACS_DTP3,Chui,91.652622
2007,SH_ACS_DTP3,Bishkek (city),95.0
2008,SH_ACS_DTP3,Bishkek (city),94.9
2009,SH_ACS_DTP3,Bishkek (city),95.5
2010,SH_ACS_DTP3,Bishkek (city),96.8
2011,SH_ACS_DTP3,Bishkek (city),96.4
2012,SH_ACS_DTP3,Bishkek (city),97.2
2013,SH_ACS_DTP3,Bishkek (city),96.6
2014,SH_ACS_DTP3,Bishkek (city),93.7
2015,SH_ACS_DTP3,Bishkek (city),94.0
2016,SH_ACS_DTP3,Bishkek (city),90.5
2017,SH_ACS_DTP3,Bishkek (city),86.5
2018,SH_ACS_DTP3,Bishkek (city),90.3
2019,SH_ACS_DTP3,Bishkek (city),92.018905
2007,SH_ACS_DTP3,Osh (city),95.2
2008,SH_ACS_DTP3,Osh (city),96.7
2009,SH_ACS_DTP3,Osh (city),95.4
2010,SH_ACS_DTP3,Osh (city),95.7
2011,SH_ACS_DTP3,Osh (city),95.2
2012,SH_ACS_DTP3,Osh (city),98.5
2013,SH_ACS_DTP3,Osh (city),99.2
2014,SH_ACS_DTP3,Osh (city),96.0
2015,SH_ACS_DTP3,Osh (city),97.6
2016,SH_ACS_DTP3,Osh (city),96.7
2017,SH_ACS_DTP3,Osh (city),98.0
2018,SH_ACS_DTP3,Osh (city),95.2
2019,SH_ACS_DTP3,Osh (city),95.586032
2007,SH_ACS_MCV2,,98.8
2008,SH_ACS_MCV2,,99.1
2009,SH_ACS_MCV2,,98.9
2010,SH_ACS_MCV2,,98.3
2011,SH_ACS_MCV2,,97.2
2012,SH_ACS_MCV2,,97.7
2013,SH_ACS_MCV2,,98.666102
2014,SH_ACS_MCV2,,95.6
2015,SH_ACS_MCV2,,99.1
2016,SH_ACS_MCV2,,97.0
2017,SH_ACS_MCV2,,94.7
2018,SH_ACS_MCV2,,96.244215
2019,SH_ACS_MCV2,,97.245414
2007,SH_ACS_MCV2,Batken,99.2
2008,SH_ACS_MCV2,Batken,99.0
2009,SH_ACS_MCV2,Batken,99.9
2010,SH_ACS_MCV2,Batken,97.2
2011,SH_ACS_MCV2,Batken,95.7
2012,SH_ACS_MCV2,Batken,100.0
2013,SH_ACS_MCV2,Batken,99.9
2014,SH_ACS_MCV2,Batken,98.9
2015,SH_ACS_MCV2,Batken,97.6
2016,SH_ACS_MCV2,Batken,99.9
2017,SH_ACS_MCV2,Batken,98.7
2018,SH_ACS_MCV2,Batken,92.454654
2019,SH_ACS_MCV2,Batken,98.254513
2007,SH_ACS_MCV2,Jalal-Abad,97.8
2008,SH_ACS_MCV2,Jalal-Abad,99.2
2009,SH_ACS_MCV2,Jalal-Abad,98.3
2010,SH_ACS_MCV2,Jalal-Abad,98.3
2011,SH_ACS_MCV2,Jalal-Abad,100.0
2012,SH_ACS_MCV2,Jalal-Abad,99.0
2013,SH_ACS_MCV2,Jalal-Abad,99.6
2014,SH_ACS_MCV2,Jalal-Abad,91.7
2015,SH_ACS_MCV2,Jalal-Abad,100.0
2016,SH_ACS_MCV2,Jalal-Abad,95.7
2017,SH_ACS_MCV2,Jalal-Abad,88.8
2018,SH_ACS_MCV2,Jalal-Abad,93.49863
2019,SH_ACS_MCV2,Jalal-Abad,93.035179
2007,SH_ACS_MCV2,Issyk-Kul,99.0
2008,SH_ACS_MCV2,Issyk-Kul,99.7
2009,SH_ACS_MCV2,Issyk-Kul,99.7
2010,SH_ACS_MCV2,Issyk-Kul,99.2
2011,SH_ACS_MCV2,Issyk-Kul,96.9
2012,SH_ACS_MCV2,Issyk-Kul,95.7
2013,SH_ACS_MCV2,Issyk-Kul,97.4
2014,SH_ACS_MCV2,Issyk-Kul,95.6
2015,SH_ACS_MCV2,Issyk-Kul,98.9
2016,SH_ACS_MCV2,Issyk-Kul,97.7
2017,SH_ACS_MCV2,Issyk-Kul,95.1
2018,SH_ACS_MCV2,Issyk-Kul,96.51199
2019,SH_ACS_MCV2,Issyk-Kul,97.67698
2007,SH_ACS_MCV2,Naryn,99.4
2008,SH_ACS_MCV2,Naryn,99.1
2009,SH_ACS_MCV2,Naryn,98.9
2010,SH_ACS_MCV2,Naryn,99.5
2011,SH_ACS_MCV2,Naryn,96.7
2012,SH_ACS_MCV2,Naryn,97.6
2013,SH_ACS_MCV2,Naryn,97.3
2014,SH_ACS_MCV2,Naryn,97.7
2015,SH_ACS_MCV2,Naryn,98.1
2016,SH_ACS_MCV2,Naryn,98.1
2017,SH_ACS_MCV2,Naryn,97.0
2018,SH_ACS_MCV2,Naryn,97.646444
2019,SH_ACS_MCV2,Naryn,98.140747
2007,SH_ACS_MCV2,Osh,98.9
2008,SH_ACS_MCV2,Osh,99.5
2009,SH_ACS_MCV2,Osh,99.8
2010,SH_ACS_MCV2,Osh,99.7
2011,SH_ACS_MCV2,Osh,94.7
2012,SH_ACS_MCV2,Osh,96.6
2013,SH_ACS_MCV2,Osh,97.9
2014,SH_ACS_MCV2,Osh,96.1
2015,SH_ACS_MCV2,Osh,99.0
2016,SH_ACS_MCV2,Osh,99.2
2017,SH_ACS_MCV2,Osh,96.8
2018,SH_ACS_MCV2,Osh,98.10916
2019,SH_ACS_MCV2,Osh,99.619945
2007,SH_ACS_MCV2,Talas,98.6
2008,SH_ACS_MCV2,Talas,99.2
2009,SH_ACS_MCV2,Talas,97.6
2010,SH_ACS_MCV2,Talas,97.1
2011,SH_ACS_MCV2,Talas,97.7
2012,SH_ACS_MCV2,Talas,98.8
2013,SH_ACS_MCV2,Talas,97.7
2014,SH_ACS_MCV2,Talas,94.3
2015,SH_ACS_MCV2,Talas,97.1
2016,SH_ACS_MCV2,Talas,97.0
2017,SH_ACS_MCV2,Talas,95.6
2018,SH_ACS_MCV2,Talas,98.413291
2019,SH_ACS_MCV2,Talas,95.974889
2007,SH_ACS_MCV2,Chui,99.1
2008,SH_ACS_MCV2,Chui,97.4
2009,SH_ACS_MCV2,Chui,98.7
2010,SH_ACS_MCV2,Chui,96.4
2011,SH_ACS_MCV2,Chui,97.1
2012,SH_ACS_MCV2,Chui,96.4
2013,SH_ACS_MCV2,Chui,99.3
2014,SH_ACS_MCV2,Chui,96.5
2015,SH_ACS_MCV2,Chui,98.6
2016,SH_ACS_MCV2,Chui,95.0
2017,SH_ACS_MCV2,Chui,96.3
2018,SH_ACS_MCV2,Chui,97.43813
2019,SH_ACS_MCV2,Chui,99.450649
2007,SH_ACS_MCV2,Bishkek (city),99.8
2008,SH_ACS_MCV2,Bishkek (city),99.9
2009,SH_ACS_MCV2,Bishkek (city),98.6
2010,SH_ACS_MCV2,Bishkek (city),99.0
2011,SH_ACS_MCV2,Bishkek (city),97.4
2012,SH_ACS_MCV2,Bishkek (city),97.7
2013,SH_ACS_MCV2,Bishkek (city),98.4
2014,SH_ACS_MCV2,Bishkek (city),95.6
2015,SH_ACS_MCV2,Bishkek (city),99.8
2016,SH_ACS_MCV2,Bishkek (city),95.1
2017,SH_ACS_MCV2,Bishkek (city),91.7
2018,SH_ACS_MCV2,Bishkek (city),96.281062
2019,SH_ACS_MCV2,Bishkek (city),96.444387
2007,SH_ACS_MCV2,Osh (city),98.8
2008,SH_ACS_MCV2,Osh (city),98.9
2009,SH_ACS_MCV2,Osh (city),98.2
2010,SH_ACS_MCV2,Osh (city),97.4
2011,SH_ACS_MCV2,Osh (city),99.7
2012,SH_ACS_MCV2,Osh (city),98.1
2013,SH_ACS_MCV2,Osh (city),98.7
2014,SH_ACS_MCV2,Osh (city),99.9
2015,SH_ACS_MCV2,Osh (city),99.7
2016,SH_ACS_MCV2,Osh (city),96.8
2017,SH_ACS_MCV2,Osh (city),97.7
2018,SH_ACS_MCV2,Osh (city),99.425085
2019,SH_ACS_MCV2,Osh (city),97.981883
2015,SH_ACS_PCV3,,96.8
2016,SH_ACS_PCV3,,97.2
2017,SH_ACS_PCV3,,94.2
2018,SH_ACS_PCV3,,92.0
2019,SH_ACS_PCV3,,95.083643
2015,SH_ACS_PCV3,Batken,97.3
2016,SH_ACS_PCV3,Batken,99.3
2017,SH_ACS_PCV3,Batken,96.3
2018,SH_ACS_PCV3,Batken,94.6
2019,SH_ACS_PCV3,Batken,99.597512
2015,SH_ACS_PCV3,Jalal-Abad,97.3
2016,SH_ACS_PCV3,Jalal-Abad,95.9
2017,SH_ACS_PCV3,Jalal-Abad,94.5
2018,SH_ACS_PCV3,Jalal-Abad,93.8
2019,SH_ACS_PCV3,Jalal-Abad,90.089857
2015,SH_ACS_PCV3,Issyk-Kul,98.2
2016,SH_ACS_PCV3,Issyk-Kul,96.4
2017,SH_ACS_PCV3,Issyk-Kul,96.3
2018,SH_ACS_PCV3,Issyk-Kul,95.0
2019,SH_ACS_PCV3,Issyk-Kul,94.992818
2015,SH_ACS_PCV3,Naryn,96.8
2016,SH_ACS_PCV3,Naryn,96.7
2017,SH_ACS_PCV3,Naryn,97.0
2018,SH_ACS_PCV3,Naryn,95.1
2019,SH_ACS_PCV3,Naryn,97.283381
2015,SH_ACS_PCV3,Osh,96.3
2016,SH_ACS_PCV3,Osh,98.8
