Year,SERIES,REF_AREA,URBANISATION,Value
2019,AG_PRD_FIESMS,,,4.5
2020,AG_PRD_FIESMS,,,5.7
2019,AG_PRD_FIESMS,,U,6.9
2020,AG_PRD_FIESMS,,U,9.4
2019,AG_PRD_FIESMS,,R,3.1
2020,AG_PRD_FIESMS,,R,3.6
2019,AG_PRD_FIESMS,KG05,,2.7
2020,AG_PRD_FIESMS,KG05,,2.4
2019,AG_PRD_FIESMS,KG03,,6.6
2020,AG_PRD_FIESMS,KG03,,7.0
2019,AG_PRD_FIESMS,KG02,,9.3
2020,AG_PRD_FIESMS,KG02,,9.8
2019,AG_PRD_FIESMS,KG04,,1.8
2020,AG_PRD_FIESMS,KG04,,1.3
2019,AG_PRD_FIESMS,KG06,,2.2
2020,AG_PRD_FIESMS,KG06,,2.2
2019,AG_PRD_FIESMS,KG07,,3.3
2020,AG_PRD_FIESMS,KG07,,7.6
2019,AG_PRD_FIESMS,KG08,,3.0
2020,AG_PRD_FIESMS,KG08,,4.2
2019,AG_PRD_FIESMS,KG11,,5.4
2020,AG_PRD_FIESMS,KG11,,10.3
2019,AG_PRD_FIESMS,KG21,,10.7
2020,AG_PRD_FIESMS,KG21,,12.2
2019,AG_PRD_FIESS,,,0.8
2020,AG_PRD_FIESS,,,1.3
2019,AG_PRD_FIESS,,U,1.8
2020,AG_PRD_FIESS,,U,2.9
2019,AG_PRD_FIESS,,R,0.2
2020,AG_PRD_FIESS,,R,0.4
2019,AG_PRD_FIESS,KG05,,0.1
2020,AG_PRD_FIESS,KG05,,0.0
2019,AG_PRD_FIESS,KG03,,2.1
2020,AG_PRD_FIESS,KG03,,2.4
2019,AG_PRD_FIESS,KG02,,0.7
2020,AG_PRD_FIESS,KG02,,1.5
2019,AG_PRD_FIESS,KG04,,0.1
2020,AG_PRD_FIESS,KG04,,0.4
2019,AG_PRD_FIESS,KG06,,0.1
2020,AG_PRD_FIESS,KG06,,0.3
2019,AG_PRD_FIESS,KG07,,0.1
2020,AG_PRD_FIESS,KG07,,0.8
2019,AG_PRD_FIESS,KG08,,0.7
2020,AG_PRD_FIESS,KG08,,1.4
2019,AG_PRD_FIESS,KG11,,0.4
2020,AG_PRD_FIESS,KG11,,1.8
2019,AG_PRD_FIESS,KG21,,2.7
2020,AG_PRD_FIESS,KG21,,3.7
