Year,Пол,Возраст (лет),Уровень образования,Род занятий,Value
2009,,,,,2093
2010,,,,,1789
2011,,,,,1809
2012,,,,,2415
2013,,,,,2339
2014,,,,,2629
2015,,,,,3333
2016,,,,,7005
2017,,,,,7323
2018,,,,,7178
2009,Мужчины,,,,166
2010,Мужчины,,,,130
2011,Мужчины,,,,95
2012,Мужчины,,,,74
2013,Мужчины,,,,70
2014,Мужчины,,,,98
2015,Мужчины,,,,104
2016,Мужчины,,,,210
2017,Мужчины,,,,357
2018,Мужчины,,,,616
2009,Женщины,,,,1927
2010,Женщины,,,,1659
2011,Женщины,,,,1714
2012,Женщины,,,,2341
2013,Женщины,,,,2269
2014,Женщины,,,,2531
2015,Женщины,,,,3229
2016,Женщины,,,,6795
2017,Женщины,,,,6966
2018,Женщины,,,,6562
2009,,до 20,,,126
2010,,до 20,,,212
2011,,до 20,,,37
2012,,до 20,,,92
2013,,до 20,,,73
2014,,до 20,,,100
2015,,до 20,,,134
2016,,до 20,,,533
2017,,до 20,,,394
2018,,до 20,,,250
2009,,21-30,,,738
2010,,21-30,,,634
2011,,21-30,,,476
2012,,21-30,,,654
2013,,21-30,,,678
2014,,21-30,,,837
2015,,21-30,,,1054
2016,,21-30,,,2085
2017,,21-30,,,1888
2018,,21-30,,,2108
2009,,31-40,,,762
2010,,31-40,,,552
2011,,31-40,,,687
2012,,31-40,,,1108
2013,,31-40,,,957
2014,,31-40,,,904
2015,,31-40,,,1264
2016,,31-40,,,2422
2017,,31-40,,,2531
2018,,31-40,,,2385
2009,,41-50,,,336
2010,,41-50,,,283
2011,,41-50,,,461
2012,,41-50,,,424
2013,,41-50,,,463
2014,,41-50,,,482
2015,,41-50,,,625
2016,,41-50,,,1435
2017,,41-50,,,1496
2018,,41-50,,,1550
2009,,51 и старше,,,131
2010,,51 и старше,,,108
2011,,51 и старше,,,148
2012,,51 и старше,,,137
2013,,51 и старше,,,168
2014,,51 и старше,,,296
2015,,51 и старше,,,256
2016,,51 и старше,,,530
2017,,51 и старше,,,1014
2018,,51 и старше,,,885
2009,,,Среднее общее,,1101
2010,,,Среднее общее,,795
2011,,,Среднее общее,,1072
2012,,,Среднее общее,,1647
2013,,,Среднее общее,,1588
2014,,,Среднее общее,,1839
2015,,,Среднее общее,,2195
2016,,,Среднее общее,,4436
2017,,,Среднее общее,,4793
2018,,,Среднее общее,,4228
2009,,,Среднее профессиональное,,523
2010,,,Среднее профессиональное,,495
2011,,,Среднее профессиональное,,359
2012,,,Среднее профессиональное,,421
2013,,,Среднее профессиональное,,483
2014,,,Среднее профессиональное,,318
2015,,,Среднее профессиональное,,563
2016,,,Среднее профессиональное,,1226
2017,,,Среднее профессиональное,,1035
2018,,,Среднее профессиональное,,1223
2009,,,Незаконченное Высшее профессиональное,,131
2010,,,Незаконченное Высшее профессиональное,,191
2011,,,Незаконченное Высшее профессиональное,,164
2012,,,Незаконченное Высшее профессиональное,,121
2013,,,Незаконченное Высшее профессиональное,,87
2014,,,Незаконченное Высшее профессиональное,,173
2015,,,Незаконченное Высшее профессиональное,,159
2016,,,Незаконченное Высшее профессиональное,,576
2017,,,Незаконченное Высшее профессиональное,,585
2018,,,Незаконченное Высшее профессиональное,,685
2009,,,Высшее профессиональное,,264
2010,,,Высшее профессиональное,,141
2011,,,Высшее профессиональное,,156
2012,,,Высшее профессиональное,,222
2013,,,Высшее профессиональное,,174
2014,,,Высшее профессиональное,,246
2015,,,Высшее профессиональное,,276
2016,,,Высшее профессиональное,,559
2017,,,Высшее профессиональное,,650
2018,,,Высшее профессиональное,,818
2009,,,Другое,,74
2010,,,Другое,,167
2011,,,Другое,,58
2012,,,Другое,,4
2013,,,Другое,,7
2014,,,Другое,,42
2015,,,Другое,,140
2016,,,Другое,,208
2017,,,Другое,,260
2018,,,Другое,,224
2009,,,,Работают,533
2010,,,,Работают,560
2011,,,,Работают,493
2012,,,,Работают,478
2013,,,,Работают,383
2014,,,,Работают,464
2015,,,,Работают,646
2016,,,,Работают,1658
2017,,,,Работают,1516
2018,,,,Работают,1818
2009,,,,Не работают,1384
2010,,,,Не работают,1106
2011,,,,Не работают,1232
2012,,,,Не работают,1814
2013,,,,Не работают,1810
2014,,,,Не работают,1916
2015,,,,Не работают,2428
2016,,,,Не работают,4906
2017,,,,Не работают,5164
2018,,,,Не работают,4681
2009,,,,"Учащиеся, студенты",82
2010,,,,"Учащиеся, студенты",30
2011,,,,"Учащиеся, студенты",14
2012,,,,"Учащиеся, студенты",36
2013,,,,"Учащиеся, студенты",61
2014,,,,"Учащиеся, студенты",95
2015,,,,"Учащиеся, студенты",94
2016,,,,"Учащиеся, студенты",74
2017,,,,"Учащиеся, студенты",120
2018,,,,"Учащиеся, студенты",364
2009,,,,Пенсионеры,94
2010,,,,Пенсионеры,93
2011,,,,Пенсионеры,70
2012,,,,Пенсионеры,87
2013,,,,Пенсионеры,85
2014,,,,Пенсионеры,143
2015,,,,Пенсионеры,165
2016,,,,Пенсионеры,367
2017,,,,Пенсионеры,523
2018,,,,Пенсионеры,315
