Year,Показатель,Value
2010,"Темп роста (снижения) ВВП, в процентах к предыдущему году",99.5
2011,"Темп роста (снижения) ВВП, в процентах к предыдущему году",106
2012,"Темп роста (снижения) ВВП, в процентах к предыдущему году",99.9
2013,"Темп роста (снижения) ВВП, в процентах к предыдущему году",110.9
2014,"Темп роста (снижения) ВВП, в процентах к предыдущему году",104
2015,"Темп роста (снижения) ВВП, в процентах к предыдущему году",103.9
2016,"Темп роста (снижения) ВВП, в процентах к предыдущему году",104.3
2017,"Темп роста (снижения) ВВП, в процентах к предыдущему году",104.7
2018,"Темп роста (снижения) ВВП, в процентах к предыдущему году",103.8
2019,"Темп роста (снижения) ВВП, в процентах к предыдущему году",
2010,"Индекс потребительских цен, в поцентах к предыдущему году",108
2011,"Индекс потребительских цен, в поцентах к предыдущему году",116.6
2012,"Индекс потребительских цен, в поцентах к предыдущему году",102.8
2013,"Индекс потребительских цен, в поцентах к предыдущему году",106.6
2014,"Индекс потребительских цен, в поцентах к предыдущему году",107.5
2015,"Индекс потребительских цен, в поцентах к предыдущему году",106.5
2016,"Индекс потребительских цен, в поцентах к предыдущему году",100.4
2017,"Индекс потребительских цен, в поцентах к предыдущему году",103.2
2018,"Индекс потребительских цен, в поцентах к предыдущему году",101.5
2019,"Индекс потребительских цен, в поцентах к предыдущему году",101.1
2010,"Индекс цен производителей, в поцентах к предыдущему году",122.79
2011,"Индекс цен производителей, в поцентах к предыдущему году",122.02
2012,"Индекс цен производителей, в поцентах к предыдущему году",105.3
2013,"Индекс цен производителей, в поцентах к предыдущему году",97.92
2014,"Индекс цен производителей, в поцентах к предыдущему году",101.45
2015,"Индекс цен производителей, в поцентах к предыдущему году",108.75
2016,"Индекс цен производителей, в поцентах к предыдущему году",106.41
2017,"Индекс цен производителей, в поцентах к предыдущему году",101.66
2018,"Индекс цен производителей, в поцентах к предыдущему году",101.49
2019,"Индекс цен производителей, в поцентах к предыдущему году",104.1
2010,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-10768
2011,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-13663.7
2012,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-20232.3
2013,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-2330.48
2014,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-1875.54
2015,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-6149.32
2016,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-20888.9
2017,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-16476.2
2018,"Дефицит государственного бюджета и источники его финансирования, млн сомов",-6188.9
2019,"Дефицит государственного бюджета и источники его финансирования, млн сомов",
2010,"Объем государственного долга, млн сомов",7667.406
2011,"Объем государственного долга, млн сомов",9394.668
2012,"Объем государственного долга, млн сомов",11440.61
2013,"Объем государственного долга, млн сомов",13939.59
2014,"Объем государственного долга, млн сомов",13713.46
2015,"Объем государственного долга, млн сомов",14364.39
2016,"Объем государственного долга, млн сомов",20698.73
2017,"Объем государственного долга, млн сомов",20620.48
2018,"Объем государственного долга, млн сомов",23747.69
2019,"Объем государственного долга, млн сомов",
2010,"Внешеторговый оборот, в процентах к предыдущему году",105.6
2011,"Внешеторговый оборот, в процентах к предыдущему году",130.6245
2012,"Внешеторговый оборот, в процентах к предыдущему году",115.3843
2013,"Внешеторговый оборот, в процентах к предыдущему году",106.5286
2014,"Внешеторговый оборот, в процентах к предыдущему году",95.30386
2015,"Внешеторговый оборот, в процентах к предыдущему году",73.98932
2016,"Внешеторговый оборот, в процентах к предыдущему году",98.87875
2017,"Внешеторговый оборот, в процентах к предыдущему году",112.2973
2018,"Внешеторговый оборот, в процентах к предыдущему году",113.8968
2019,"Внешеторговый оборот, в процентах к предыдущему году",
2010,"Экспорт, млн. долл. США",1755.925
2011,"Экспорт, млн. долл. США",2242.166
2012,"Экспорт, млн. долл. США",1927.623
2013,"Экспорт, млн. долл. США",2006.85
2014,"Экспорт, млн. долл. США",1883.733
2015,"Экспорт, млн. долл. США",1482.942
2016,"Экспорт, млн. долл. США",1573.215
2017,"Экспорт, млн. долл. США",1764.255
2018,"Экспорт, млн. долл. США",1836.839
2019,"Экспорт, млн. долл. США",
2010,"Импорт, млн. долл. США",3222.772
2011,"Импорт, млн. долл. США",4261.226
2012,"Импорт, млн. долл. США",5576.264
2013,"Импорт, млн. долл. США",5986.983
2014,"Импорт, млн. долл. США",5734.704
2015,"Импорт, млн. долл. США",4153.861
2016,"Импорт, млн. долл. США",4000.442
2017,"Импорт, млн. долл. США",4494.728
2018,"Импорт, млн. долл. США",5291.946
2019,"Импорт, млн. долл. США",
