Year,Территория,Пол,Возраст,Value
2007,Кыргызская Республика,,,35
2008,Кыргызская Республика,,,31.7
2009,Кыргызская Республика,,,31.7
2010,Кыргызская Республика,,,33.7
2011,Кыргызская Республика,,,36.8
2012,Кыргызская Республика,,,38
2013,Кыргызская Республика,,,37
2014,Кыргызская Республика,,,30.6
2015,Кыргызская Республика,,,32.1
2016,Кыргызская Республика,,,25.4
2017,Кыргызская Республика,,,25.6
2018,Кыргызская Республика,,,22.4
2007,Кыргызская Республика,Женщины,,34.7
2008,Кыргызская Республика,Женщины,,31.4
2009,Кыргызская Республика,Женщины,,30.7
2010,Кыргызская Республика,Женщины,,32.7
2011,Кыргызская Республика,Женщины,,36.1
2012,Кыргызская Республика,Женщины,,37.2
2013,Кыргызская Республика,Женщины,,36.5
2014,Кыргызская Республика,Женщины,,29.7
2015,Кыргызская Республика,Женщины,,31.5
2016,Кыргызская Республика,Женщины,,25
2017,Кыргызская Республика,Женщины,,25
2018,Кыргызская Республика,Женщины,,22.5
2007,Кыргызская Республика,Мужчины,,35.4
2008,Кыргызская Республика,Мужчины,,32.1
2009,Кыргызская Республика,Мужчины,,32.9
2010,Кыргызская Республика,Мужчины,,34.8
2011,Кыргызская Республика,Мужчины,,37.6
2012,Кыргызская Республика,Мужчины,,39
2013,Кыргызская Республика,Мужчины,,37.5
2014,Кыргызская Республика,Мужчины,,31.5
2015,Кыргызская Республика,Мужчины,,32.7
2016,Кыргызская Республика,Мужчины,,25.7
2017,Кыргызская Республика,Мужчины,,26.3
2018,Кыргызская Республика,Мужчины,,22.2
2013,Кыргызская Республика,,Дети в возрасте 0 - 17 лет,45.2
2014,Кыргызская Республика,,Дети в возрасте 0 - 17 лет,37.9
2015,Кыргызская Республика,,Дети в возрасте 0 - 17 лет,40.5
2016,Кыргызская Республика,,Дети в возрасте 0 - 17 лет,31.5
2017,Кыргызская Республика,,Дети в возрасте 0 - 17 лет,32
2018,Кыргызская Республика,,Дети в возрасте 0 - 17 лет,28.3
2013,Кыргызская Республика,,Молодежь в возрасте 14 - 28 лет,35.6
2014,Кыргызская Республика,,Молодежь в возрасте 14 - 28 лет,28.5
2015,Кыргызская Республика,,Молодежь в возрасте 14 - 28 лет,29
2016,Кыргызская Республика,,Молодежь в возрасте 14 - 28 лет,23
2017,Кыргызская Республика,,Молодежь в возрасте 14 - 28 лет,22.9
2018,Кыргызская Республика,,Молодежь в возрасте 14 - 28 лет,20.9
2013,Кыргызская Республика,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",33.3
2014,Кыргызская Республика,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",27
2015,Кыргызская Республика,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",27.9
2016,Кыргызская Республика,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",21.8
2017,Кыргызская Республика,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",22
2018,Кыргызская Республика,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет )",19.3
2013,Кыргызская Республика,,Население старше трудоспособного возраста,25.2
2014,Кыргызская Республика,,Население старше трудоспособного возраста,21.3
2015,Кыргызская Республика,,Население старше трудоспособного возраста,21.8
2016,Кыргызская Республика,,Население старше трудоспособного возраста,19.9
2017,Кыргызская Республика,,Население старше трудоспособного возраста,18.9
2018,Кыргызская Республика,,Население старше трудоспособного возраста,14.8
2007,Баткенская область,,,40.4
2008,Баткенская область,,,20.7
2009,Баткенская область,,,31.5
2010,Баткенская область,,,33.6
2011,Баткенская область,,,35.6
2012,Баткенская область,,,34.2
2013,Баткенская область,,,53.9
2014,Баткенская область,,,40.7
2015,Баткенская область,,,41.2
2016,Баткенская область,,,37
2017,Баткенская область,,,40.5
2018,Баткенская область,,,33.8
2007,Баткенская область,Женщины,,41.3
2008,Баткенская область,Женщины,,22.4
