Year,Observation status,Area,Unit measure,Unit multiplier,Value
2012,Normal value,,Percent,Units,97.5
2013,Normal value,,Percent,Units,97.6
2014,Normal value,,Percent,Units,97.7
2015,Normal value,,Percent,Units,97.8
2016,Normal value,,Percent,Units,99.0
2017,Normal value,,Percent,Units,99.05
2018,Normal value,,Percent,Units,99.2
2012,Normal value,,Percent,Units,46.32
2013,Normal value,,Percent,Units,51.0
2014,Normal value,,Percent,Units,57.0
2015,Normal value,,Percent,Units,59.0
2016,Normal value,,Percent,Units,60.0
2017,Normal value,,Percent,Units,75.0
2018,Normal value,,Percent,Units,88.0
2012,Normal value,,Percent,Units,0.0
2013,Normal value,,Percent,Units,0.0
2014,Normal value,,Percent,Units,0.5
2015,Normal value,,Percent,Units,1.6
2016,Normal value,,Percent,Units,40.0
2017,Normal value,,Percent,Units,50.0
2018,Normal value,,Percent,Units,70.0
