Year,Территория,Пол,Возраст,Местность,Value
2016,,,,,50.2
2017,,,,,50.5
2018,,,,,45.8
2016,,Мужчины,,,50.3
2017,,Мужчины,,,50.3
2018,,Мужчины,,,45.8
2016,,Женщины,,,50.1
2017,,Женщины,,,50.6
2018,,Женщины,,,45.9
2016,,,Дети (до 18),,59.7
2017,,,Дети (до 18),,60
2018,,,Дети (до 18),,56
2016,,,Взрослые (18-64),,43.7
2017,,,Взрослые (18-64),,44.1
2018,,,Взрослые (18-64),,39.3
2016,,,Пожилые (65 и старше),,49.2
2017,,,Пожилые (65 и старше),,46.4
2018,,,Пожилые (65 и старше),,38.6
2016,,,,Городская,36.9
2017,,,,Городская,38.7
2018,,,,Городская,33.8
2016,,,,Сельская,57.4
2017,,,,Сельская,56.8
2018,,,,Сельская,52.4
2016,Иссык-Кульская область,,,,45.2
2017,Иссык-Кульская область,,,,47
2018,Иссык-Кульская область,,,,42.7
2016,Джалал-Абадская область,,,,59.6
2017,Джалал-Абадская область,,,,61.5
2018,Джалал-Абадская область,,,,53.8
2016,Нарынская область,,,,58.3
2017,Нарынская область,,,,50
2018,Нарынская область,,,,48.5
2016,Баткенская область,,,,64.9
2017,Баткенская область,,,,66
2018,Баткенская область,,,,64.8
2016,Ошская область,,,,57.5
2017,Ошская область,,,,52.1
2018,Ошская область,,,,58.5
2016,Таласская область,,,,49.8
2017,Таласская область,,,,39.8
2018,Таласская область,,,,43
2016,Чуйская область,,,,45.4
2017,Чуйская область,,,,48.7
2018,Чуйская область,,,,28
2016,г.Бишкек,,,,26.8
2017,г.Бишкек,,,,29.9
2018,г.Бишкек,,,,25.4
2016,г.Ош,,,,47.3
2017,г.Ош,,,,58.6
2018,г.Ош,,,,51.3
