Year,Территория,Value
2011,,25.41
2012,,26.88
2013,,28.02
2014,,28.07
2015,,28.6
2016,,30.19
2017,,31.3
2018,,31.5
2011,Баткенская область,2.97
2012,Баткенская область,3.65
2013,Баткенская область,4.78
2014,Баткенская область,5.22
2015,Баткенская область,6.7
2016,Баткенская область,6.31
2017,Баткенская область,12.02
2018,Баткенская область,9.1
2011,Джалал-Абадская область,8.77
2012,Джалал-Абадская область,11.69
2013,Джалал-Абадская область,5.49
2014,Джалал-Абадская область,5.61
2015,Джалал-Абадская область,5.6
2016,Джалал-Абадская область,8.34
2017,Джалал-Абадская область,14.38
2018,Джалал-Абадская область,9
2011,Иссык-Кульская область,15.39
2012,Иссык-Кульская область,18.79
2013,Иссык-Кульская область,25.09
2014,Иссык-Кульская область,24.16
2015,Иссык-Кульская область,27.1
2016,Иссык-Кульская область,29.99
2017,Иссык-Кульская область,38.65
2018,Иссык-Кульская область,41.4
2011,Нарынская область,5.55
2012,Нарынская область,6.27
2013,Нарынская область,12.48
2014,Нарынская область,14.2
2015,Нарынская область,13.7
2016,Нарынская область,16.98
2017,Нарынская область,17.84
2018,Нарынская область,20.4
2011,Ошская область (до 2013г. включая г. Ош),8.25
2012,Ошская область (до 2013г. включая г. Ош),7.82
2013,Ошская область (до 2013г. включая г. Ош),0.19
2014,Ошская область (до 2013г. включая г. Ош),0.73
2015,Ошская область (до 2013г. включая г. Ош),0.5
2016,Ошская область (до 2013г. включая г. Ош),0.45
2017,Ошская область (до 2013г. включая г. Ош),0.01
2018,Ошская область (до 2013г. включая г. Ош),0.5
2011,Таласская область,9.03
2012,Таласская область,7.84
2013,Таласская область,5.1
2014,Таласская область,5.49
2015,Таласская область,6.5
2016,Таласская область,6.52
2017,Таласская область,6.14
2018,Таласская область,6
2011,Чуйская область,41.93
2012,Чуйская область,46.11
2013,Чуйская область,46.19
2014,Чуйская область,49.2
2015,Чуйская область,48.7
2016,Чуйская область,50.97
2017,Чуйская область,48.94
2018,Чуйская область,56.8
2011,г. Бишкек,84.55
2012,г. Бишкек,85.14
2013,г. Бишкек,98.61
2014,г. Бишкек,99.39
2015,г. Бишкек,98.6
2016,г. Бишкек,99.66
2017,г. Бишкек,97.39
2018,г. Бишкек,96.5
2011,г. Ош,
2012,г. Ош,
2013,г. Ош,28.73
2014,г. Ош,27.93
2015,г. Ош,28.2
2016,г. Ош,29.55
2017,г. Ош,25.39
2018,г. Ош,25.5
