,,,Year,Деятельность,Value
,,,2010,Государственные услуги общего назначения,101.9
,,,2011,Государственные услуги общего назначения,98.1
,,,2012,Государственные услуги общего назначения,99.5
,,,2013,Государственные услуги общего назначения,98.9
,,,2014,Государственные услуги общего назначения,97.5
,,,2015,Государственные услуги общего назначения,96.9
,,,2016,Государственные услуги общего назначения,98.7
,,,2017,Государственные услуги общего назначения,100.4
,,,2018,Государственные услуги общего назначения,102.2
,,,2019,Государственные услуги общего назначения,101.9
,,,2010,Экономические вопросы,62.9
,,,2011,Экономические вопросы,98.4
,,,2012,Экономические вопросы,99.4
,,,2013,Экономические вопросы,95.7
,,,2014,Экономические вопросы,84.8
,,,2015,Экономические вопросы,94.8
,,,2016,Экономические вопросы,165.3
,,,2017,Экономические вопросы,94.9
,,,2018,Экономические вопросы,80.1
,,,2019,Экономические вопросы,105.5
,,,2010,Охрана окружающей среды,94.5
,,,2011,Охрана окружающей среды,99.2
,,,2012,Охрана окружающей среды,99.9
,,,2013,Охрана окружающей среды,91.7
,,,2014,Охрана окружающей среды,98.7
,,,2015,Охрана окружающей среды,93.6
,,,2016,Охрана окружающей среды,70.4
,,,2017,Охрана окружающей среды,101.9
,,,2018,Охрана окружающей среды,111.5
,,,2019,Охрана окружающей среды,104.4
,,,2010,Жилищные и коммунальные услуги,98.8
,,,2011,Жилищные и коммунальные услуги,96.3
,,,2012,Жилищные и коммунальные услуги,100
,,,2013,Жилищные и коммунальные услуги,98.2
,,,2014,Жилищные и коммунальные услуги,99.5
,,,2015,Жилищные и коммунальные услуги,95
,,,2016,Жилищные и коммунальные услуги,32.5
,,,2017,Жилищные и коммунальные услуги,136.5
,,,2018,Жилищные и коммунальные услуги,132.3
,,,2019,Жилищные и коммунальные услуги,141.7
,,,2010,Здравоохранение,99.8
,,,2011,Здравоохранение,98.8
,,,2012,Здравоохранение,99.6
,,,2013,Здравоохранение,97.3
,,,2014,Здравоохранение,96.2
,,,2015,Здравоохранение,98.4
,,,2016,Здравоохранение,89.8
,,,2017,Здравоохранение,124.3
,,,2018,Здравоохранение,105.4
,,,2019,Здравоохранение,125.6
,,,2010,Организация отдыха и культурно-религиозная деятельность,99
,,,2011,Организация отдыха и культурно-религиозная деятельность,97.8
,,,2012,Организация отдыха и культурно-религиозная деятельность,99.1
,,,2013,Организация отдыха и культурно-религиозная деятельность,98.8
,,,2014,Организация отдыха и культурно-религиозная деятельность,95.8
,,,2015,Организация отдыха и культурно-религиозная деятельность,97.8
,,,2016,Организация отдыха и культурно-религиозная деятельность,123.6
,,,2017,Организация отдыха и культурно-религиозная деятельность,172.2
,,,2018,Организация отдыха и культурно-религиозная деятельность,119.4
,,,2019,Организация отдыха и культурно-религиозная деятельность,130.8
,,,2010,Образование,98.6
,,,2011,Образование,98.8
,,,2012,Образование,99.5
,,,2013,Образование,96.8
,,,2014,Образование,99.5
,,,2015,Образование,97.3
,,,2016,Образование,83.7
,,,2017,Образование,112.8
,,,2018,Образование,106.4
,,,2019,Образование,114.1
,,,2010,Социальная защита,98.8
,,,2011,Социальная защита,98.7
,,,2012,Социальная защита,96.2
,,,2013,Социальная защита,97.8
,,,2014,Социальная защита,94.9
,,,2015,Социальная защита,98.4
,,,2016,Социальная защита,97.2
,,,2017,Социальная защита,90.5
,,,2018,Социальная защита,89.4
,,,2019,Социальная защита,90.4
