Year,concept.REF_AREA,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2018,,,,,96.3
2018,,code.U,,,96.1
2018,,code.R,,,96.5
2018,code.KG05,,,,99.6
2018,code.KG03,,,,93.4
2018,code.KG02,,,,99.1
2018,code.KG04,,,,99.4
2018,code.KG06,,,,99.1
2018,code.KG07,,,,99.8
2018,code.KG08,,,,91.6
2018,code.KG11,,,,95.7
2018,code.KG21,,,,96.8
2018,,,,code.ISCED11_1,92.1
2018,,,,code.ISCED11_2,94.7
2018,,,,code.ISCED11_3,97.4
2018,,,,code.ISCED11_4,96.6
2018,,,,code.ISCED11_5,95.1
2018,,,code.Q1,,97.2
2018,,,code.Q2,,95.9
2018,,,code.Q3,,96.5
2018,,,code.Q4,,96.4
2018,,,code.Q5,,95.7
