DATAFLOW,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,BASE_PER,NATURE,TIME_DETAIL,COMMENT_OBS,TIME_COVERAGE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,COMMENT_TS,GEO_INFO_URL,GEO_INFO_TYPE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2000,1.934364,A,0,PT,,C,2000,"Commitments, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2001,1.890978,A,0,PT,,C,2001,"Commitments, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2002,0.614636,A,0,PT,,C,2002,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2003,0.694953,A,0,PT,,C,2003,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2004,0.626734,A,0,PT,,C,2004,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2005,1.045997,A,0,PT,,C,2005,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2006,0.560348,A,0,PT,,C,2006,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2007,0.776058,A,0,PT,,C,2007,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2008,0.690974,A,0,PT,,C,2008,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2009,0.511858,A,0,PT,,C,2009,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
