Year,concept.REF_AREA,Value
2007,,0.13
2008,,0.09
2009,,0.29
2010,,0.28
2011,,0.01
2012,,0.28
2013,,0.34
2014,,0.07
2015,,0.06
2016,,0.21
2017,,0.31
2018,,0.28
2007,code.KG05,0.0
2008,code.KG05,0.27
2009,code.KG05,0.0
2010,code.KG05,0.21
2011,code.KG05,0.0
2012,code.KG05,0.0
2013,code.KG05,0.0
2014,code.KG05,0.0
2015,code.KG05,0.34
2016,code.KG05,0.32
2017,code.KG05,1.08
2018,code.KG05,0.45
2007,code.KG03,0.2
2008,code.KG03,0.0
2009,code.KG03,0.0
2010,code.KG03,0.22
2011,code.KG03,0.0
2012,code.KG03,0.61
2013,code.KG03,0.0
2014,code.KG03,0.0
2015,code.KG03,0.0
2016,code.KG03,0.0
2017,code.KG03,0.0
2018,code.KG03,0.0
2007,code.KG02,0.05
2008,code.KG02,0.34
2009,code.KG02,0.58
2010,code.KG02,0.11
2011,code.KG02,0.0
2012,code.KG02,0.0
2013,code.KG02,0.0
2014,code.KG02,0.0
2015,code.KG02,0.0
2016,code.KG02,0.0
2017,code.KG02,0.0
2018,code.KG02,0.89
2007,code.KG04,0.13
2008,code.KG04,0.63
2009,code.KG04,0.03
2010,code.KG04,3.46
2011,code.KG04,0.31
2012,code.KG04,0.0
2013,code.KG04,0.84
2014,code.KG04,0.2
2015,code.KG04,0.74
2016,code.KG04,0.7
2017,code.KG04,0.66
2018,code.KG04,1.7
2007,code.KG06,0.33
2008,code.KG06,0.03
2009,code.KG06,0.0
2010,code.KG06,0.09
2011,code.KG06,0.0
2012,code.KG06,0.0
2013,code.KG06,0.0
2014,code.KG06,0.0
2015,code.KG06,0.0
2016,code.KG06,0.0
2017,code.KG06,0.0
2018,code.KG06,0.0
2007,code.KG07,0.0
2008,code.KG07,0.0
2009,code.KG07,0.0
2010,code.KG07,0.0
2011,code.KG07,0.0
2012,code.KG07,0.0
2013,code.KG07,0.0
2014,code.KG07,0.0
2015,code.KG07,0.0
2016,code.KG07,0.0
2017,code.KG07,0.0
2018,code.KG07,0.0
2007,code.KG08,0.0
2008,code.KG08,0.0
2009,code.KG08,1.35
2010,code.KG08,0.16
2011,code.KG08,0.0
2012,code.KG08,1.09
2013,code.KG08,0.36
2014,code.KG08,0.42
2015,code.KG08,0.0
2016,code.KG08,1.01
2017,code.KG08,1.27
2018,code.KG08,0.32
2007,code.KG11,0.0
2008,code.KG11,0.02
2009,code.KG11,0.27
2010,code.KG11,0.0
2011,code.KG11,0.0
2012,code.KG11,0.03
2013,code.KG11,1.55
2014,code.KG11,0.0
2015,code.KG11,0.0
2016,code.KG11,0.0
2017,code.KG11,0.0
2018,code.KG11,0.33
2012,code.KG21,0.0
2013,code.KG21,0.0
2014,code.KG21,0.0
2015,code.KG21,0.0
2016,code.KG21,0.0
2017,code.KG21,0.0
2018,code.KG21,0.0
