Year,Reference area,Value
2007,,519
2008,,550
2009,,635
2010,,513
2011,,548
2012,,491
2013,,360
2014,,501
2015,,385
2016,,303
2017,,319
2018,,286
2007,Batken,748
2008,Batken,666
2009,Batken,417
2010,Batken,597
2011,Batken,669
2012,Batken,435
2013,Batken,420
2014,Batken,1087
2015,Batken,261
2016,Batken,419
2017,Batken,519
2018,Batken,336
2007,Jalal-Abad,328
2008,Jalal-Abad,666
2009,Jalal-Abad,403
2010,Jalal-Abad,311
2011,Jalal-Abad,365
2012,Jalal-Abad,559
2013,Jalal-Abad,330
2014,Jalal-Abad,537
2015,Jalal-Abad,533
2016,Jalal-Abad,335
2017,Jalal-Abad,536
2018,Jalal-Abad,382
2007,Issyk-Kul,897
2008,Issyk-Kul,1229
2009,Issyk-Kul,720
2010,Issyk-Kul,704
2011,Issyk-Kul,626
2012,Issyk-Kul,972
2013,Issyk-Kul,372
2014,Issyk-Kul,553
2015,Issyk-Kul,267
2016,Issyk-Kul,347
2017,Issyk-Kul,370
2018,Issyk-Kul,712
2007,Naryn,623
2008,Naryn,462
2009,Naryn,1055
2010,Naryn,696
2011,Naryn,833
2012,Naryn,562
2013,Naryn,290
2014,Naryn,1357
2015,Naryn,306
2016,Naryn,437
2018,Naryn,1057
2007,Osh,260
2008,Osh,544
2009,Osh,932
2010,Osh,786
2011,Osh,625
2012,Osh,581
2013,Osh,428
2014,Osh,434
2015,Osh,434
2016,Osh,249
2017,Osh,256
2018,Osh,195
2007,Talas,1203
2008,Talas,511
2009,Talas,613
2010,Talas,870
2011,Talas,409
2012,Talas,141
2013,Talas,148
2014,Talas,446
2015,Talas,151
2007,Chui,783
2008,Chui,344
2009,Chui,611
2010,Chui,495
2011,Chui,690
2012,Chui,412
2013,Chui,504
2014,Chui,444
2015,Chui,403
2016,Chui,479
2017,Chui,229
2018,Chui,161
2007,Bishkek (city),173
2008,Bishkek (city),220
2009,Bishkek (city),204
2010,Bishkek (city),194
2011,Bishkek (city),433
2012,Bishkek (city),180
2013,Bishkek (city),261
2014,Bishkek (city),164
2015,Bishkek (city),305
2016,Bishkek (city),176
2017,Bishkek (city),134
2018,Bishkek (city),180
2007,Osh (city),1006
2008,Osh (city),386
2009,Osh (city),1684
2011,Osh (city),357
2012,Osh (city),603
2013,Osh (city),150
2015,Osh (city),409
2016,Osh (city),135
2017,Osh (city),649
2018,Osh (city),83
