Year,concept.REF_AREA,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Value
2018,,,,,0.3
2018,code.KG05,,,,0.0
2018,code.KG03,,,,0.0
2018,code.KG02,,,,0.0
2018,code.KG04,,,,0.0
2018,code.KG06,,,,0.0
2018,code.KG07,,,,2.8
2018,code.KG08,,,,0.0
2018,code.KG11,,,,1.0
2018,code.KG21,,,,0.0
2018,,,code.ISCED11_2,,0.6
2018,,,code.ISCED11_3,,0.8
2018,,,code.ISCED11_4,,0.0
2018,,,code.ISCED11_5,,0.0
2018,,,,code.PWD,0.3
2018,,code.Q1,,,0.0
2018,,code.Q2,,,0.4
2018,,code.Q3,,,0.0
2018,,code.Q4,,,0.0
2018,,code.Q5,,,1.1
2018,,,,,12.9
2018,code.KG05,,,,14.4
2018,code.KG03,,,,13.6
2018,code.KG02,,,,11.5
2018,code.KG04,,,,18.4
2018,code.KG06,,,,18.3
2018,code.KG07,,,,16.5
2018,code.KG08,,,,11.6
2018,code.KG11,,,,5.3
2018,code.KG21,,,,13.2
2018,,,code.ISCED11_2,,30.3
2018,,,code.ISCED11_3,,21.3
2018,,,code.ISCED11_4,,6.0
2018,,,code.ISCED11_5,,2.6
2018,,,,code.PWD,12.7
2018,,code.Q1,,,11.8
2018,,code.Q2,,,19.7
2018,,code.Q3,,,14.4
2018,,code.Q4,,,12.5
2018,,code.Q5,,,6.4
