Year,Показатель,Территория,Value
2010,"Потери воды при транспортировке, млн. куб. метров",,1768
2011,"Потери воды при транспортировке, млн. куб. метров",,1877.1
2012,"Потери воды при транспортировке, млн. куб. метров",,1955.3
2013,"Потери воды при транспортировке, млн. куб. метров",,1873.3
2014,"Потери воды при транспортировке, млн. куб. метров",,2029.8
2015,"Потери воды при транспортировке, млн. куб. метров",,2092.3
2016,"Потери воды при транспортировке, млн. куб. метров",,1841.6
2017,"Потери воды при транспортировке, млн. куб. метров",,2128.3
2018,"Потери воды при транспортировке, млн. куб. метров",,2085.2
2010,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,116.2
2011,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,118.7
2012,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,92.6
2013,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,92.6
2014,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,48.3
2015,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,114.7
2016,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,114.5
2017,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,105.8
2018,"Потери воды при транспортировке, млн. куб. метров",Баткенская область,101.1
2010,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,189.7
2011,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,218.9
2012,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,451.3
2013,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,451.3
2014,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,350
2015,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,208.1
2016,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,200.6
2017,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,214.7
2018,"Потери воды при транспортировке, млн. куб. метров",Джалал-Абадская область,186.3
2010,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,164.6
2011,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,155
2012,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,181.6
2013,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,174.3
2014,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,198.9
2015,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,157.8
2016,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,165.3
2017,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,184.9
2018,"Потери воды при транспортировке, млн. куб. метров",Иссык-Кульская область,193.6
2010,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,188.7
2011,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,181.8
2012,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,194.4
2013,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,197.1
2014,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,197.1
2015,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,189.2
2016,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,182
2017,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,186.8
2018,"Потери воды при транспортировке, млн. куб. метров",Нарынская область,194.3
2010,"Потери воды при транспортировке, млн. куб. метров",Ошская область,227.7
2011,"Потери воды при транспортировке, млн. куб. метров",Ошская область,206.6
2012,"Потери воды при транспортировке, млн. куб. метров",Ошская область,386.2
2013,"Потери воды при транспортировке, млн. куб. метров",Ошская область,352.1
2014,"Потери воды при транспортировке, млн. куб. метров",Ошская область,232.6
2015,"Потери воды при транспортировке, млн. куб. метров",Ошская область,232.6
