Year,concept.REF_AREA,concept.SEX,concept.AGE,Value
2010,,,,8.6
2013,,,,8.3
2014,,,,8.0
2015,,,,7.6
2016,,,,7.2
2017,,,,6.9
2018,,,,6.2
2010,,code.M,,9.9
2013,,code.M,,9.7
2014,,code.M,,9.5
2015,,code.M,,9.0
2016,,code.M,,8.7
2017,,code.M,,8.9
2018,,code.M,,6.9
2010,,code.F,,7.7
2013,,code.F,,7.4
2014,,code.F,,7.0
2015,,code.F,,6.5
2016,,code.F,,6.2
2017,,code.F,,5.6
2018,,code.F,,5.7
2010,code.KG05,,,10.6
2013,code.KG05,,,12.7
2014,code.KG05,,,12.6
2015,code.KG05,,,10.9
2016,code.KG05,,,10.2
2017,code.KG05,,,9.9
2018,code.KG05,,,9.0
2010,code.KG05,code.M,,15.8
2013,code.KG05,code.M,,18.4
2014,code.KG05,code.M,,18.7
2015,code.KG05,code.M,,16.5
2016,code.KG05,code.M,,15.3
2017,code.KG05,code.M,,16.0
2018,code.KG05,code.M,,12.2
2010,code.KG05,code.F,,7.2
2013,code.KG05,code.F,,9.8
2014,code.KG05,code.F,,9.6
2015,code.KG05,code.F,,7.6
2016,code.KG05,code.F,,7.1
2017,code.KG05,code.F,,6.3
2018,code.KG05,code.F,,7.3
2010,code.KG03,,,7.8
2013,code.KG03,,,8.2
2014,code.KG03,,,7.6
2015,code.KG03,,,7.7
2016,code.KG03,,,7.5
2017,code.KG03,,,7.2
2018,code.KG03,,,6.2
2010,code.KG03,code.M,,8.9
2013,code.KG03,code.M,,10.3
2014,code.KG03,code.M,,10.0
2015,code.KG03,code.M,,9.9
2016,code.KG03,code.M,,10.3
2017,code.KG03,code.M,,10.5
2018,code.KG03,code.M,,9.1
2010,code.KG03,code.F,,7.1
2013,code.KG03,code.F,,6.7
2014,code.KG03,code.F,,6.0
2015,code.KG03,code.F,,6.1
2016,code.KG03,code.F,,5.8
2017,code.KG03,code.F,,5.3
2018,code.KG03,code.F,,4.7
2010,code.KG02,,,10.2
2013,code.KG02,,,9.5
2014,code.KG02,,,9.3
2015,code.KG02,,,9.1
2016,code.KG02,,,8.9
2017,code.KG02,,,8.7
2018,code.KG02,,,8.4
2010,code.KG02,code.M,,10.1
2013,code.KG02,code.M,,9.4
2014,code.KG02,code.M,,10.1
2015,code.KG02,code.M,,9.6
2016,code.KG02,code.M,,8.5
2017,code.KG02,code.M,,8.0
2018,code.KG02,code.M,,4.9
2010,code.KG02,code.F,,10.3
2013,code.KG02,code.F,,9.5
2014,code.KG02,code.F,,8.7
2015,code.KG02,code.F,,8.7
2016,code.KG02,code.F,,9.1
2017,code.KG02,code.F,,9.0
2018,code.KG02,code.F,,10.2
2010,code.KG04,,,10.3
2013,code.KG04,,,9.1
2014,code.KG04,,,9.7
2015,code.KG04,,,9.3
2016,code.KG04,,,9.0
2017,code.KG04,,,8.8
2018,code.KG04,,,8.8
2010,code.KG04,code.M,,14.7
2013,code.KG04,code.M,,14.2
2014,code.KG04,code.M,,15.4
2015,code.KG04,code.M,,13.7
2016,code.KG04,code.M,,14.6
2017,code.KG04,code.M,,12.3
2018,code.KG04,code.M,,15.0
2010,code.KG04,code.F,,8.2
2013,code.KG04,code.F,,6.8
2014,code.KG04,code.F,,7.4
2015,code.KG04,code.F,,7.6
2016,code.KG04,code.F,,6.6
2017,code.KG04,code.F,,7.1
2018,code.KG04,code.F,,6.2
2010,code.KG06,,,6.61
2013,code.KG06,,,6.3
2014,code.KG06,,,6.6
2015,code.KG06,,,6.0
2016,code.KG06,,,5.5
2017,code.KG06,,,5.1
2018,code.KG06,,,4.2
2010,code.KG06,code.M,,7.8
2013,code.KG06,code.M,,7.4
2014,code.KG06,code.M,,7.3
2015,code.KG06,code.M,,7.7
2016,code.KG06,code.M,,7.1
2017,code.KG06,code.M,,7.7
2018,code.KG06,code.M,,6.6
2010,code.KG06,code.F,,5.9
2013,code.KG06,code.F,,5.6
2014,code.KG06,code.F,,6.0
2015,code.KG06,code.F,,4.8
2016,code.KG06,code.F,,4.4
2017,code.KG06,code.F,,3.5
2018,code.KG06,code.F,,2.7
2010,code.KG07,,,5.1
2013,code.KG07,,,3.7
2014,code.KG07,,,3.9
2015,code.KG07,,,3.3
2016,code.KG07,,,2.8
2017,code.KG07,,,2.5
2018,code.KG07,,,2.5
2010,code.KG07,code.M,,5.2
2013,code.KG07,code.M,,4.8
2014,code.KG07,code.M,,6.5
2015,code.KG07,code.M,,5.6
2016,code.KG07,code.M,,5.0
2017,code.KG07,code.M,,4.6
2018,code.KG07,code.M,,3.6
2010,code.KG07,code.F,,4.9
2013,code.KG07,code.F,,2.8
2014,code.KG07,code.F,,1.7
2015,code.KG07,code.F,,1.3
2016,code.KG07,code.F,,1.2
2017,code.KG07,code.F,,0.9
2018,code.KG07,code.F,,1.7
2010,code.KG08,,,10.2
2013,code.KG08,,,9.8
2014,code.KG08,,,8.9
2015,code.KG08,,,8.6
2016,code.KG08,,,8.4
2017,code.KG08,,,8.1
2018,code.KG08,,,7.3
2010,code.KG08,code.M,,11.4
2013,code.KG08,code.M,,10.8
2014,code.KG08,code.M,,9.6
2015,code.KG08,code.M,,8.2
2016,code.KG08,code.M,,8.9
2017,code.KG08,code.M,,9.1
2018,code.KG08,code.M,,7.4
2010,code.KG08,code.F,,9.3
2013,code.KG08,code.F,,9.1
2014,code.KG08,code.F,,8.4
2015,code.KG08,code.F,,8.9
2016,code.KG08,code.F,,8.0
2017,code.KG08,code.F,,7.4
2018,code.KG08,code.F,,7.3
2010,code.KG11,,,10.0
2013,code.KG11,,,9.4
2014,code.KG11,,,8.9
2015,code.KG11,,,8.1
2016,code.KG11,,,7.7
2017,code.KG11,,,7.3
2018,code.KG11,,,6.7
2010,code.KG11,code.M,,10.6
2013,code.KG11,code.M,,9.7
2014,code.KG11,code.M,,9.5
2015,code.KG11,code.M,,8.4
2016,code.KG11,code.M,,7.6
2017,code.KG11,code.M,,7.9
2018,code.KG11,code.M,,5.0
2010,code.KG11,code.F,,9.5
2013,code.KG11,code.F,,9.3
2014,code.KG11,code.F,,8.4
2015,code.KG11,code.F,,7.7
2016,code.KG11,code.F,,7.8
2017,code.KG11,code.F,,6.7
2018,code.KG11,code.F,,8.2
2013,code.KG21,,,4.6
2014,code.KG21,,,4.2
2015,code.KG21,,,3.9
2016,code.KG21,,,3.6
2017,code.KG21,,,3.5
2018,code.KG21,,,3.0
2013,code.KG21,code.M,,3.8
2014,code.KG21,code.M,,5.2
2015,code.KG21,code.M,,5.6
2016,code.KG21,code.M,,6.3
2017,code.KG21,code.M,,4.5
2018,code.KG21,code.M,,3.5
2013,code.KG21,code.F,,5.0
2014,code.KG21,code.F,,3.8
2015,code.KG21,code.F,,3.1
2016,code.KG21,code.F,,2.5
2017,code.KG21,code.F,,3.0
2018,code.KG21,code.F,,2.7
2010,,,code.Y15T19,19.1
2013,,,code.Y15T19,16.2
2014,,,code.Y15T19,17.7
2015,,,code.Y15T19,17.3
2016,,,code.Y15T19,19.9
2017,,,code.Y15T19,18.3
2018,,,code.Y15T19,13.9
2010,,,code.Y20T29,12.4
2013,,,code.Y20T29,10.4
2014,,,code.Y20T29,10.2
2015,,,code.Y20T29,10.5
2016,,,code.Y20T29,10.4
2017,,,code.Y20T29,10.2
2018,,,code.Y20T29,9.5
2010,,,code.Y30T39,6.2
2013,,,code.Y30T39,7.2
2014,,,code.Y30T39,6.7
2015,,,code.Y30T39,6.2
2016,,,code.Y30T39,5.9
2017,,,code.Y30T39,5.4
2018,,,code.Y30T39,4.6
2010,,,code.Y40T49,5.9
2013,,,code.Y40T49,6.4
2014,,,code.Y40T49,6.7
2015,,,code.Y40T49,5.8
2016,,,code.Y40T49,5.3
2017,,,code.Y40T49,5.3
2018,,,code.Y40T49,4.3
2010,,,code.Y50T59,4.8
2013,,,code.Y50T59,6.1
2014,,,code.Y50T59,5.1
2015,,,code.Y50T59,4.2
2016,,,code.Y50T59,3.5
2017,,,code.Y50T59,3.8
2018,,,code.Y50T59,4.2
2010,,,code.Y60T69,2.3
2013,,,code.Y60T69,3.2
2014,,,code.Y60T69,2.6
2015,,,code.Y60T69,2.8
2016,,,code.Y60T69,1.3
2017,,,code.Y60T69,1.6
2018,,,code.Y60T69,2.7
2010,,,code.Y_GE70,0.6
2013,,,code.Y_GE70,1.6
2014,,,code.Y_GE70,2.8
2015,,,code.Y_GE70,1.4
2016,,,code.Y_GE70,0.9
2017,,,code.Y_GE70,0.3
