Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2007,,code.NCD_CARDIO,3497.0
2008,,code.NCD_CARDIO,3463.0
2009,,code.NCD_CARDIO,3265.0
2010,,code.NCD_CARDIO,3239.0
2011,,code.NCD_CARDIO,3263.0
2012,,code.NCD_CARDIO,3312.0
2013,,code.NCD_CARDIO,3082.0
2014,,code.NCD_CARDIO,3070.0
2015,,code.NCD_CARDIO,2970.0
2016,,code.NCD_CARDIO,2797.0
2017,,code.NCD_CARDIO,2760.0
2018,,code.NCD_CARDIO,2657.0
2007,code.KG05,code.NCD_CARDIO,2892.0
2008,code.KG05,code.NCD_CARDIO,2953.0
2009,code.KG05,code.NCD_CARDIO,3018.0
2010,code.KG05,code.NCD_CARDIO,2851.0
2011,code.KG05,code.NCD_CARDIO,3057.0
2012,code.KG05,code.NCD_CARDIO,3382.0
2013,code.KG05,code.NCD_CARDIO,2895.0
2014,code.KG05,code.NCD_CARDIO,2830.0
2015,code.KG05,code.NCD_CARDIO,2848.0
2016,code.KG05,code.NCD_CARDIO,2923.0
2017,code.KG05,code.NCD_CARDIO,2843.0
2018,code.KG05,code.NCD_CARDIO,2572.0
2007,code.KG03,code.NCD_CARDIO,2844.0
2008,code.KG03,code.NCD_CARDIO,2984.0
2009,code.KG03,code.NCD_CARDIO,2785.0
2010,code.KG03,code.NCD_CARDIO,2662.0
2011,code.KG03,code.NCD_CARDIO,2898.0
2012,code.KG03,code.NCD_CARDIO,2862.0
2013,code.KG03,code.NCD_CARDIO,2646.0
2014,code.KG03,code.NCD_CARDIO,2646.0
2015,code.KG03,code.NCD_CARDIO,2683.0
2016,code.KG03,code.NCD_CARDIO,2490.0
2017,code.KG03,code.NCD_CARDIO,2440.0
2018,code.KG03,code.NCD_CARDIO,2378.0
2007,code.KG02,code.NCD_CARDIO,4255.0
2008,code.KG02,code.NCD_CARDIO,4008.0
2009,code.KG02,code.NCD_CARDIO,3788.0
2010,code.KG02,code.NCD_CARDIO,3911.0
2011,code.KG02,code.NCD_CARDIO,3605.0
2012,code.KG02,code.NCD_CARDIO,3949.0
2013,code.KG02,code.NCD_CARDIO,3858.0
2014,code.KG02,code.NCD_CARDIO,3630.0
2015,code.KG02,code.NCD_CARDIO,3610.0
2016,code.KG02,code.NCD_CARDIO,3287.0
2017,code.KG02,code.NCD_CARDIO,325.9
2018,code.KG02,code.NCD_CARDIO,3020.0
2007,code.KG04,code.NCD_CARDIO,3380.0
2008,code.KG04,code.NCD_CARDIO,3143.0
2009,code.KG04,code.NCD_CARDIO,2896.0
2010,code.KG04,code.NCD_CARDIO,3011.0
2011,code.KG04,code.NCD_CARDIO,3263.0
2012,code.KG04,code.NCD_CARDIO,3182.0
2013,code.KG04,code.NCD_CARDIO,3274.0
2014,code.KG04,code.NCD_CARDIO,3176.0
2015,code.KG04,code.NCD_CARDIO,3100.0
2016,code.KG04,code.NCD_CARDIO,3128.0
2017,code.KG04,code.NCD_CARDIO,302.7
2018,code.KG04,code.NCD_CARDIO,3080.0
2007,code.KG06,code.NCD_CARDIO,2565.0
2008,code.KG06,code.NCD_CARDIO,2632.0
2009,code.KG06,code.NCD_CARDIO,2787.0
2010,code.KG06,code.NCD_CARDIO,2851.0
2011,code.KG06,code.NCD_CARDIO,2752.0
2012,code.KG06,code.NCD_CARDIO,2816.0
2013,code.KG06,code.NCD_CARDIO,2644.0
2014,code.KG06,code.NCD_CARDIO,2730.0
2015,code.KG06,code.NCD_CARDIO,2657.0
2016,code.KG06,code.NCD_CARDIO,2390.0
2017,code.KG06,code.NCD_CARDIO,240.8
2018,code.KG06,code.NCD_CARDIO,229.3
2007,code.KG07,code.NCD_CARDIO,3610.0
2008,code.KG07,code.NCD_CARDIO,3533.0
2009,code.KG07,code.NCD_CARDIO,3638.0
2010,code.KG07,code.NCD_CARDIO,3338.0
2011,code.KG07,code.NCD_CARDIO,3450.0
2012,code.KG07,code.NCD_CARDIO,3425.0
2013,code.KG07,code.NCD_CARDIO,3098.0
2014,code.KG07,code.NCD_CARDIO,3327.0
2015,code.KG07,code.NCD_CARDIO,3225.0
2016,code.KG07,code.NCD_CARDIO,2887.0
2017,code.KG07,code.NCD_CARDIO,301.9
2018,code.KG07,code.NCD_CARDIO,261.5
2007,code.KG08,code.NCD_CARDIO,5622.0
2008,code.KG08,code.NCD_CARDIO,5533.0
2009,code.KG08,code.NCD_CARDIO,4796.0
2010,code.KG08,code.NCD_CARDIO,4840.0
2011,code.KG08,code.NCD_CARDIO,4670.0
2012,code.KG08,code.NCD_CARDIO,4669.0
2013,code.KG08,code.NCD_CARDIO,4416.0
2014,code.KG08,code.NCD_CARDIO,4302.0
2015,code.KG08,code.NCD_CARDIO,4008.0
2016,code.KG08,code.NCD_CARDIO,3813.0
2017,code.KG08,code.NCD_CARDIO,377.7
2018,code.KG08,code.NCD_CARDIO,377.1
2007,code.KG11,code.NCD_CARDIO,3688.0
2008,code.KG11,code.NCD_CARDIO,3374.0
2009,code.KG11,code.NCD_CARDIO,3039.0
2010,code.KG11,code.NCD_CARDIO,2983.0
2011,code.KG11,code.NCD_CARDIO,3054.0
2012,code.KG11,code.NCD_CARDIO,2970.0
2013,code.KG11,code.NCD_CARDIO,2696.0
2014,code.KG11,code.NCD_CARDIO,2726.0
2015,code.KG11,code.NCD_CARDIO,2532.0
2016,code.KG11,code.NCD_CARDIO,2425.0
2017,code.KG11,code.NCD_CARDIO,242.4
2018,code.KG11,code.NCD_CARDIO,232.8
2007,code.KG21,code.NCD_CARDIO,2489.0
2008,code.KG21,code.NCD_CARDIO,2901.0
2009,code.KG21,code.NCD_CARDIO,2738.0
2010,code.KG21,code.NCD_CARDIO,2680.0
2011,code.KG21,code.NCD_CARDIO,2819.0
2012,code.KG21,code.NCD_CARDIO,2987.0
2013,code.KG21,code.NCD_CARDIO,2668.0
2014,code.KG21,code.NCD_CARDIO,2701.0
2015,code.KG21,code.NCD_CARDIO,2535.0
2016,code.KG21,code.NCD_CARDIO,2489.0
2017,code.KG21,code.NCD_CARDIO,240.4
2018,code.KG21,code.NCD_CARDIO,223.4
2007,,code.NCD_CNCR,571.0
2008,,code.NCD_CNCR,582.0
2009,,code.NCD_CNCR,607.0
2010,,code.NCD_CNCR,594.0
2011,,code.NCD_CNCR,613.0
2012,,code.NCD_CNCR,594.0
2013,,code.NCD_CNCR,610.0
2014,,code.NCD_CNCR,643.0
2015,,code.NCD_CNCR,645.0
2016,,code.NCD_CNCR,644.0
2017,,code.NCD_CNCR,62.2
2018,,code.NCD_CNCR,65.6
2007,code.KG05,code.NCD_CNCR,323.0
2008,code.KG05,code.NCD_CNCR,264.0
2009,code.KG05,code.NCD_CNCR,302.0
2010,code.KG05,code.NCD_CNCR,338.0
2011,code.KG05,code.NCD_CNCR,339.0
2012,code.KG05,code.NCD_CNCR,330.0
2013,code.KG05,code.NCD_CNCR,321.0
2014,code.KG05,code.NCD_CNCR,356.0
2015,code.KG05,code.NCD_CNCR,423.0
2016,code.KG05,code.NCD_CNCR,386.0
2017,code.KG05,code.NCD_CNCR,32.6
2018,code.KG05,code.NCD_CNCR,43.3
2007,code.KG03,code.NCD_CNCR,363.0
2008,code.KG03,code.NCD_CNCR,420.0
2009,code.KG03,code.NCD_CNCR,478.0
2010,code.KG03,code.NCD_CNCR,463.0
2011,code.KG03,code.NCD_CNCR,515.0
2012,code.KG03,code.NCD_CNCR,473.0
2013,code.KG03,code.NCD_CNCR,492.0
2014,code.KG03,code.NCD_CNCR,510.0
2015,code.KG03,code.NCD_CNCR,529.0
2016,code.KG03,code.NCD_CNCR,542.0
2017,code.KG03,code.NCD_CNCR,50.9
