Year,Территория,Пол,Вид деятельности,Value
2015,Кыргызская Республика,,,15.8
2015,Кыргызская Республика,мужчины,,9.5
2015,Кыргызская Республика,женщины,,21
2015,Кыргызская Республика,мужчины,Ведение домашнего хозяйства,6.5
2015,Кыргызская Республика,мужчины,"Работа на приусадебном, дачном, садовом участке",2.4
2015,Кыргызская Республика,мужчины,Воспитание детей,0.6
2015,Кыргызская Республика,мужчины,Помощь родственникам и знаокомым,9.5
2015,Кыргызская Республика,женщины,Ведение домашнего хозяйства,18.8
2015,Кыргызская Республика,женщины,"Работа на приусадебном, дачном, садовом участке",1
2015,Кыргызская Республика,женщины,Воспитание детей,1.2
2015,Кыргызская Республика,женщины,Помощь родственникам и знаокомым,21
