Year,concept.REF_AREA,Value
2007,,105.0
2008,,108.0
2009,,91.0
2010,,90.0
2011,,80.0
2012,,79.0
2013,,64.0
2014,,68.0
2015,,70.0
2016,,60.0
2017,,5.9
2018,,6.3
2007,code.KG05,14.0
2008,code.KG05,28.0
2009,code.KG05,35.0
2010,code.KG05,30.0
2011,code.KG05,13.0
2012,code.KG05,35.0
2013,code.KG05,39.0
2014,code.KG05,21.0
2015,code.KG05,14.0
2016,code.KG05,12.0
2017,code.KG05,3.3
2018,code.KG05,1.2
2007,code.KG03,23.0
2008,code.KG03,14.0
2009,code.KG03,15.0
2010,code.KG03,24.0
2011,code.KG03,22.0
2012,code.KG03,24.0
2013,code.KG03,22.0
2014,code.KG03,21.0
2015,code.KG03,29.0
2016,code.KG03,19.0
2017,code.KG03,2.5
2018,code.KG03,2.4
2007,code.KG02,341.0
2008,code.KG02,351.0
2009,code.KG02,262.0
2010,code.KG02,330.0
2011,code.KG02,314.0
2012,code.KG02,266.0
2013,code.KG02,248.0
2014,code.KG02,306.0
2015,code.KG02,313.0
2016,code.KG02,194.0
2017,code.KG02,23.5
2018,code.KG02,26.7
2007,code.KG04,124.0
2008,code.KG04,93.0
2009,code.KG04,97.0
2010,code.KG04,115.0
2011,code.KG04,99.0
2012,code.KG04,83.0
2013,code.KG04,63.0
2014,code.KG04,55.0
2015,code.KG04,72.0
2016,code.KG04,72.0
2017,code.KG04,8.1
2018,code.KG04,10.9
2007,code.KG06,10.0
2008,code.KG06,24.0
2009,code.KG06,27.0
2010,code.KG06,25.0
2011,code.KG06,24.0
2012,code.KG06,37.0
2013,code.KG06,16.0
2014,code.KG06,27.0
2015,code.KG06,40.0
2016,code.KG06,34.0
2017,code.KG06,2.3
2018,code.KG06,3.4
2007,code.KG07,36.0
2008,code.KG07,44.0
2009,code.KG07,44.0
2010,code.KG07,35.0
2011,code.KG07,26.0
2012,code.KG07,55.0
2013,code.KG07,37.0
2014,code.KG07,41.0
2015,code.KG07,68.0
2016,code.KG07,63.0
2017,code.KG07,2.3
2018,code.KG07,5.7
2007,code.KG08,158.0
2008,code.KG08,160.0
2009,code.KG08,119.0
2010,code.KG08,111.0
2011,code.KG08,77.0
2012,code.KG08,94.0
2013,code.KG08,74.0
2014,code.KG08,79.0
2015,code.KG08,63.0
2016,code.KG08,79.0
2017,code.KG08,7.9
2018,code.KG08,7.1
2007,code.KG11,241.0
2008,code.KG11,243.0
2009,code.KG11,210.0
2010,code.KG11,163.0
2011,code.KG11,160.0
2012,code.KG11,122.0
2013,code.KG11,99.0
2014,code.KG11,100.0
2015,code.KG11,81.0
2016,code.KG11,81.0
2017,code.KG11,6.6
2018,code.KG11,6.5
2007,code.KG21,16.0
2008,code.KG21,35.0
2009,code.KG21,31.0
2010,code.KG21,39.0
2011,code.KG21,35.0
2012,code.KG21,58.0
2013,code.KG21,49.0
2014,code.KG21,19.0
2015,code.KG21,44.0
2016,code.KG21,61.0
2017,code.KG21,3.5
2018,code.KG21,2.7
