,,,Year,Территория,Местность,Пол,Возраст,Уровень образования,Value
,,,2018,Кыргызская Республика,,,,,48.5
,,,2018,Кыргызская Республика,Городская,,,,66
,,,2018,Кыргызская Республика,Сельская,,,,38.1
,,,2018,Кыргызская Республика,,Мужчины,,,47.9
,,,2018,Кыргызская Республика,,Женщины,,,49
,,,2018,Баткенская область,,,,,32.9
,,,2018,Джалал-Абадская область,,,,,18.3
,,,2018,Иссык-Кульская область,,,,,72.5
,,,2018,Нарынская область,,,,,39.3
,,,2018,Ошская область,,,,,39.6
,,,2018,Таласская область,,,,,42.2
,,,2018,Чуйская область,,,,,63.1
,,,2018,г. Бишкек,,,,,67.7
,,,2018,г. Ош,,,,,94.6
,,,2018,Кыргызская Республика,,,"Молодёжь, 15-28 лет",,48.4
,,,2018,Кыргызская Республика,,,Взрослое население трудоспособного возраста,,48.9
,,,2018,Кыргызская Республика,,,Старше трудоспособного возраста,,48.1
,,,2018,Кыргызская Республика,,,,Начальное и ниже,48.2
,,,2018,Кыргызская Республика,,,,Основное общее,51.2
,,,2018,Кыргызская Республика,,,,Среднее общее,42.7
,,,2018,Кыргызская Республика,,,,"Профессиональное среднее, общее",55.4
,,,2018,Кыргызская Республика,,,,Профессиональное высшее,56
