,,,Year,Показатель,Пол,Value
,,,2012,На политических должностях,,3
,,,2013,На политических должностях,,4.9
,,,2014,На политических должностях,,3.1
,,,2015,На политических должностях,,4.4
,,,2016,На политических должностях,,4.5
,,,2017,На политических должностях,,1.6
,,,2018,На политических должностях,,1.3
,,,2012,На политических должностях,Мужчины,3.9
,,,2013,На политических должностях,Мужчины,6.1
,,,2014,На политических должностях,Мужчины,5.7
,,,2015,На политических должностях,Мужчины,5.7
,,,2016,На политических должностях,Мужчины,5.9
,,,2017,На политических должностях,Мужчины,2.3
,,,2018,На политических должностях,Мужчины,2
,,,2012,На политических должностях,Женщины,1.6
,,,2013,На политических должностях,Женщины,3.1
,,,2014,На политических должностях,Женщины,2.6
,,,2015,На политических должностях,Женщины,2.5
,,,2016,На политических должностях,Женщины,2.6
,,,2017,На политических должностях,Женщины,0.5
,,,2018,На политических должностях,Женщины,0.4
,,,2012,На специальных должностях,,2.4
,,,2013,На специальных должностях,,1.3
,,,2014,На специальных должностях,,0.9
,,,2015,На специальных должностях,,2.2
,,,2016,На специальных должностях,,2.6
,,,2017,На специальных должностях,,2.7
,,,2018,На специальных должностях,,2.6
,,,2012,На специальных должностях,Мужчины,2.7
,,,2013,На специальных должностях,Мужчины,1.6
,,,2014,На специальных должностях,Мужчины,2.2
,,,2015,На специальных должностях,Мужчины,2.6
,,,2016,На специальных должностях,Мужчины,2.8
,,,2017,На специальных должностях,Мужчины,2.8
,,,2018,На специальных должностях,Мужчины,2.7
,,,2012,На специальных должностях,Женщины,2
,,,2013,На специальных должностях,Женщины,0.9
,,,2014,На специальных должностях,Женщины,1.7
,,,2015,На специальных должностях,Женщины,1.7
,,,2016,На специальных должностях,Женщины,2.3
,,,2017,На специальных должностях,Женщины,2.4
,,,2018,На специальных должностях,Женщины,2.5
,,,2012,На административных должностях,,94.6
,,,2013,На административных должностях,,93.8
,,,2014,На административных должностях,,96
,,,2015,На административных должностях,,93.4
,,,2016,На административных должностях,,92.8
,,,2017,На административных должностях,,95.8
,,,2018,На административных должностях,,96.1
,,,2012,На административных должностях,Мужчины,93.3
,,,2013,На административных должностях,Мужчины,92.3
,,,2014,На административных должностях,Мужчины,92.2
,,,2015,На административных должностях,Мужчины,91.7
,,,2016,На административных должностях,Мужчины,91.3
,,,2017,На административных должностях,Мужчины,94.8
,,,2018,На административных должностях,Мужчины,95.4
,,,2012,На административных должностях,Женщины,96.4
,,,2013,На административных должностях,Женщины,96
,,,2014,На административных должностях,Женщины,95.7
,,,2015,На административных должностях,Женщины,95.8
,,,2016,На административных должностях,Женщины,95.1
,,,2017,На административных должностях,Женщины,97.1
,,,2018,На административных должностях,Женщины,97.2
