Year;Indicators;Value
2007;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;136,826886095482
2008;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;152,427876631273
2009;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;114,438248515792
2010;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;106,183655030604
2011;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;123,927179501847
2012;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;108,953469817692
2013;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;95,6373921448697
2014;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;123,673684984957
2015;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;102,218164663832
2016;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;106,196218581726
2017;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;112,954539872921
2018;Темп роста среднедушевых доходов среди 40%  наименее обеспеченного населения;109,961528044351
2007;Темп роста среднедушевых доходов среди всего населения;127,516636132935
2008;Темп роста среднедушевых доходов среди всего населения;143,127117910817
2009;Темп роста среднедушевых доходов среди всего населения;113,967293530673
2010;Темп роста среднедушевых доходов среди всего населения;107,89452344803
2011;Темп роста среднедушевых доходов среди всего населения;117,717234103057
2012;Темп роста среднедушевых доходов среди всего населения;109,516115992424
2013;Темп роста среднедушевых доходов среди всего населения;101,565252233799
2014;Темп роста среднедушевых доходов среди всего населения;121,168832154125
2015;Темп роста среднедушевых доходов среди всего населения;102,956442119439
2016;Темп роста среднедушевых доходов среди всего населения;104,502495405018
2017;Темп роста среднедушевых доходов среди всего населения;111,306065199209
2018;Темп роста среднедушевых доходов среди всего населения;112,615369900937
