Year;Indicator;Value
2010;a) в дошкольных образовательных организациях;87.90
2011;a) в дошкольных образовательных организациях;89.60
2012;a) в дошкольных образовательных организациях;87.50
2013;a) в дошкольных образовательных организациях;88.80
2014;a) в дошкольных образовательных организациях;89.85
2015;a) в дошкольных образовательных организациях;94.65
2016;a) в дошкольных образовательных организациях;91.61
2017;a) в дошкольных образовательных организациях;93.40
2018;a) в дошкольных образовательных организациях;93.50
2010; b) в начальной школе (1-4 класс), ;93.60
2011; b) в начальной школе (1-4 класс), ;93.30
2012; b) в начальной школе (1-4 класс), ;93.90
2013; b) в начальной школе (1-4 класс), ;94.30
2014; b) в начальной школе (1-4 класс), ;94.43
2015; b) в начальной школе (1-4 класс), ;94.99
2016; b) в начальной школе (1-4 класс), ;95.43
2017; b) в начальной школе (1-4 класс), ;96.00
2018; b) в начальной школе (1-4 класс), ;96.40
2010;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);92.90
2011;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);93.10
2012;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);94.10
2013;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);94.80
2014;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);95.32
2015;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);95.95
2016;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);96.90
2017;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);97.90
2018;c) в основной школе (5-9 класс) и  d) средней школе (10-11 класс);98.00
