Year,concept.REF_AREA,concept.SEX,concept.AGE,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2014,,,code.Y0T4,,,783.0
2018,,,code.Y0T4,,,71.7
2014,code.KG05,,code.Y0T4,,,812.0
2018,code.KG05,,code.Y0T4,,,83.3
2014,code.KG03,,code.Y0T4,,,871.0
2018,code.KG03,,code.Y0T4,,,63.9
2014,code.KG02,,code.Y0T4,,,816.0
2018,code.KG02,,code.Y0T4,,,79.8
2014,code.KG04,,code.Y0T4,,,806.0
2018,code.KG04,,code.Y0T4,,,72.4
2014,code.KG06,,code.Y0T4,,,696.0
2018,code.KG06,,code.Y0T4,,,65.8
2014,code.KG07,,code.Y0T4,,,849.0
2018,code.KG07,,code.Y0T4,,,65.1
2014,code.KG08,,code.Y0T4,,,735.0
2018,code.KG08,,code.Y0T4,,,720.0
2014,code.KG11,,code.Y0T4,,,874.0
2018,code.KG11,,code.Y0T4,,,81.3
2014,code.KG21,,code.Y0T4,,,520.0
2018,code.KG21,,code.Y0T4,,,71.5
2014,,,code.M0T5,,,5.3
2014,,,code.M6T11,,,7.2
2014,,,code.M12T17,,,11.2
2014,,,code.M18T23,,,18.2
2014,,,code.M24T35,,,18.6
2014,,,code.M36T47,,,14.6
2014,,,code.M48T59,,,105.0
2014,,code.M,code.Y0T4,,,761.0
2018,,code.M,code.Y0T4,,,68.2
2014,,code.F,code.Y0T4,,,806.0
2018,,code.F,code.Y0T4,,,750.0
2014,,,code.Y0T4,,code.ISCED11_2,701.0
2018,,,code.Y0T4,,code.ISCED11_2,710.0
2014,,,code.Y0T4,,code.ISCED11_3,772.0
2018,,,code.Y0T4,,code.ISCED11_3,73.8
2014,,,code.Y0T4,,code.ISCED11_4,808.0
2018,,,code.Y0T4,,code.ISCED11_4,70.6
2014,,,code.Y0T4,,code.ISCED11_5,818.0
2018,,,code.Y0T4,,code.ISCED11_5,69.6
2014,,,code.Y0T4,code.Q1,,765.0
2018,,,code.Y0T4,code.Q1,,72.5
2014,,,code.Y0T4,code.Q2,,803.0
2018,,,code.Y0T4,code.Q2,,70.6
2014,,,code.Y0T4,code.Q3,,730.0
2018,,,code.Y0T4,code.Q3,,67.2
2014,,,code.Y0T4,code.Q4,,793.0
2018,,,code.Y0T4,code.Q4,,710.0
2014,,,code.Y0T4,code.Q5,,84.3
2018,,,code.Y0T4,code.Q5,,780.0
