Year,SERIES,UNIT_MEASURE,Value
2015,Индекс человеческого развития,Индекс,0.689
2016,Индекс человеческого развития,Индекс,0.692
2017,Индекс человеческого развития,Индекс,0.695
2018,Индекс человеческого развития,Индекс,0.698
2019,Индекс человеческого развития,Индекс,0.699
2020,Индекс человеческого развития,Индекс,0.691
2021,Индекс человеческого развития,Индекс,0.696
2022,Индекс человеческого развития,Индекс,0.701
2015,Ожидаемая продолжительность жизни при рождении,Лет,70.0
2016,Ожидаемая продолжительность жизни при рождении,Лет,70.3
2017,Ожидаемая продолжительность жизни при рождении,Лет,70.6
2018,Ожидаемая продолжительность жизни при рождении,Лет,70.7
2019,Ожидаемая продолжительность жизни при рождении,Лет,71.2
2020,Ожидаемая продолжительность жизни при рождении,Лет,69.6
2021,Ожидаемая продолжительность жизни при рождении,Лет,70.0
2022,Ожидаемая продолжительность жизни при рождении,Лет,70.5
2015,Ожидаемая продолжительность обучения,Лет,12.6
2016,Ожидаемая продолжительность обучения,Лет,12.7
2017,Ожидаемая продолжительность обучения,Лет,12.5
2018,Ожидаемая продолжительность обучения,Лет,12.4
2019,Ожидаемая продолжительность обучения,Лет,12.5
2020,Ожидаемая продолжительность обучения,Лет,12.6
2021,Ожидаемая продолжительность обучения,Лет,13.0
2022,Ожидаемая продолжительность обучения,Лет,13.0
2015,Средняя продолжительность обучения,Лет,11.5
2016,Средняя продолжительность обучения,Лет,11.6
2017,Средняя продолжительность обучения,Лет,11.7
2018,Средняя продолжительность обучения,Лет,11.8
2019,Средняя продолжительность обучения,Лет,11.9
2020,Средняя продолжительность обучения,Лет,12.0
2021,Средняя продолжительность обучения,Лет,12.0
2022,Средняя продолжительность обучения,Лет,12.0
