Year,Reference area,GeoCode,Value
2014,,,1.8
2015,,,1.7
2016,,,1.8
2017,,,1.7
2018,,,1.7
2014,Batken,KG05,0.3
2015,Batken,KG05,0.1
2016,Batken,KG05,0.1
2017,Batken,KG05,0.1
2018,Batken,KG05,0.2
2014,Jalal-Abad,KG03,0.8
2015,Jalal-Abad,KG03,0.8
2016,Jalal-Abad,KG03,0.9
2017,Jalal-Abad,KG03,0.9
2018,Jalal-Abad,KG03,0.9
2014,Issyk-Kul,KG02,1.4
2015,Issyk-Kul,KG02,1.3
2016,Issyk-Kul,KG02,1.4
2017,Issyk-Kul,KG02,0.4
2018,Issyk-Kul,KG02,0.4
2014,Naryn,KG04,1.4
2015,Naryn,KG04,1.5
2016,Naryn,KG04,1.6
2017,Naryn,KG04,1.7
2018,Naryn,KG04,1.9
2014,Osh,KG06,0.3
2015,Osh,KG06,0.3
2016,Osh,KG06,0.4
2017,Osh,KG06,0.4
2018,Osh,KG06,0.5
2014,Talas,KG07,0.8
2015,Talas,KG07,0.8
2016,Talas,KG07,0.8
2017,Talas,KG07,0.8
2018,Talas,KG07,0.8
2014,Chui,KG08,2.2
2015,Chui,KG08,2.1
2016,Chui,KG08,2.1
2017,Chui,KG08,2.1
2018,Chui,KG08,2.1
2014,Bishkek (city),KG11,5.3
2015,Bishkek (city),KG11,5.1
2016,Bishkek (city),KG11,5.1
2017,Bishkek (city),KG11,5.0
2018,Bishkek (city),KG11,4.7
2014,Osh (city),KG21,3.8
2015,Osh (city),KG21,3.6
2016,Osh (city),KG21,3.6
2017,Osh (city),KG21,3.5
2018,Osh (city),KG21,3.6
