Year,Территория,Пол,COMMENT_TS,Value
2010,,,,7.8
2011,,,,7.6
2012,,,,7.6
2013,,,,6.9
2014,,,,6.9
2015,,,,7.4
2016,,,,7.6
2017,,,,10.1
2018,,,,12.0
2019,,,,11.8
2020,,,,11.4
2021,,,,11.7
2010,Баткенская область,,,6.4
2011,Баткенская область,,,6.4
2012,Баткенская область,,,5.7
2013,Баткенская область,,,3.1
2014,Баткенская область,,,3.0
2015,Баткенская область,,,2.3
2016,Баткенская область,,,2.4
2017,Баткенская область,,,4.5
2018,Баткенская область,,,6.9
2019,Баткенская область,,,13.2
2020,Баткенская область,,,14.7
2021,Баткенская область,,,16.4
2010,Джалал-Абадская область,,,3.1
2011,Джалал-Абадская область,,,3.3
2012,Джалал-Абадская область,,,4.3
2013,Джалал-Абадская область,,,5.1
2014,Джалал-Абадская область,,,5.3
2015,Джалал-Абадская область,,,5.5
2016,Джалал-Абадская область,,,5.4
2017,Джалал-Абадская область,,,8.9
2018,Джалал-Абадская область,,,15.3
2019,Джалал-Абадская область,,,11.0
2020,Джалал-Абадская область,,,9.0
2021,Джалал-Абадская область,,,9.7
2010,Иссык-Кульская область,,,3.2
2011,Иссык-Кульская область,,,3.7
2012,Иссык-Кульская область,,,4.1
2013,Иссык-Кульская область,,,4.1
2014,Иссык-Кульская область,,,4.2
2015,Иссык-Кульская область,,,4.7
2016,Иссык-Кульская область,,,5.3
2017,Иссык-Кульская область,,,6.4
2018,Иссык-Кульская область,,,8.2
2019,Иссык-Кульская область,,,10.6
2020,Иссык-Кульская область,,,10.8
2021,Иссык-Кульская область,,,12.1
2010,Нарынская область,,,2.4
2011,Нарынская область,,,1.6
2012,Нарынская область,,,1.6
2013,Нарынская область,,,1.4
2014,Нарынская область,,,0.9
2015,Нарынская область,,,1.1
2016,Нарынская область,,,1.4
2017,Нарынская область,,,2.3
2018,Нарынская область,,,3.9
2019,Нарынская область,,,4.1
2020,Нарынская область,,,4.7
2021,Нарынская область,,,5.3
2010,Ошская область,,Until 2013 - including Osh.,6.3
2011,Ошская область,,Until 2013 - including Osh.,5.9
2012,Ошская область,,Until 2013 - including Osh.,5.4
2013,Ошская область,,,2.7
2014,Ошская область,,,2.8
2015,Ошская область,,,3.4
2016,Ошская область,,,3.3
2017,Ошская область,,,4.7
2018,Ошская область,,,6.7
2019,Ошская область,,,5.5
2020,Ошская область,,,5.1
2021,Ошская область,,,4.7
2010,Таласская область,,,2.6
2011,Таласская область,,,3.0
2012,Таласская область,,,3.1
2013,Таласская область,,,3.0
2014,Таласская область,,,2.2
2015,Таласская область,,,1.9
2016,Таласская область,,,2.1
2017,Таласская область,,,3.6
2018,Таласская область,,,3.8
2019,Таласская область,,,3.2
2020,Таласская область,,,3.4
2021,Таласская область,,,3.4
2010,Чуйская область,,,14.3
2011,Чуйская область,,,14.3
2012,Чуйская область,,,14.8
2013,Чуйская область,,,13.7
2014,Чуйская область,,,13.7
2015,Чуйская область,,,15.1
2016,Чуйская область,,,16.0
2017,Чуйская область,,,21.6
2018,Чуйская область,,,21.4
2019,Чуйская область,,,20.3
2020,Чуйская область,,,19.7
2021,Чуйская область,,,18.8
2010,г. Бишкек,,,14.5
2011,г. Бишкек,,,13.6
2012,г. Бишкек,,,12.8
2013,г. Бишкек,,,13.5
2014,г. Бишкек,,,13.5
2015,г. Бишкек,,,14.8
2016,г. Бишкек,,,15.4
2017,г. Бишкек,,,16.1
2018,г. Бишкек,,,16.4
2019,г. Бишкек,,,18.7
2020,г. Бишкек,,,18.8
2021,г. Бишкек,,,19.6
2013,г. Ош,,,7.5
2014,г. Ош,,,7.8
2015,г. Ош,,,5.1
2016,г. Ош,,,5.1
2017,г. Ош,,,7.6
2018,г. Ош,,,8.5
2019,г. Ош,,,8.9
2020,г. Ош,,,6.8
2021,г. Ош,,,6.9
2010,,Женщины,,9.3
2011,,Женщины,,8.8
2012,,Женщины,,9.0
2013,,Женщины,,8.8
2014,,Женщины,,8.9
2015,,Женщины,,8.4
2016,,Женщины,,9.1
2017,,Женщины,,11.3
2018,,Женщины,,12.5
2019,,Женщины,,12.5
2020,,Женщины,,12.5
2021,,Женщины,,12.8
2010,,Мужчины,,6.7
2011,,Мужчины,,6.8
2012,,Мужчины,,6.6
2013,,Мужчины,,5.7
2014,,Мужчины,,5.6
2015,,Мужчины,,6.7
2016,,Мужчины,,6.7
2017,,Мужчины,,9.3
2018,,Мужчины,,11.7
2019,,Мужчины,,11.4
2020,,Мужчины,,10.7
2021,,Мужчины,,11.0
