Year,SERIES,Value
2010,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1308
2011,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1453
2012,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1900
2013,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1589
2014,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1988
2015,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",936
2016,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1172
2017,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1382
2018,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1305
2019,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1764
2020,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы",1713
2010,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",68
2011,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",155
2012,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",16
2013,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",48
2014,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",35
2015,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",12
2016,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",2
2017,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",1
2019,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",2
2020,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты ",1
2010,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",401
2011,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",581
2012,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",509
2013,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",508
2014,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",495
2015,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",666
2016,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",657
2017,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",629
2018,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",555
2019,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",539
2020,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ",379
2010,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",414
2011,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",320
2012,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",498
2013,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",822
2014,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",570
2015,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",485
2016,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",372
2017,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",176
2018,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",47
2019,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",211
2020,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи",180
2010,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",445
2011,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",491
2012,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",504
2013,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",600
2014,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",731
2015,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",1896
2016,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",1404
2017,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",1084
2018,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",970
2019,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",939
2020,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье ",798
