Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMMENT_OBS,GeoCode,Value
2014,,,Y0T4,,,,,,12.9
2018,,,Y0T4,,,,,,11.8
2023,,,Y0T4,,,,,,14.1
2014,KG05,,Y0T4,,,,,KG05,13.6
2018,KG05,,Y0T4,,,,,KG05,11.9
2023,KG05,,Y0T4,,,,,KG05,22.5
2014,KG03,,Y0T4,,,,,KG03,21.3
2018,KG03,,Y0T4,,,,,KG03,15.5
2023,KG03,,Y0T4,,,,,KG03,17.4
2014,KG02,,Y0T4,,,,,KG02,14.1
2018,KG02,,Y0T4,,,,,KG02,14.2
2023,KG02,,Y0T4,,,,,KG02,14.4
2014,KG04,,Y0T4,,,,,KG04,16.4
2018,KG04,,Y0T4,,,,,KG04,6.5
2023,KG04,,Y0T4,,,,,KG04,10.0
2014,KG06,,Y0T4,,,,,KG06,10.6
2018,KG06,,Y0T4,,,,,KG06,13.7
2023,KG06,,Y0T4,,,,,KG06,11.8
2014,KG07,,Y0T4,,,,,KG07,11.0
2018,KG07,,Y0T4,,,,,KG07,10.0
2023,KG07,,Y0T4,,,,,KG07,11.9
2014,KG08,,Y0T4,,,,,KG08,7.6
2018,KG08,,Y0T4,,,,,KG08,10.1
2023,KG08,,Y0T4,,,,,KG08,10.4
2014,KG11,,Y0T4,,,,,KG11,7.6
2018,KG11,,Y0T4,,,,,KG11,5.9
2023,KG11,,Y0T4,,,,,KG11,11.5
2014,KG21,,Y0T4,,,,,KG21,12.1
2018,KG21,,Y0T4,,,,,KG21,10.9
2023,KG21,,Y0T4,,,,,KG21,13.8
2014,,M,Y0T4,,,,,,13.8
2018,,M,Y0T4,,,,,,12.5
2023,,M,Y0T4,,,,,,15.0
2014,,F,Y0T4,,,,,,12.0
2018,,F,Y0T4,,,,,,10.9
2023,,F,Y0T4,,,,,,13.3
2014,,,Y0T4,U,,,,,11.8
2018,,,Y0T4,U,,,,,8.8
2023,,,Y0T4,U,,,,,13.0
2014,,,Y0T4,R,,,,,13.4
2018,,,Y0T4,R,,,,,13.1
2023,,,Y0T4,R,,,,,14.6
2014,,,M0T5,,,,,,5.3
2018,,,M0T5,,,,,,5.4
2023,,,M0T5,,,,,,8.5
2014,,,M6T11,,,,,,7.2
2018,,,M6T11,,,,,,9.3
2023,,,M6T11,,,,,,5.8
2014,,,M12T17,,,,,,11.2
2018,,,M12T17,,,,,,12.1
2023,,,M12T17,,,,,,12.7
2014,,,M18T23,,,,,,18.2
2018,,,M18T23,,,,,,17.2
2023,,,M18T23,,,,,,20.2
2014,,,M24T35,,,,,,18.6
2018,,,M24T35,,,,,,13.2
2023,,,M24T35,,,,,,19.1
2014,,,M36T47,,,,,,14.6
2018,,,M36T47,,,,,,11.2
2023,,,M36T47,,,,,,15.0
2014,,,M48T59,,,,,,10.5
2018,,,M48T59,,,,,,12.7
2023,,,M48T59,,,,,,12.5
2014,,,Y0T4,,,ISCED11_1,Образование матери,,26.5
2014,,,Y0T4,,,ISCED11_2,Образование матери,,17.1
2018,,,Y0T4,,,ISCED11_2,Образование матери,,14.8
2023,,,Y0T4,,,ISCED11_2,Образование матери,,13.2
2014,,,Y0T4,,,ISCED11_3,Образование матери,,13.5
2018,,,Y0T4,,,ISCED11_3,Образование матери,,12.0
2023,,,Y0T4,,,ISCED11_3,Образование матери,,16.7
2014,,,Y0T4,,,ISCED11_4,Образование матери,,11.8
2018,,,Y0T4,,,ISCED11_4,Образование матери,,12.2
2023,,,Y0T4,,,ISCED11_4,Образование матери,,12.2
2014,,,Y0T4,,,ISCED11_5,Образование матери,,9.8
2018,,,Y0T4,,,ISCED11_5,Образование матери,,10.0
2023,,,Y0T4,,,ISCED11_5,Образование матери,,11.9
2014,,,Y0T4,,Q1,,,,17.7
2018,,,Y0T4,,Q1,,,,14.0
2023,,,Y0T4,,Q1,,,,16.5
2014,,,Y0T4,,Q2,,,,14.2
2018,,,Y0T4,,Q2,,,,13.8
2023,,,Y0T4,,Q2,,,,15.6
2014,,,Y0T4,,Q3,,,,10.1
2018,,,Y0T4,,Q3,,,,12.0
2023,,,Y0T4,,Q3,,,,12.6
2014,,,Y0T4,,Q4,,,,10.7
2018,,,Y0T4,,Q4,,,,8.2
2023,,,Y0T4,,Q4,,,,12.3
2014,,,Y0T4,,Q5,,,,10.7
2018,,,Y0T4,,Q5,,,,9.2
2023,,,Y0T4,,Q5,,,,12.4
