Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value
2018,,,,,,,,57.9
2019,,,,,,,,64.352075
2020,,,,,,,,66.8
2021,,,,,,,,67.138142
2022,,,,,,,,68.403652
2023,,,,,,,,69.935153
2018,,,,Urban,,,,50.7
2019,,,,Urban,,,,59.596564
2020,,,,Urban,,,,61.4
2021,,,,Urban,,,,59.586135
2022,,,,Urban,,,,64.254057
2023,,,,Urban,,,,66.022628
2018,,,,Rural,,,,62.8
2019,,,,Rural,,,,67.506663
2020,,,,Rural,,,,70.3
2021,,,,Rural,,,,72.469607
2022,,,,Rural,,,,71.198044
2023,,,,Rural,,,,72.445374
2018,,Male,,,,,,67.4
2019,,Male,,,,,,72.727756
2020,,Male,,,,,,76.1
2021,,Male,,,,,,76.571506
2022,,Male,,,,,,77.942907
2023,,Male,,,,,,77.69388
2018,,Female,,,,,,44.7
2019,,Female,,,,,,52.478851
2020,,Female,,,,,,54.0
2021,,Female,,,,,,53.94632
2022,,Female,,,,,,54.151615
2023,,Female,,,,,,58.471471
2018,Batken,,,,,,KG05,63.7
2019,Batken,,,,,,KG05,71.63582
2020,Batken,,,,,,KG05,65.3
2021,Batken,,,,,,KG05,60.920964
2022,Batken,,,,,,KG05,64.918897
2023,Batken,,,,,,KG05,73.922135
2018,Jalal-Abad,,,,,,KG03,46.2
2019,Jalal-Abad,,,,,,KG03,54.214346
2020,Jalal-Abad,,,,,,KG03,48.1
2021,Jalal-Abad,,,,,,KG03,53.116412
2022,Jalal-Abad,,,,,,KG03,55.77883
2023,Jalal-Abad,,,,,,KG03,66.937405
2018,Issyk-Kul,,,,,,KG02,69.3
2019,Issyk-Kul,,,,,,KG02,72.71323
2020,Issyk-Kul,,,,,,KG02,70.7
2021,Issyk-Kul,,,,,,KG02,71.759952
2022,Issyk-Kul,,,,,,KG02,72.620645
2023,Issyk-Kul,,,,,,KG02,73.5575
2018,Naryn,,,,,,KG04,71.9
2019,Naryn,,,,,,KG04,78.330797
2020,Naryn,,,,,,KG04,78.3
2021,Naryn,,,,,,KG04,73.18
2022,Naryn,,,,,,KG04,66.437204
2023,Naryn,,,,,,KG04,81.455701
2018,Osh,,,,,,KG06,70.4
2019,Osh,,,,,,KG06,73.833054
2020,Osh,,,,,,KG06,88.8
2021,Osh,,,,,,KG06,97.39384
2022,Osh,,,,,,KG06,98.593066
2023,Osh,,,,,,KG06,85.3261
2018,Talas,,,,,,KG07,73.3
2019,Talas,,,,,,KG07,88.247575
2020,Talas,,,,,,KG07,92.9
2021,Talas,,,,,,KG07,91.523816
2022,Talas,,,,,,KG07,94.529819
2023,Talas,,,,,,KG07,93.581615
2018,Chui,,,,,,KG08,69.3
2019,Chui,,,,,,KG08,65.741182
2020,Chui,,,,,,KG08,71.4
2021,Chui,,,,,,KG08,62.978228
2022,Chui,,,,,,KG08,45.798126
2023,Chui,,,,,,KG08,45.863239
2018,Bishkek (city),,,,,,KG11,31.2
2019,Bishkek (city),,,,,,KG11,45.046976
2020,Bishkek (city),,,,,,KG11,47.4
2021,Bishkek (city),,,,,,KG11,45.051243
2022,Bishkek (city),,,,,,KG11,55.958301
2023,Bishkek (city),,,,,,KG11,57.948305
2018,Osh (city),,,,,,KG21,86.7
2019,Osh (city),,,,,,KG21,98.677796
2020,Osh (city),,,,,,KG21,99.4
2021,Osh (city),,,,,,KG21,100.0
2022,Osh (city),,,,,,KG21,99.010302
2023,Osh (city),,,,,,KG21,99.882025
2018,,,15 to 28 years old,,,,,56.6
2019,,,15 to 28 years old,,,,,61.760682
2020,,,15 to 28 years old,,,,,64.1
2021,,,15 to 28 years old,,,,,66.405328
2022,,,15 to 28 years old,,,,,67.893488
2023,,,15 to 28 years old,,,,,70.69137
2018,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,59.4
2019,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,66.203849
2020,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,68.7
2021,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,68.279053
