Year,Сноски на уровне наблюдения,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,,,2.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,,,2.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Баткенская область,,,,,,2.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Баткенская область,,,,,,2.3
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Джалал-Абадская область,,,,,,7.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Джалал-Абадская область,,,,,,3.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Иссык-Кульская область,,,,,,1.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Иссык-Кульская область,,,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Нарынская область,,,,,,0.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Нарынская область,,,,,,1.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Ошская область,,,,,,1.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Ошская область,,,,,,1.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Таласская область,,,,,,1.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Таласская область,,,,,,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,Чуйская область,,,,,,1.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,Чуйская область,,,,,,1.5
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,г. Бишкек,,,,,,2.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,г. Бишкек,,,,,,0.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,г. Ош,,,,,,2.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,г. Ош,,,,,,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,Мужчины,,,,,2.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,Мужчины,,,,,2.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,Женщины,,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,Женщины,,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,Городская,,,2.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,Городская,,,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,Сельская,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,Сельская,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 0 до 5 месяцев,,,,6.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 0 до 5 месяцев,,,,5.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 6 до 11 месяцев,,,,3.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 6 до 11 месяцев,,,,3.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 12 до 17 месяцев,,,,2.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 12 до 17 месяцев,,,,3.2
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 18 до 23 месяцев,,,,2.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 18 до 23 месяцев,,,,0.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 24 до 35 месяцев,,,,1.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 24 до 35 месяцев,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 3 до 4 лет,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 3 до 4 лет,,,,1.3
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,от 48 до 59 месяцев,,,,2.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,от 48 до 59 месяцев,,,,0.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,,Первый этап среднего образования,3.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,,Первый этап среднего образования,2.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,,Второй этап среднего образования,3.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,,Второй этап среднего образования,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,,Послесреднее нетретичное образование,2.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,,Послесреднее нетретичное образование,2.4
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,,Короткий цикл третичного образования,2.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,,Короткий цикл третичного образования,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 1 (беднейшие),,3.1
