Year,COMPOSITE_BREAKDOWN,Value
2010,Учителя: a) в дошкольных образовательных организациях,87.9
2011,Учителя: a) в дошкольных образовательных организациях,89.6
2012,Учителя: a) в дошкольных образовательных организациях,87.5
2013,Учителя: a) в дошкольных образовательных организациях,88.8
2014,Учителя: a) в дошкольных образовательных организациях,89.8
2015,Учителя: a) в дошкольных образовательных организациях,94.7
2016,Учителя: a) в дошкольных образовательных организациях,91.6
2017,Учителя: a) в дошкольных образовательных организациях,93.4
2018,Учителя: a) в дошкольных образовательных организациях,93.5
2019,Учителя: a) в дошкольных образовательных организациях,93.6
2020,Учителя: a) в дошкольных образовательных организациях,94.5
2021,Учителя: a) в дошкольных образовательных организациях,93.5
2022,Учителя: a) в дошкольных образовательных организациях,93.4
2010,Учителя: b) в начальной школе (1-4 класс),93.6
2011,Учителя: b) в начальной школе (1-4 класс),93.3
2012,Учителя: b) в начальной школе (1-4 класс),93.9
2013,Учителя: b) в начальной школе (1-4 класс),94.3
2014,Учителя: b) в начальной школе (1-4 класс),94.4
2015,Учителя: b) в начальной школе (1-4 класс),95.0
2016,Учителя: b) в начальной школе (1-4 класс),95.4
2017,Учителя: b) в начальной школе (1-4 класс),96.0
2018,Учителя: b) в начальной школе (1-4 класс),96.4
2019,Учителя: b) в начальной школе (1-4 класс),96.3
2020,Учителя: b) в начальной школе (1-4 класс),96.7
2021,Учителя: b) в начальной школе (1-4 класс),96.6
2022,Учителя: b) в начальной школе (1-4 класс),96.0
2010,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),92.9
2011,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),92.8
2012,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),94.1
2013,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),94.8
2014,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),95.3
2015,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),95.9
2016,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),96.9
2017,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),97.9
2018,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),98.0
2019,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),98.0
2020,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),98.2
2021,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),98.1
2022,Учителя: c) в основной школе (5-9 класс) и d) средней школе (10-11 класс),97.5
