Year,REF_AREA,SEX,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMMENT_OBS,GeoCode,Value
2014,,,,,,,78.3
2018,,,,,,,71.7
2023,,,,,,,70.1
2014,KG05,,,,,KG05,81.2
2018,KG05,,,,,KG05,83.3
2023,KG05,,,,,KG05,71.1
2014,KG03,,,,,KG03,87.1
2018,KG03,,,,,KG03,63.9
2023,KG03,,,,,KG03,63.1
2014,KG02,,,,,KG02,81.6
2018,KG02,,,,,KG02,79.8
2023,KG02,,,,,KG02,38.2
2014,KG04,,,,,KG04,80.6
2018,KG04,,,,,KG04,72.4
2023,KG04,,,,,KG04,68.8
2014,KG06,,,,,KG06,69.6
2018,KG06,,,,,KG06,65.8
2023,KG06,,,,,KG06,81.2
2014,KG07,,,,,KG07,84.9
2018,KG07,,,,,KG07,65.1
2023,KG07,,,,,KG07,84.2
2014,KG08,,,,,KG08,73.5
2018,KG08,,,,,KG08,72.0
2023,KG08,,,,,KG08,65.9
2014,KG11,,,,,KG11,87.4
2018,KG11,,,,,KG11,81.3
2023,KG11,,,,,KG11,76.2
2014,KG21,,,,,KG21,52.0
2018,KG21,,,,,KG21,71.5
2023,KG21,,,,,KG21,65.7
2014,,M,,,,,76.1
2018,,M,,,,,68.2
2023,,M,,,,,69.6
2014,,F,,,,,80.6
2018,,F,,,,,75.0
2023,,F,,,,,70.3
2014,,,,ISCED11_2,Образование матери,,70.1
2018,,,,ISCED11_2,Образование матери,,71.0
2023,,,,ISCED11_2,Образование матери,,65.4
2014,,,,ISCED11_3,Образование матери,,77.2
2018,,,,ISCED11_3,Образование матери,,73.8
2023,,,,ISCED11_3,Образование матери,,68.9
2014,,,,ISCED11_4,Образование матери,,80.8
2018,,,,ISCED11_4,Образование матери,,70.6
2023,,,,ISCED11_4,Образование матери,,69.4
2014,,,,ISCED11_5,Образование матери,,81.8
2018,,,,ISCED11_5,Образование матери,,69.6
2023,,,,ISCED11_5,Образование матери,,74.6
2014,,,Q1,,,,76.5
2018,,,Q1,,,,72.5
2023,,,Q1,,,,62.6
2014,,,Q2,,,,80.3
2018,,,Q2,,,,70.6
2023,,,Q2,,,,73.6
2014,,,Q3,,,,73.0
2018,,,Q3,,,,67.2
2023,,,Q3,,,,74.0
2014,,,Q4,,,,79.3
2018,,,Q4,,,,71.0
2023,,,Q4,,,,68.4
2014,,,Q5,,,,84.3
2018,,,Q5,,,,78.0
2023,,,Q5,,,,73.9
