Year,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2018,,15 to 49 years old,,,,,,7.7
2018,,15 to 49 years old,Urban,,,,,7.9
2018,,15 to 49 years old,Rural,,,,,7.6
2018,Batken,15 to 49 years old,,,,,KG05,0.4
2018,Jalal-Abad,15 to 49 years old,,,,,KG03,7.3
2018,Issyk-Kul,15 to 49 years old,,,,,KG02,1.7
2018,Naryn,15 to 49 years old,,,,,KG04,2.8
2018,Osh,15 to 49 years old,,,,,KG06,6.5
2018,Talas,15 to 49 years old,,,,,KG07,50.0
2018,Chui,15 to 49 years old,,,,,KG08,166.0
2018,Bishkek (city),15 to 49 years old,,,,,KG11,87.0
2018,Osh (city),15 to 49 years old,,,,,KG21,70.0
2018,,15 to 19 years old,,,,,,65.0
2018,,15 to 17 years old,,,,,,57.0
2018,,18 to 19 years old,,,,,,83.0
2018,,20 to 24 years old,,,,,,91.0
2018,,25 to 29 years old,,,,,,71.0
2018,,30 to 34 years old,,,,,,88.0
2018,,35 to 39 years old,,,,,,87.0
2018,,40 to 44 years old,,,,,,64.0
2018,,45 to 49 years old,,,,,,70.0
2018,,15 to 49 years old,,,Lower secondary education,,,140.0
2018,,15 to 49 years old,,,Upper secondary education,,,59.0
2018,,15 to 49 years old,,,Post-secondary non-tertiary education,,,69.0
2018,,15 to 49 years old,,,Tertiary education (Bachelor’s and Master's or equivalent),,,82.0
2018,,18 to 49 years old,,,,Persons with disability,,207.0
2018,,18 to 49 years old,,,,Persons without disability,,76.0
2018,,15 to 49 years old,,Quintile 1 (poorest),,,,60.0
2018,,15 to 49 years old,,Quintile 2,,,,67.0
2018,,15 to 49 years old,,Quintile 3,,,,97.0
2018,,15 to 49 years old,,Quintile 4,,,,71.0
2018,,15 to 49 years old,,Quintile 5 (richest),,,,88.0
