Year,SERIES,Территория,Пол,Возраст,GeoCode,Value
2010,Выявленные жертвы торговли людьми (число),,,,,21
2011,Выявленные жертвы торговли людьми (число),,,,,5
2012,Выявленные жертвы торговли людьми (число),,,,,6
2013,Выявленные жертвы торговли людьми (число),,,,,9
2014,Выявленные жертвы торговли людьми (число),,,,,19
2015,Выявленные жертвы торговли людьми (число),,,,,8
2016,Выявленные жертвы торговли людьми (число),,,,,10
2017,Выявленные жертвы торговли людьми (число),,,,,5
2018,Выявленные жертвы торговли людьми (число),,,,,7
2019,Выявленные жертвы торговли людьми (число),,,,,11
2020,Выявленные жертвы торговли людьми (число),,,,,9
2021,Выявленные жертвы торговли людьми (число),,,,,6
2022,Выявленные жертвы торговли людьми (число),,,,,3
2023,Выявленные жертвы торговли людьми (число),,,,,17
2018,Выявленные жертвы торговли людьми (число),,Мужчины,,,1
2019,Выявленные жертвы торговли людьми (число),,Мужчины,,,1
2020,Выявленные жертвы торговли людьми (число),,Мужчины,,,4
2021,Выявленные жертвы торговли людьми (число),,Мужчины,,,1
2022,Выявленные жертвы торговли людьми (число),,Мужчины,,,1
2023,Выявленные жертвы торговли людьми (число),,Мужчины,,,13
2018,Выявленные жертвы торговли людьми (число),,Женщины,,,3
2019,Выявленные жертвы торговли людьми (число),,Женщины,,,6
2021,Выявленные жертвы торговли людьми (число),,Женщины,,,4
2022,Выявленные жертвы торговли людьми (число),,Женщины,,,2
2023,Выявленные жертвы торговли людьми (число),,Женщины,,,4
2018,Выявленные жертвы торговли людьми (число),,Неизвестно,,,3
2019,Выявленные жертвы торговли людьми (число),,Неизвестно,,,4
2020,Выявленные жертвы торговли людьми (число),,Неизвестно,,,5
2021,Выявленные жертвы торговли людьми (число),,Неизвестно,,,1
2012,Выявленные жертвы торговли людьми (число),Баткенская область,,,KG05,1
2013,Выявленные жертвы торговли людьми (число),Баткенская область,,,KG05,2
2014,Выявленные жертвы торговли людьми (число),Баткенская область,,,KG05,1
2013,Выявленные жертвы торговли людьми (число),Джалал-Абадская область,,,KG03,1
2014,Выявленные жертвы торговли людьми (число),Джалал-Абадская область,,,KG03,1
2015,Выявленные жертвы торговли людьми (число),Джалал-Абадская область,,,KG03,1
2021,Выявленные жертвы торговли людьми (число),Джалал-Абадская область,,,KG03,1
2022,Выявленные жертвы торговли людьми (число),Джалал-Абадская область,,,KG03,1
2013,Выявленные жертвы торговли людьми (число),Иссык-Кульская область,,,KG02,1
2014,Выявленные жертвы торговли людьми (число),Иссык-Кульская область,,,KG02,1
2019,Выявленные жертвы торговли людьми (число),Иссык-Кульская область,,,KG02,1
2015,Выявленные жертвы торговли людьми (число),Нарынская область,,,KG04,1
2019,Выявленные жертвы торговли людьми (число),Нарынская область,,,KG04,1
2010,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,5
