Year,Территория,Пол,Value
2007,,,18.4
2008,,,19.2
2009,,,17.6
2010,,,16.1
2011,,,16.9
2012,,,16.5
2013,,,17.9
2014,,,15.3
2015,,,15.6
2016,,,13.4
2017,,,13.7
2018,,,11.0
2019,,,12.0
2020,,,9.7
2007,,Мужчины,28.089888
2008,,Мужчины,30.111297
2009,,Мужчины,27.816464
2010,,Мужчины,24.728544
2011,,Мужчины,25.526132
2012,,Мужчины,25.41241
2013,,Мужчины,26.876967
2014,,Мужчины,23.34846
2015,,Мужчины,23.093357
2016,,Мужчины,19.889099
2017,,Мужчины,20.701777
2018,,Мужчины,16.264311
2019,,Мужчины,19.290798
2020,,Мужчины,14.7
2007,,Женщины,8.915193
2008,,Женщины,8.645319
2009,,Женщины,7.555197
2010,,Женщины,7.612281
2011,,Женщины,8.524355
2012,,Женщины,7.824616
2013,,Женщины,9.127999
2014,,Женщины,7.324268
2015,,Женщины,8.2771
2016,,Женщины,6.942407
2017,,Женщины,6.909126
2018,,Женщины,5.804104
2019,,Женщины,4.826463
2020,,Женщины,4.8
2007,Баткенская область,,8.3
2008,Баткенская область,,13.7
2009,Баткенская область,,15.8
2010,Баткенская область,,13.03155
2011,Баткенская область,,12.587098
2012,Баткенская область,,12.780961
2013,Баткенская область,,14.645703
2014,Баткенская область,,11.994949
2015,Баткенская область,,15.824085
2016,Баткенская область,,11.041959
2017,Баткенская область,,13.569322
2018,Баткенская область,,9.048903
2019,Баткенская область,,10.165663
2020,Баткенская область,,10.7
2007,Баткенская область,Мужчины,11.676787
2008,Баткенская область,Мужчины,21.759259
2009,Баткенская область,Мужчины,23.744292
2010,Баткенская область,Мужчины,21.1426
2011,Баткенская область,Мужчины,18.600531
2012,Баткенская область,Мужчины,19.097222
2013,Баткенская область,Мужчины,22.467147
2014,Баткенская область,Мужчины,19.453642
2015,Баткенская область,Мужчины,25.050505
2016,Баткенская область,Мужчины,16.969219
2017,Баткенская область,Мужчины,20.865533
2018,Баткенская область,Мужчины,14.36673
2019,Баткенская область,Мужчины,17.36881
2020,Баткенская область,Мужчины,17.7
2007,Баткенская область,Женщины,4.828585
2008,Баткенская область,Женщины,5.270724
2009,Баткенская область,Женщины,7.56859
2010,Баткенская область,Женщины,4.649
2011,Баткенская область,Женщины,6.389776
2012,Баткенская область,Женщины,6.266786
2013,Баткенская область,Женщины,6.567426
2014,Баткенская область,Женщины,4.280822
2015,Баткенская область,Женщины,6.273526
2016,Баткенская область,Женщины,4.903964
2017,Баткенская область,Женщины,6.007209
2018,Баткенская область,Женщины,3.530796
2019,Баткенская область,Женщины,2.686109
2020,Баткенская область,Женщины,3.4
2007,Джалал-Абадская область,,13.2
2008,Джалал-Абадская область,,16.7
2009,Джалал-Абадская область,,16.5
2010,Джалал-Абадская область,,12.913875
2011,Джалал-Абадская область,,15.209489
2012,Джалал-Абадская область,,17.456593
2013,Джалал-Абадская область,,14.613971
2014,Джалал-Абадская область,,11.793302
2015,Джалал-Абадская область,,12.693935
2016,Джалал-Абадская область,,11.05736
2017,Джалал-Абадская область,,8.646266
2018,Джалал-Абадская область,,7.900208
2019,Джалал-Абадская область,,8.641774
2020,Джалал-Абадская область,,6.2
2007,Джалал-Абадская область,Мужчины,21.453147
2008,Джалал-Абадская область,Мужчины,27.6
2009,Джалал-Абадская область,Мужчины,25.989368
2010,Джалал-Абадская область,Мужчины,19.592629
2011,Джалал-Абадская область,Мужчины,23.118074
2012,Джалал-Абадская область,Мужчины,25.857223
2013,Джалал-Абадская область,Мужчины,21.272694
2014,Джалал-Абадская область,Мужчины,18.847604
2015,Джалал-Абадская область,Мужчины,18.437226
2016,Джалал-Абадская область,Мужчины,16.678129
2017,Джалал-Абадская область,Мужчины,12.814028
2018,Джалал-Абадская область,Мужчины,10.745578
2019,Джалал-Абадская область,Мужчины,13.933895
2020,Джалал-Абадская область,Мужчины,8.4
2007,Джалал-Абадская область,Женщины,4.859283
2008,Джалал-Абадская область,Женщины,5.805806
2009,Джалал-Абадская область,Женщины,6.901992
2010,Джалал-Абадская область,Женщины,6.22084
