Year,Характер данных,Сноски на уровне наблюдения,SERIES,DATA_LAST_UPDATE,Value
2019,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,Валовые поступления развивающихся стран по официальным грантам для устойчивого развития,2025-03-12T00:00:00,321.33266
2020,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,Валовые поступления развивающихся стран по официальным грантам для устойчивого развития,2025-03-12T00:00:00,287.66505
2021,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,Валовые поступления развивающихся стран по официальным грантам для устойчивого развития,2025-03-12T00:00:00,332.33287
2022,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,Валовые поступления развивающихся стран по официальным грантам для устойчивого развития,2025-03-12T00:00:00,360.38436
2023,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,Валовые поступления развивающихся стран по официальным грантам для устойчивого развития,2025-03-12T00:00:00,317.31967
2016,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,374.75827
2017,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,0.0182
2018,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,10.18109
2019,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,3.44133
2020,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,16.15021
