Year,Сноски на уровне наблюдения,SERIES,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",1.801327
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",13.015486
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",7.50567
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",10.007748
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",10.697682
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",13.112364
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",13.3664
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",13.187169
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",15.992147
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",11.409619
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",12.390295
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",22.819842
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",22.149577
