Year,Пол,Уровень образования,Value
2010,,Среднее и послесреднее нетретичное образование (среднее),1432
2013,,Среднее и послесреднее нетретичное образование (среднее),1551
2014,,Среднее и послесреднее нетретичное образование (среднее),1272
2015,,Среднее и послесреднее нетретичное образование (среднее),1236
2016,,Среднее и послесреднее нетретичное образование (среднее),891
2017,,Среднее и послесреднее нетретичное образование (среднее),766
2018,,Среднее и послесреднее нетретичное образование (среднее),924
2019,,Среднее и послесреднее нетретичное образование (среднее),911
2020,,Среднее и послесреднее нетретичное образование (среднее),1004
2021,,Среднее и послесреднее нетретичное образование (среднее),952
2022,,Среднее и послесреднее нетретичное образование (среднее),1434
2010,,Короткий цикл третичного образования,2544
2013,,Короткий цикл третичного образования,2663
2014,,Короткий цикл третичного образования,5189
2015,,Короткий цикл третичного образования,4961
2016,,Короткий цикл третичного образования,4754
2017,,Короткий цикл третичного образования,5106
2018,,Короткий цикл третичного образования,5870
2019,,Короткий цикл третичного образования,6794
2020,,Короткий цикл третичного образования,8279
2021,,Короткий цикл третичного образования,10437
2022,,Короткий цикл третичного образования,12822
2010,Женщины,Короткий цикл третичного образования,1244
2013,Женщины,Короткий цикл третичного образования,1347
2014,Женщины,Короткий цикл третичного образования,1873
2015,Женщины,Короткий цикл третичного образования,1785
2016,Женщины,Короткий цикл третичного образования,3050
2017,Женщины,Короткий цикл третичного образования,1380
2018,Женщины,Короткий цикл третичного образования,1449
2019,Женщины,Короткий цикл третичного образования,1675
2020,Женщины,Короткий цикл третичного образования,1752
2021,Женщины,Короткий цикл третичного образования,2253
2022,Женщины,Короткий цикл третичного образования,3099
2010,Мужчины,Короткий цикл третичного образования,1300
2013,Мужчины,Короткий цикл третичного образования,1316
2014,Мужчины,Короткий цикл третичного образования,3316
2015,Мужчины,Короткий цикл третичного образования,3176
2016,Мужчины,Короткий цикл третичного образования,1704
2017,Мужчины,Короткий цикл третичного образования,3722
2018,Мужчины,Короткий цикл третичного образования,4421
2019,Мужчины,Короткий цикл третичного образования,5119
2020,Мужчины,Короткий цикл третичного образования,6527
2021,Мужчины,Короткий цикл третичного образования,8184
2022,Мужчины,Короткий цикл третичного образования,9722
2010,,Высшее образование (бакалавриат и магистратура или эквиваленты),12291
2013,,Высшее образование (бакалавриат и магистратура или эквиваленты),8890
2014,,Высшее образование (бакалавриат и магистратура или эквиваленты),9214
2015,,Высшее образование (бакалавриат и магистратура или эквиваленты),8551
2016,,Высшее образование (бакалавриат и магистратура или эквиваленты),7089
2017,,Высшее образование (бакалавриат и магистратура или эквиваленты),8522
2018,,Высшее образование (бакалавриат и магистратура или эквиваленты),9516
2019,,Высшее образование (бакалавриат и магистратура или эквиваленты),9511
2020,,Высшее образование (бакалавриат и магистратура или эквиваленты),10324
2021,,Высшее образование (бакалавриат и магистратура или эквиваленты),14020
2022,,Высшее образование (бакалавриат и магистратура или эквиваленты),14424
2010,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),5530
2013,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),4469
2014,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),4096
2015,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),3916
2016,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),3020
2017,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),4023
2018,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),4361
2019,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),3982
2020,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),4131
2021,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),5139
2022,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),5279
2010,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),6761
2013,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),4421
2014,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),5118
2015,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),4635
2016,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),4069
2017,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),4491
2018,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),5155
2019,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),5529
2020,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),6193
2021,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),8881
2022,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),9145
