Year,PRODUCT,Value
2010,_L_AGG_MEATS,63.132137
2011,_L_AGG_MEATS,63.132137
2012,_L_AGG_MEATS,60.195759
2013,_L_AGG_MEATS,55.138662
2014,_L_AGG_MEATS,56.443719
2015,_L_AGG_MEATS,64.600326
2016,_L_AGG_MEATS,63.132137
2017,_L_AGG_MEATS,62.805873
2018,_L_AGG_MEATS,76.508972
2019,_L_AGG_MEATS,71.125612
2020,_L_AGG_MEATS,70.96248
2021,_L_AGG_MEATS,72.920065
2022,_L_AGG_MEATS,76.508972
2010,_L_AGG_DAIRY,106.2
2011,_L_AGG_DAIRY,106.5
2012,_L_AGG_DAIRY,105.75
2013,_L_AGG_DAIRY,107.5
2014,_L_AGG_DAIRY,107.8
2015,_L_AGG_DAIRY,113.15
2016,_L_AGG_DAIRY,112.25
2017,_L_AGG_DAIRY,111.65
2018,_L_AGG_DAIRY,112.15
2019,_L_AGG_DAIRY,110.6
2020,_L_AGG_DAIRY,109.3
2021,_L_AGG_DAIRY,110.95
2022,_L_AGG_DAIRY,110.15
2010,_L_AGG_EGGS,43.506849
2011,_L_AGG_EGGS,45.041096
2012,_L_AGG_EGGS,44.273973
2013,_L_AGG_EGGS,45.479452
2014,_L_AGG_EGGS,44.767123
2015,_L_AGG_EGGS,47.287671
2016,_L_AGG_EGGS,43.835616
2017,_L_AGG_EGGS,47.123288
2018,_L_AGG_EGGS,48.876712
2019,_L_AGG_EGGS,53.424658
2020,_L_AGG_EGGS,55.178082
2021,_L_AGG_EGGS,56.821918
2022,_L_AGG_EGGS,66.630137
2010,_L_AGG_SUGAR,83.203125
2011,_L_AGG_SUGAR,83.59375
2012,_L_AGG_SUGAR,78.125
2013,_L_AGG_SUGAR,82.03125
2014,_L_AGG_SUGAR,76.953125
2015,_L_AGG_SUGAR,71.875
2016,_L_AGG_SUGAR,85.9375
2017,_L_AGG_SUGAR,89.0625
2018,_L_AGG_SUGAR,99.609375
2019,_L_AGG_SUGAR,98.4375
2020,_L_AGG_SUGAR,62.890625
2021,_L_AGG_SUGAR,92.578125
2022,_L_AGG_SUGAR,102.34375
2010,_L_AGG_VEGOILS,131.393493
2011,_L_AGG_VEGOILS,129.24425
2012,_L_AGG_VEGOILS,120.0
2013,_L_AGG_VEGOILS,138.9
2014,_L_AGG_VEGOILS,141.1
2015,_L_AGG_VEGOILS,142.2
2016,_L_AGG_VEGOILS,117.8
2017,_L_AGG_VEGOILS,114.4
2018,_L_AGG_VEGOILS,124.863089
2019,_L_AGG_VEGOILS,134.720701
2020,_L_AGG_VEGOILS,166.484118
2021,_L_AGG_VEGOILS,167.579409
2022,_L_AGG_VEGOILS,187.294633
2010,_L_AGG_POTATO,98.181818
2011,_L_AGG_POTATO,99.494949
2012,_L_AGG_POTATO,99.393939
2013,_L_AGG_POTATO,99.494949
2014,_L_AGG_POTATO,99.494949
2015,_L_AGG_POTATO,108.282828
2016,_L_AGG_POTATO,108.282828
2017,_L_AGG_POTATO,107.7
2018,_L_AGG_POTATO,146.450304
2019,_L_AGG_POTATO,128.397566
2020,_L_AGG_POTATO,107.809331
2021,_L_AGG_POTATO,109.533469
2022,_L_AGG_POTATO,107.200811
2010,_L_AGG_VEGS_GOURDS,131.3
2011,_L_AGG_VEGS_GOURDS,131.2
2012,_L_AGG_VEGS_GOURDS,131.052632
2013,_L_AGG_VEGS_GOURDS,130.701754
2014,_L_AGG_VEGS_GOURDS,131.578947
2015,_L_AGG_VEGS_GOURDS,139.473684
2016,_L_AGG_VEGS_GOURDS,141.403509
2017,_L_AGG_VEGS_GOURDS,153.0
2018,_L_AGG_VEGS_GOURDS,163.954506
2019,_L_AGG_VEGS_GOURDS,143.482065
2020,_L_AGG_VEGS_GOURDS,161.417323
2021,_L_AGG_VEGS_GOURDS,152.143482
2022,_L_AGG_VEGS_GOURDS,155.380577
2010,_L_AGG_FRUITS_BERRIES,24.193548
2011,_L_AGG_FRUITS_BERRIES,23.225806
2012,_L_AGG_FRUITS_BERRIES,19.274194
2013,_L_AGG_FRUITS_BERRIES,21.612903
2014,_L_AGG_FRUITS_BERRIES,23.467742
