Year,Observation-level footnotes,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",105.593808
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",85.438597
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",27.636187
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",22.457448
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",17.964328
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",29.491273
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",36.37605
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",22.798411
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",27.032499
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",45.849926
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",71.803164
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",149.832268
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",111.185053
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",133.833512
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",148.770924
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",161.081251
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",120.177868
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",138.491812
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",131.853031
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",169.60298
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",106.656152
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",164.025296
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",248.570418
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",248.485908
