Year,Reference area,Sex,COMMENT_TS,GeoCode,Value
2010,,,,,7.8
2011,,,,,7.6
2012,,,,,7.6
2013,,,,,6.9
2014,,,,,6.9
2015,,,,,7.4
2016,,,,,7.6
2017,,,,,10.1
2018,,,,,12.0
2019,,,,,11.8
2020,,,,,11.4
2021,,,,,11.7
2010,Batken,,,KG05,6.4
2011,Batken,,,KG05,6.4
2012,Batken,,,KG05,5.7
2013,Batken,,,KG05,3.1
2014,Batken,,,KG05,3.0
2015,Batken,,,KG05,2.3
2016,Batken,,,KG05,2.4
2017,Batken,,,KG05,4.5
2018,Batken,,,KG05,6.9
2019,Batken,,,KG05,13.2
2020,Batken,,,KG05,14.7
2021,Batken,,,KG05,16.4
2010,Jalal-Abad,,,KG03,3.1
2011,Jalal-Abad,,,KG03,3.3
2012,Jalal-Abad,,,KG03,4.3
2013,Jalal-Abad,,,KG03,5.1
2014,Jalal-Abad,,,KG03,5.3
2015,Jalal-Abad,,,KG03,5.5
2016,Jalal-Abad,,,KG03,5.4
2017,Jalal-Abad,,,KG03,8.9
2018,Jalal-Abad,,,KG03,15.3
2019,Jalal-Abad,,,KG03,11.0
2020,Jalal-Abad,,,KG03,9.0
2021,Jalal-Abad,,,KG03,9.7
2010,Issyk-Kul,,,KG02,3.2
2011,Issyk-Kul,,,KG02,3.7
2012,Issyk-Kul,,,KG02,4.1
2013,Issyk-Kul,,,KG02,4.1
2014,Issyk-Kul,,,KG02,4.2
2015,Issyk-Kul,,,KG02,4.7
2016,Issyk-Kul,,,KG02,5.3
2017,Issyk-Kul,,,KG02,6.4
2018,Issyk-Kul,,,KG02,8.2
2019,Issyk-Kul,,,KG02,10.6
2020,Issyk-Kul,,,KG02,10.8
2021,Issyk-Kul,,,KG02,12.1
2010,Naryn,,,KG04,2.4
2011,Naryn,,,KG04,1.6
2012,Naryn,,,KG04,1.6
2013,Naryn,,,KG04,1.4
2014,Naryn,,,KG04,0.9
2015,Naryn,,,KG04,1.1
2016,Naryn,,,KG04,1.4
2017,Naryn,,,KG04,2.3
2018,Naryn,,,KG04,3.9
2019,Naryn,,,KG04,4.1
2020,Naryn,,,KG04,4.7
2021,Naryn,,,KG04,5.3
2010,Osh,,Until 2013 - including Osh.,KG06,6.3
2011,Osh,,Until 2013 - including Osh.,KG06,5.9
2012,Osh,,Until 2013 - including Osh.,KG06,5.4
2013,Osh,,,KG06,2.7
2014,Osh,,,KG06,2.8
2015,Osh,,,KG06,3.4
2016,Osh,,,KG06,3.3
2017,Osh,,,KG06,4.7
2018,Osh,,,KG06,6.7
2019,Osh,,,KG06,5.5
2020,Osh,,,KG06,5.1
2021,Osh,,,KG06,4.7
2010,Talas,,,KG07,2.6
2011,Talas,,,KG07,3.0
2012,Talas,,,KG07,3.1
2013,Talas,,,KG07,3.0
2014,Talas,,,KG07,2.2
2015,Talas,,,KG07,1.9
2016,Talas,,,KG07,2.1
2017,Talas,,,KG07,3.6
2018,Talas,,,KG07,3.8
2019,Talas,,,KG07,3.2
2020,Talas,,,KG07,3.4
2021,Talas,,,KG07,3.4
2010,Chui,,,KG08,14.3
2011,Chui,,,KG08,14.3
2012,Chui,,,KG08,14.8
2013,Chui,,,KG08,13.7
2014,Chui,,,KG08,13.7
2015,Chui,,,KG08,15.1
2016,Chui,,,KG08,16.0
2017,Chui,,,KG08,21.6
2018,Chui,,,KG08,21.4
2019,Chui,,,KG08,20.3
2020,Chui,,,KG08,19.7
2021,Chui,,,KG08,18.8
2010,Bishkek (city),,,KG11,14.5
2011,Bishkek (city),,,KG11,13.6
2012,Bishkek (city),,,KG11,12.8
2013,Bishkek (city),,,KG11,13.5
2014,Bishkek (city),,,KG11,13.5
2015,Bishkek (city),,,KG11,14.8
2016,Bishkek (city),,,KG11,15.4
2017,Bishkek (city),,,KG11,16.1
2018,Bishkek (city),,,KG11,16.4
2019,Bishkek (city),,,KG11,18.7
2020,Bishkek (city),,,KG11,18.8
2021,Bishkek (city),,,KG11,19.6
2013,Osh (city),,,KG21,7.5
2014,Osh (city),,,KG21,7.8
2015,Osh (city),,,KG21,5.1
2016,Osh (city),,,KG21,5.1
2017,Osh (city),,,KG21,7.6
2018,Osh (city),,,KG21,8.5
2019,Osh (city),,,KG21,8.9
2020,Osh (city),,,KG21,6.8
2021,Osh (city),,,KG21,6.9
2010,,Female,,,9.3
2011,,Female,,,8.8
2012,,Female,,,9.0
2013,,Female,,,8.8
2014,,Female,,,8.9
2015,,Female,,,8.4
2016,,Female,,,9.1
2017,,Female,,,11.3
2018,,Female,,,12.5
2019,,Female,,,12.5
2020,,Female,,,12.5
2021,,Female,,,12.8
2010,,Male,,,6.7
2011,,Male,,,6.8
2012,,Male,,,6.6
2013,,Male,,,5.7
2014,,Male,,,5.6
2015,,Male,,,6.7
2016,,Male,,,6.7
2017,,Male,,,9.3
2018,,Male,,,11.7
2019,,Male,,,11.4
2020,,Male,,,10.7
2021,,Male,,,11.0
