Year,Местность,Территория,Возраст,Образование,Функциональные трудности (возраст: 18-49лет),Квинтиль благосостояния,Value
2018,,,,,,,7.7
2023,,,,,,,6.2
2018,Городская,,,,,,7.9
2023,Городская,,,,,,7.4
2018,Сельская,,,,,,7.6
2023,Сельская,,,,,,5.6
2018,,Баткенская область,,,,,0.4
2023,,Баткенская область,,,,,4.3
2018,,Джалал-Абадская область,,,,,7.3
2023,,Джалал-Абадская область,,,,,7.1
2018,,Иссык-Кульская область,,,,,1.7
2023,,Иссык-Кульская область,,,,,2.5
2018,,Нарынская область,,,,,2.8
2023,,Нарынская область,,,,,2.9
2018,,Ошская область,,,,,6.5
2023,,Ошская область,,,,,3.4
2018,,Таласская область,,,,,5.0
2023,,Таласская область,,,,,1.9
2018,,Чуйская область,,,,,16.6
2023,,Чуйская область,,,,,9.3
2018,,г.Бишкек,,,,,8.7
2023,,г.Бишкек,,,,,7.1
2018,,г.Ош,,,,,7.0
2023,,г.Ош,,,,,14.9
2018,,,15-19 лет,,,,6.5
2023,,,15-19 лет,,,,5.3
2018,,,15-17 лет,,,,5.7
2023,,,15-17 лет,,,,3.5
2018,,,18-19 лет,,,,8.3
2023,,,18-19 лет,,,,10.0
2018,,,20-24 лет,,,,9.1
2023,,,20-24 лет,,,,5.3
2018,,,25-29 лет,,,,7.1
2023,,,25-29 лет,,,,5.5
2018,,,30-34 лет,,,,8.8
2023,,,30-34 лет,,,,7.7
2018,,,35-39 лет,,,,8.7
2023,,,35-39 лет,,,,6.8
2018,,,40-44 лет,,,,6.4
2023,,,40-44 лет,,,,5.8
2018,,,45-49 лет,,,,7.0
2023,,,45-49 лет,,,,7.0
2018,,,,Основное общее,,,14.0
2023,,,,Основное общее,,,7.5
2018,,,,Среднее общее,,,5.9
2023,,,,Среднее общее,,,6.1
2018,,,,Профессиональное начальное/среднее,,,6.9
2023,,,,Профессиональное начальное/среднее,,,4.9
2018,,,,Высшее,,,8.2
2023,,,,Высшее,,,6.4
2018,,,,,Есть,,20.7
2023,,,,,Есть,,32.3
2018,,,,,Нет,,7.6
2023,,,,,Нет,,6.1
2018,,,,,,Беднейший,6.0
2023,,,,,,Беднейший,6.7
2018,,,,,,Второй,6.7
2023,,,,,,Второй,5.7
2018,,,,,,Средний,9.7
2023,,,,,,Средний,5.0
2018,,,,,,Четвертый,7.1
2023,,,,,,Четвертый,6.4
2018,,,,,,Богатейший,8.8
2023,,,,,,Богатейший,7.1
