Year,Value,SERIES
2007,2.1,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2008,2.4,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2009,2.0,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2010,2.9,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2011,2.0,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2012,2.5,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2013,2.5,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2014,1.3,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2015,1.6,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2016,2.1,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2017,2.0,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2018,1.7,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2019,1.4,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2020,1.1,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2021,0.9,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2022,1.8,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2023,1.4,Proportion of water samples not meeting hygienic standards for physicochemical parameters
2007,10.6,Proportion of water samples not meeting hygienic standards for microbiological parameters
2008,10.7,Proportion of water samples not meeting hygienic standards for microbiological parameters
2009,9.5,Proportion of water samples not meeting hygienic standards for microbiological parameters
2010,11.3,Proportion of water samples not meeting hygienic standards for microbiological parameters
2011,12.7,Proportion of water samples not meeting hygienic standards for microbiological parameters
2012,10.7,Proportion of water samples not meeting hygienic standards for microbiological parameters
2013,8.4,Proportion of water samples not meeting hygienic standards for microbiological parameters
2014,6.5,Proportion of water samples not meeting hygienic standards for microbiological parameters
2015,7.7,Proportion of water samples not meeting hygienic standards for microbiological parameters
2016,8.4,Proportion of water samples not meeting hygienic standards for microbiological parameters
2017,8.1,Proportion of water samples not meeting hygienic standards for microbiological parameters
2018,8.2,Proportion of water samples not meeting hygienic standards for microbiological parameters
2019,8.6,Proportion of water samples not meeting hygienic standards for microbiological parameters
2020,7.0,Proportion of water samples not meeting hygienic standards for microbiological parameters
2021,6.5,Proportion of water samples not meeting hygienic standards for microbiological parameters
2022,8.4,Proportion of water samples not meeting hygienic standards for microbiological parameters
2023,8.2,Proportion of water samples not meeting hygienic standards for microbiological parameters
