Year,Value,SERIES
2007,5.968864,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2008,6.611241,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2009,5.109427,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2010,5.204752,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2011,2.488161,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2012,1.394354,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2013,3.120433,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2014,2.594375,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2015,2.198462,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2016,2.327986,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2017,2.172493,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2018,2.163941,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2019,2.259523,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2020,2.4,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2021,3.5,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2022,3.8,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2023,3.7,Proportion of pensioners receiving pensions below subsistence minimum as percentage of total population
2007,59.241298,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2008,61.233202,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2009,48.534186,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2010,49.060743,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2011,22.957535,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2012,12.62552,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2013,28.824314,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2014,24.113102,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2015,20.458403,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2016,21.618658,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2017,20.190277,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2018,19.898854,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2019,20.5,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2020,21.8,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2021,30.8,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2022,33.6,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
2023,32.3,Proportion of pensioners aged receiving pensions below subsistence minimum as percentage of total pensioners
