Year,Value,SERIES
2015,3.4,Proportion of women aged 15-49 years with anaemia [2.2.3]
2016,2.8,Proportion of women aged 15-49 years with anaemia [2.2.3]
2017,2.8,Proportion of women aged 15-49 years with anaemia [2.2.3]
2018,2.5,Proportion of women aged 15-49 years with anaemia [2.2.3]
2019,2.0,Proportion of women aged 15-49 years with anaemia [2.2.3]
2020,1.156022,Proportion of women aged 15-49 years with anaemia [2.2.3]
2021,1.3,Proportion of women aged 15-49 years with anaemia [2.2.3]
2015,52.846005,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
2016,47.502069,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
2017,52.792095,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
2018,58.958873,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
2019,55.240237,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
2020,40.422043,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
2021,35.440295,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]"
